eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.1942808628082275,S,"('192.168.0.15', 5001)",1752209006.292318
2,1.7797462940216064,S,"('192.168.0.15', 5001)",1752209006.386723
3,3.737750291824341,S,"('192.168.0.15', 5001)",1752209006.9819748
4,3.577829360961914,S,"('192.168.0.15', 5001)",1752209007.106648
5,4.014134883880615,S,"('192.168.0.15', 5001)",1752209008.485908
6,4.971658229827881,S,"('192.168.0.15', 5001)",1752209008.7583265
7,6.236175060272217,S,"('192.168.0.15', 5001)",1752209008.8551004
8,6.582263946533203,S,"('192.168.0.15', 5001)",1752209008.9335997
9,6.794776916503906,S,"('192.168.0.15', 5001)",1752209009.410248
10,7.612030506134033,S,"('192.168.0.15', 5001)",1752209010.1989539
11,8.350579977035522,S,"('192.168.0.15', 5001)",1752209010.3487585
12,8.426403999328613,S,"('192.168.0.15', 5001)",1752209010.3829153
13,8.501348495483398,S,"('192.168.0.15', 5001)",1752209010.4684057
14,7.430882930755615,S,"('192.168.0.15', 5001)",1752209010.5511317
15,7.576100826263428,S,"('192.168.0.15', 5001)",1752209010.6021817
16,8.22025179862976,S,"('192.168.0.15', 5001)",1752209010.6339862
17,8.72678828239441,S,"('192.168.0.15', 5001)",1752209010.9475968
18,8.731893539428711,S,"('192.168.0.15', 5001)",1752209011.0033793
19,8.221349239349365,S,"('192.168.0.15', 5001)",1752209011.435958
20,8.138925790786743,S,"('192.168.0.15', 5001)",1752209011.741763
21,8.154994249343872,S,"('192.168.0.15', 5001)",1752209012.4591858
22,8.332827091217041,S,"('192.168.0.15', 5001)",1752209012.804641
23,8.59199070930481,S,"('192.168.0.15', 5001)",1752209012.8619757
24,8.575860023498535,S,"('192.168.0.15', 5001)",1752209013.475831
25,7.130721092224121,S,"('192.168.0.15', 5001)",1752209013.5663326
26,7.085500240325928,S,"('192.168.0.15', 5001)",1752209013.7103102
27,7.042472839355469,S,"('192.168.0.15', 5001)",1752209013.9515061
28,6.468042373657227,S,"('192.168.0.15', 5001)",1752209014.658569
29,7.830706834793091,S,"('192.168.0.15', 5001)",1752209015.697278
30,8.614735126495361,S,"('192.168.0.15', 5001)",1752209015.8953948
31,8.159748315811157,S,"('192.168.0.15', 5001)",1752209015.9834673
32,8.145401000976562,S,"('192.168.0.15', 5001)",1752209016.277534
33,8.156322240829468,S,"('192.168.0.15', 5001)",1752209016.3554528
34,7.788235902786255,S,"('192.168.0.15', 5001)",1752209016.6366901
35,8.201835870742798,S,"('192.168.0.15', 5001)",1752209016.949195
36,8.312654972076416,S,"('192.168.0.15', 5001)",1752209017.3750265
37,6.97672438621521,S,"('192.168.0.15', 5001)",1752209017.6321423
38,8.497751235961914,S,"('192.168.0.15', 5001)",1752209018.1123996
39,7.1332173347473145,S,"('192.168.0.15', 5001)",1752209018.1361039
40,8.615148544311523,S,"('192.168.0.15', 5001)",1752209018.2128832
41,7.942508935928345,S,"('192.168.0.15', 5001)",1752209018.351873
42,7.310831308364868,S,"('192.168.0.15', 5001)",1752209018.8349495
43,7.506077766418457,S,"('192.168.0.15', 5001)",1752209019.047376
