eva_count_list,eva_value_list,control_tag_list,servers_list
1,4.562108755111694,S,"('192.168.0.16', 5001)"
2,4.2117661237716675,S,"('192.168.0.18', 5001)"
3,3.6289634704589844,S,"('192.168.0.16', 5001)"
4,3.6556137800216675,S,"('192.168.0.18', 5001)"
5,3.757405710220337,S,"('192.168.0.16', 5001)"
6,3.7821972370147705,S,"('192.168.0.15', 5001)"
7,3.595316307885306,S,"('192.168.0.16', 5001)"
8,4.282210886478424,S,"('192.168.0.17', 5001)"
9,4.30171701643202,S,"('192.168.0.15', 5001)"
10,4.263947486877441,S,"('192.168.0.15', 5001)"
11,4.256233605471524,S,"('192.168.0.18', 5001)"
12,4.253870944182078,S,"('192.168.0.17', 5001)"
13,5.387882122626672,S,"('192.168.0.17', 5001)"
14,5.396698747362409,S,"('192.168.0.17', 5001)"
15,6.406367699305217,S,"('192.168.0.18', 5001)"
16,7.8006362169981,S,"('192.168.0.15', 5001)"
17,7.7985139033373665,S,"('192.168.0.17', 5001)"
18,7.818369931644863,S,"('192.168.0.17', 5001)"
19,7.545516942676745,S,"('192.168.0.15', 5001)"
20,7.378720164299011,S,"('192.168.0.18', 5001)"
21,7.271686667487735,S,"('192.168.0.18', 5001)"
22,7.281582604755055,S,"('192.168.0.15', 5001)"
23,7.15887563124947,S,"('192.168.0.15', 5001)"
24,7.041295737028122,S,"('192.168.0.18', 5001)"
25,6.920521306991577,S,"('192.168.0.18', 5001)"
26,6.759598209307744,S,"('192.168.0.15', 5001)"
27,6.59887413625364,S,"('192.168.0.16', 5001)"
28,6.493080956595285,T,"('192.168.0.18', 5001)"
29,6.51906734499438,T,"('192.168.0.17', 5001)"
30,6.657807556788127,T,"('192.168.0.17', 5001)"
31,7.036273987062516,T,"('192.168.0.17', 5001)"
32,6.92249883711338,T,"('192.168.0.17', 5001)"
33,6.841452331253977,T,"('192.168.0.17', 5001)"
34,7.618168957093182,T,"('192.168.0.17', 5001)"
35,7.506792606626238,T,"('192.168.0.17', 5001)"
36,7.501255505614811,T,"('192.168.0.17', 5001)"
37,8.44334804689562,T,"('192.168.0.16', 5001)"
38,9.415275849794087,T,"('192.168.0.15', 5001)"
39,9.305851043798985,T,"('192.168.0.16', 5001)"
40,10.261725544929504,T,"('192.168.0.16', 5001)"
41,11.168177837278785,T,"('192.168.0.17', 5001)"
42,11.009204410371327,T,"('192.168.0.16', 5001)"
43,10.899976774703624,T,"('192.168.0.18', 5001)"
44,10.967354303056544,T,"('192.168.0.18', 5001)"
45,10.851261350843641,T,"('192.168.0.18', 5001)"
46,10.836041859958483,T,"('192.168.0.18', 5001)"
47,10.827897624766573,T,"('192.168.0.18', 5001)"
48,10.656427597006163,T,"('192.168.0.16', 5001)"
49,10.498190699791422,T,"('192.168.0.16', 5001)"
50,10.337451586723327,T,"('192.168.0.16', 5001)"
51,10.304181299209596,T,"('192.168.0.16', 5001)"
52,10.32624192237854,T,"('192.168.0.16', 5001)"
53,10.36980498790741,T,"('192.168.0.16', 5001)"
54,10.341353411674499,T,"('192.168.0.16', 5001)"
55,10.312345857620238,T,"('192.168.0.16', 5001)"
56,10.320276317596436,T,"('192.168.0.16', 5001)"
57,10.370526270866394,T,"('192.168.0.16', 5001)"
58,10.247057585716247,T,"('192.168.0.16', 5001)"
59,10.212375726699829,T,"('192.168.0.16', 5001)"
60,10.183394184112549,T,"('192.168.0.16', 5001)"
61,10.157835698127746,T,"('192.168.0.16', 5001)"
62,10.165976271629333,T,"('192.168.0.16', 5001)"
63,9.910742869377136,T,"('192.168.0.16', 5001)"
64,9.858350415229797,T,"('192.168.0.16', 5001)"
65,9.53771420955658,T,"('192.168.0.16', 5001)"
66,9.08644492149353,T,"('192.168.0.16', 5001)"
67,9.083837943077087,T,"('192.168.0.16', 5001)"
68,9.196537799835205,T,"('192.168.0.16', 5001)"
69,9.223606896400451,T,"('192.168.0.16', 5001)"
70,9.240223474502564,T,"('192.168.0.16', 5001)"
71,9.294567513465882,T,"('192.168.0.16', 5001)"
