eva_count_list,eva_value_list,control_tag_list,servers_list
1,3.1584906578063965,S,"('192.168.0.16', 5001)"
2,4.223366141319275,S,"('192.168.0.16', 5001)"
3,5.368526856104533,S,"('192.168.0.16', 5001)"
4,6.751374423503876,S,"('192.168.0.16', 5001)"
5,7.2185639381408695,S,"('192.168.0.16', 5001)"
6,7.58273180325826,S,"('192.168.0.16', 5001)"
7,7.674694504056658,S,"('192.168.0.16', 5001)"
8,7.067002594470978,S,"('192.168.0.16', 5001)"
9,6.70464211040073,S,"('192.168.0.16', 5001)"
10,6.299100232124329,S,"('192.168.0.16', 5001)"
11,5.949845769188621,S,"('192.168.0.16', 5001)"
12,5.669313848018646,S,"('192.168.0.16', 5001)"
13,5.432165219233586,S,"('192.168.0.16', 5001)"
14,5.31531035900116,S,"('192.168.0.16', 5001)"
15,5.272719017664591,S,"('192.168.0.16', 5001)"
16,5.340625733137131,S,"('192.168.0.16', 5001)"
17,5.183279696632834,S,"('192.168.0.16', 5001)"
18,5.062786247995165,S,"('192.168.0.16', 5001)"
19,4.982251731972945,S,"('192.168.0.16', 5001)"
20,4.85894250869751,S,"('192.168.0.16', 5001)"
21,4.800314732960293,S,"('192.168.0.16', 5001)"
22,4.857750253243879,S,"('192.168.0.16', 5001)"
23,4.9119610164476475,S,"('192.168.0.16', 5001)"
24,4.799137045939763,S,"('192.168.0.16', 5001)"
25,4.811964378356934,S,"('192.168.0.16', 5001)"
26,4.835123676520127,S,"('192.168.0.16', 5001)"
27,4.928701338944612,S,"('192.168.0.16', 5001)"
28,4.982818961143494,S,"('192.168.0.16', 5001)"
29,4.897879041474441,S,"('192.168.0.16', 5001)"
30,4.915688228607178,S,"('192.168.0.16', 5001)"
31,4.943393922621204,S,"('192.168.0.16', 5001)"
32,4.884474478662014,S,"('192.168.0.16', 5001)"
33,4.818373766812411,S,"('192.168.0.16', 5001)"
34,4.761045238550971,S,"('192.168.0.16', 5001)"
35,4.7208891800471715,S,"('192.168.0.16', 5001)"
36,4.704614261786143,S,"('192.168.0.16', 5001)"
37,4.646481945707992,S,"('192.168.0.16', 5001)"
38,4.6041099146792765,S,"('192.168.0.16', 5001)"
39,4.636503629195384,S,"('192.168.0.16', 5001)"
40,4.617871659994125,S,"('192.168.0.16', 5001)"
41,4.616584492892754,S,"('192.168.0.16', 5001)"
42,4.580688743364243,S,"('192.168.0.16', 5001)"
43,4.66006379903749,S,"('192.168.0.16', 5001)"
44,4.73589985479008,S,"('192.168.0.16', 5001)"
45,4.859899881150987,S,"('192.168.0.16', 5001)"
46,4.838754083799279,S,"('192.168.0.16', 5001)"
47,4.7919042161170475,S,"('192.168.0.16', 5001)"
48,4.759801695744197,S,"('192.168.0.16', 5001)"
49,4.783039015166613,S,"('192.168.0.16', 5001)"
50,4.819955921173095,S,"('192.168.0.16', 5001)"
51,4.825918288230896,S,"('192.168.0.16', 5001)"
52,4.793939189910889,S,"('192.168.0.16', 5001)"
53,4.7103649997711186,S,"('192.168.0.16', 5001)"
54,4.546399512290955,S,"('192.168.0.16', 5001)"
55,4.412165331840515,S,"('192.168.0.16', 5001)"
56,4.2728403425216674,S,"('192.168.0.16', 5001)"
57,4.168177099227905,S,"('192.168.0.16', 5001)"
58,4.19505597114563,S,"('192.168.0.16', 5001)"
59,4.187669906616211,S,"('192.168.0.16', 5001)"
60,4.183317346572876,S,"('192.168.0.16', 5001)"
61,4.200040712356567,S,"('192.168.0.16', 5001)"
62,4.250736145973206,S,"('192.168.0.16', 5001)"
63,4.252099285125732,S,"('192.168.0.16', 5001)"
64,4.268497214317322,S,"('192.168.0.16', 5001)"
65,4.349551420211792,S,"('192.168.0.16', 5001)"
66,4.406888742446899,S,"('192.168.0.16', 5001)"
67,4.532887353897094,S,"('192.168.0.16', 5001)"
68,4.640841598510742,S,"('192.168.0.16', 5001)"
69,4.80723883152008,S,"('192.168.0.16', 5001)"
70,5.008301906585693,S,"('192.168.0.16', 5001)"
71,5.171281085014344,S,"('192.168.0.16', 5001)"
72,5.1020093297958375,S,"('192.168.0.16', 5001)"
73,5.037935886383057,S,"('192.168.0.16', 5001)"
74,5.0505577754974365,S,"('192.168.0.16', 5001)"
75,5.0026191186904905,S,"('192.168.0.16', 5001)"
76,4.941122517585755,S,"('192.168.0.16', 5001)"
77,4.8417385482788085,S,"('192.168.0.16', 5001)"
78,4.772293419837951,S,"('192.168.0.16', 5001)"
79,4.79081479549408,S,"('192.168.0.16', 5001)"
80,4.784367952346802,S,"('192.168.0.16', 5001)"
81,4.787142472267151,S,"('192.168.0.16', 5001)"
82,4.864617910385132,S,"('192.168.0.16', 5001)"
83,4.857920236587525,S,"('192.168.0.16', 5001)"
84,4.847794756889344,S,"('192.168.0.16', 5001)"
