eva_count_list,eva_value_list,control_tag_list,servers_list
1,1.8760268688201904,S,"('192.168.0.15', 5001)"
2,2.284186840057373,S,"('192.168.0.18', 5001)"
3,2.529156446456909,S,"('192.168.0.17', 5001)"
4,3.3155182600021362,S,"('192.168.0.16', 5001)"
5,3.1204714298248293,S,"('192.168.0.18', 5001)"
6,2.872176925341288,S,"('192.168.0.16', 5001)"
7,2.7674291474478587,S,"('192.168.0.16', 5001)"
8,2.7687585055828094,S,"('192.168.0.15', 5001)"
9,2.9035767714182534,S,"('192.168.0.18', 5001)"
10,2.9042925596237184,S,"('192.168.0.17', 5001)"
11,3.213205402547663,S,"('192.168.0.16', 5001)"
12,3.35172047217687,S,"('192.168.0.15', 5001)"
13,3.2729237996614895,S,"('192.168.0.17', 5001)"
14,3.6570536409105574,S,"('192.168.0.16', 5001)"
15,3.6157832622528074,S,"('192.168.0.18', 5001)"
16,3.631914883852005,S,"('192.168.0.15', 5001)"
17,3.7205957384670483,S,"('192.168.0.17', 5001)"
18,3.685455401738485,S,"('192.168.0.15', 5001)"
19,3.7529188708255163,S,"('192.168.0.15', 5001)"
20,3.8436004877090455,S,"('192.168.0.18', 5001)"
21,3.8915341922215054,S,"('192.168.0.18', 5001)"
22,3.88774358142506,S,"('192.168.0.16', 5001)"
23,3.8348258578259014,S,"('192.168.0.17', 5001)"
24,3.9556330144405365,S,"('192.168.0.15', 5001)"
25,3.8526657104492186,S,"('192.168.0.15', 5001)"
26,3.792405311877911,S,"('192.168.0.17', 5001)"
27,3.927745059684471,S,"('192.168.0.17', 5001)"
28,3.8809989861079623,S,"('192.168.0.15', 5001)"
29,4.052555034900534,S,"('192.168.0.15', 5001)"
30,3.9805176655451455,S,"('192.168.0.17', 5001)"
31,4.120047015528525,S,"('192.168.0.16', 5001)"
32,4.052771151065826,S,"('192.168.0.16', 5001)"
33,3.996427853902181,S,"('192.168.0.16', 5001)"
34,3.9218820684096394,S,"('192.168.0.16', 5001)"
35,3.959817286900112,S,"('192.168.0.17', 5001)"
36,4.0093010266621905,S,"('192.168.0.16', 5001)"
37,4.083987538878982,S,"('192.168.0.15', 5001)"
38,4.141148567199707,S,"('192.168.0.15', 5001)"
39,4.176868952237642,S,"('192.168.0.18', 5001)"
40,4.226868236064911,S,"('192.168.0.15', 5001)"
41,4.249850848825966,S,"('192.168.0.16', 5001)"
42,4.323650632585798,S,"('192.168.0.15', 5001)"
43,4.278846862704255,S,"('192.168.0.15', 5001)"
44,4.255982436917045,S,"('192.168.0.15', 5001)"
45,4.224983665678236,S,"('192.168.0.18', 5001)"
46,4.187451963839323,S,"('192.168.0.17', 5001)"
47,4.212225594419114,S,"('192.168.0.16', 5001)"
48,4.184007515509923,S,"('192.168.0.18', 5001)"
49,4.161373187084587,S,"('192.168.0.17', 5001)"
50,4.165553169250488,S,"('192.168.0.16', 5001)"
51,4.26610381603241,S,"('192.168.0.16', 5001)"
52,4.334523034095764,S,"('192.168.0.18', 5001)"
53,4.307320971488952,S,"('192.168.0.16', 5001)"
54,4.265673427581787,S,"('192.168.0.17', 5001)"
55,4.311535449028015,S,"('192.168.0.18', 5001)"
56,4.320140724182129,S,"('192.168.0.17', 5001)"
57,4.393827052116394,S,"('192.168.0.15', 5001)"
58,4.386060080528259,S,"('192.168.0.16', 5001)"
59,4.410611457824707,S,"('192.168.0.17', 5001)"
60,4.38519666671753,S,"('192.168.0.15', 5001)"
61,4.353056063652039,S,"('192.168.0.16', 5001)"
62,4.298881154060364,S,"('192.168.0.18', 5001)"
63,4.3312783575057985,S,"('192.168.0.18', 5001)"
64,4.2424568176269535,S,"('192.168.0.16', 5001)"
65,4.259879221916199,S,"('192.168.0.18', 5001)"
66,4.3008147859573365,S,"('192.168.0.16', 5001)"
67,4.247259912490844,S,"('192.168.0.17', 5001)"
68,4.260620007514953,S,"('192.168.0.16', 5001)"
69,4.329301819801331,S,"('192.168.0.18', 5001)"
70,4.34136456489563,S,"('192.168.0.17', 5001)"
71,4.283209800720215,S,"('192.168.0.15', 5001)"
72,4.253055291175842,S,"('192.168.0.18', 5001)"
73,4.257115406990051,S,"('192.168.0.18', 5001)"
74,4.176695823669434,S,"('192.168.0.18', 5001)"
75,4.1979034757614135,S,"('192.168.0.15', 5001)"
76,4.242078452110291,S,"('192.168.0.17', 5001)"
77,4.149804730415344,S,"('192.168.0.18', 5001)"
78,4.160192775726318,S,"('192.168.0.15', 5001)"
79,4.057220087051392,S,"('192.168.0.16', 5001)"
80,4.098070750236511,S,"('192.168.0.18', 5001)"
81,4.038391313552856,S,"('192.168.0.17', 5001)"
82,4.055806827545166,S,"('192.168.0.18', 5001)"
83,4.0633644771575925,S,"('192.168.0.17', 5001)"
84,4.222551693916321,S,"('192.168.0.15', 5001)"
85,4.180320434570312,S,"('192.168.0.17', 5001)"
86,4.193421030044556,S,"('192.168.0.17', 5001)"
87,4.164685773849487,S,"('192.168.0.15', 5001)"
88,4.291497220993042,S,"('192.168.0.18', 5001)"
89,4.467855710983276,S,"('192.168.0.16', 5001)"
90,4.398968653678894,S,"('192.168.0.17', 5001)"
91,4.376492104530334,S,"('192.168.0.17', 5001)"
92,4.3288165807724,S,"('192.168.0.17', 5001)"
93,4.323422956466675,S,"('192.168.0.18', 5001)"
94,4.51931324005127,S,"('192.168.0.16', 5001)"
95,4.491959266662597,S,"('192.168.0.16', 5001)"
96,4.772533369064331,S,"('192.168.0.18', 5001)"
97,5.0084186553955075,S,"('192.168.0.16', 5001)"
98,5.0067603349685665,S,"('192.168.0.18', 5001)"
99,5.009593410491943,S,"('192.168.0.17', 5001)"
100,5.029608435630799,S,"('192.168.0.18', 5001)"
101,4.92707287311554,S,"('192.168.0.15', 5001)"
102,4.841733689308167,S,"('192.168.0.15', 5001)"
103,4.853654179573059,S,"('192.168.0.16', 5001)"
104,4.8323104333877565,S,"('192.168.0.18', 5001)"
105,4.810476088523865,S,"('192.168.0.15', 5001)"
106,4.81537305355072,S,"('192.168.0.18', 5001)"
107,4.773895139694214,S,"('192.168.0.15', 5001)"
108,4.84540289402008,S,"('192.168.0.18', 5001)"
109,4.874197359085083,S,"('192.168.0.17', 5001)"
110,4.932051219940186,S,"('192.168.0.18', 5001)"
111,4.871875977516174,S,"('192.168.0.16', 5001)"
112,4.8862554502487185,S,"('192.168.0.18', 5001)"
113,4.850352110862732,S,"('192.168.0.18', 5001)"
114,4.800528326034546,S,"('192.168.0.15', 5001)"
115,4.768459615707397,T,"('192.168.0.15', 5001)"
116,4.725219626426696,T,"('192.168.0.15', 5001)"
117,4.745649590492248,T,"('192.168.0.15', 5001)"
118,4.712088289260865,T,"('192.168.0.15', 5001)"
119,4.601927299499511,T,"('192.168.0.15', 5001)"
120,4.525419034957886,T,"('192.168.0.15', 5001)"
121,4.522851061820984,T,"('192.168.0.15', 5001)"
122,4.517490086555481,T,"('192.168.0.15', 5001)"
123,4.490835790634155,T,"('192.168.0.16', 5001)"
124,4.488838529586792,T,"('192.168.0.16', 5001)"
125,4.560851497650146,T,"('192.168.0.16', 5001)"
126,4.607571110725403,T,"('192.168.0.16', 5001)"
127,4.710449538230896,T,"('192.168.0.16', 5001)"
128,4.844950251579284,T,"('192.168.0.16', 5001)"
129,4.9665377950668335,T,"('192.168.0.16', 5001)"
130,5.0729471826553345,T,"('192.168.0.16', 5001)"
131,5.16307460308075,T,"('192.168.0.16', 5001)"
132,5.309757523536682,T,"('192.168.0.16', 5001)"
133,5.48092857837677,T,"('192.168.0.16', 5001)"
134,5.517175235748291,T,"('192.168.0.16', 5001)"
135,5.661008338928223,T,"('192.168.0.16', 5001)"
136,5.705721077919006,T,"('192.168.0.16', 5001)"
137,5.768976311683655,T,"('192.168.0.16', 5001)"
138,5.6345395708084105,T,"('192.168.0.16', 5001)"
139,5.448727049827576,T,"('192.168.0.16', 5001)"
140,5.49013418674469,T,"('192.168.0.16', 5001)"
141,5.498055534362793,T,"('192.168.0.16', 5001)"
142,5.436447339057922,T,"('192.168.0.16', 5001)"
143,5.427479166984558,T,"('192.168.0.16', 5001)"
144,5.19921079158783,T,"('192.168.0.16', 5001)"
145,5.205066223144531,T,"('192.168.0.16', 5001)"
146,4.9130560541152954,T,"('192.168.0.16', 5001)"
147,4.599715032577515,T,"('192.168.0.16', 5001)"
148,4.604111876487732,T,"('192.168.0.16', 5001)"
149,4.616181607246399,T,"('192.168.0.16', 5001)"
150,4.5774003028869625,T,"('192.168.0.16', 5001)"
151,4.608580975532532,T,"('192.168.0.16', 5001)"
152,4.608613715171814,T,"('192.168.0.16', 5001)"
153,4.630990495681763,T,"('192.168.0.16', 5001)"
154,4.686448893547058,T,"('192.168.0.16', 5001)"
155,4.747430205345154,T,"('192.168.0.16', 5001)"
156,4.791263589859009,T,"('192.168.0.16', 5001)"
157,4.805775265693665,T,"('192.168.0.16', 5001)"
158,4.781824951171875,T,"('192.168.0.16', 5001)"
159,4.72736882686615,T,"('192.168.0.16', 5001)"
160,4.810046043395996,T,"('192.168.0.16', 5001)"
161,4.875414485931397,T,"('192.168.0.16', 5001)"
162,4.89490156173706,T,"('192.168.0.16', 5001)"
163,4.928232560157776,T,"('192.168.0.16', 5001)"
164,4.962483773231506,T,"('192.168.0.16', 5001)"
165,4.955443110466003,T,"('192.168.0.16', 5001)"
166,4.923600678443909,T,"('192.168.0.16', 5001)"
