eva_count_list,eva_value_list,control_tag_list,servers_list
1,2.3345601558685303,S,"('192.168.0.17', 5001)"
2,3.730147361755371,S,"('192.168.0.15', 5001)"
3,3.257122755050659,S,"('192.168.0.16', 5001)"
4,3.3576762676239014,S,"('192.168.0.18', 5001)"
5,3.878224992752075,S,"('192.168.0.18', 5001)"
6,3.729517340660095,S,"('192.168.0.15', 5001)"
7,3.499572822025844,S,"('192.168.0.15', 5001)"
8,3.271872639656067,S,"('192.168.0.15', 5001)"
9,3.7305266592237682,S,"('192.168.0.17', 5001)"
10,3.5587366104125975,S,"('192.168.0.17', 5001)"
11,4.026681878349998,S,"('192.168.0.16', 5001)"
12,3.8437741796175637,S,"('192.168.0.15', 5001)"
13,3.929262693111713,S,"('192.168.0.17', 5001)"
14,3.7727113280977522,S,"('192.168.0.16', 5001)"
15,4.055673217773437,S,"('192.168.0.17', 5001)"
16,3.9681007117033005,S,"('192.168.0.17', 5001)"
17,4.395627288257375,S,"('192.168.0.18', 5001)"
18,4.358737468719482,S,"('192.168.0.15', 5001)"
19,4.243518339960199,S,"('192.168.0.18', 5001)"
20,4.1576030373573305,S,"('192.168.0.17', 5001)"
21,4.259210155123756,S,"('192.168.0.15', 5001)"
22,4.386411721056158,S,"('192.168.0.17', 5001)"
23,4.338851545168006,S,"('192.168.0.18', 5001)"
24,4.248174617687861,S,"('192.168.0.16', 5001)"
25,4.193141193389892,S,"('192.168.0.15', 5001)"
26,4.111136032984807,S,"('192.168.0.15', 5001)"
27,4.052927211478904,S,"('192.168.0.15', 5001)"
28,4.130552811282022,S,"('192.168.0.17', 5001)"
29,4.1061089614342,S,"('192.168.0.15', 5001)"
30,4.093750476837158,S,"('192.168.0.15', 5001)"
31,4.063037526222967,S,"('192.168.0.18', 5001)"
32,4.080687016248703,S,"('192.168.0.18', 5001)"
33,4.216212633884314,S,"('192.168.0.16', 5001)"
34,4.292487992959864,S,"('192.168.0.16', 5001)"
35,4.382068954195295,S,"('192.168.0.18', 5001)"
36,4.436857508288489,S,"('192.168.0.15', 5001)"
37,4.394210725217252,S,"('192.168.0.17', 5001)"
38,4.36927602793041,S,"('192.168.0.15', 5001)"
39,4.416978512054834,S,"('192.168.0.15', 5001)"
40,4.38184979557991,S,"('192.168.0.17', 5001)"
41,4.3749236013831165,S,"('192.168.0.17', 5001)"
42,4.439683295431591,S,"('192.168.0.18', 5001)"
43,4.552275214084359,S,"('192.168.0.15', 5001)"
44,4.511986342343417,S,"('192.168.0.18', 5001)"
45,4.488676394356622,S,"('192.168.0.18', 5001)"
46,4.4817773932996,S,"('192.168.0.15', 5001)"
47,4.480389574740795,S,"('192.168.0.16', 5001)"
48,4.522806778550148,S,"('192.168.0.18', 5001)"
49,4.627989652205486,S,"('192.168.0.18', 5001)"
50,4.6523639631271365,S,"('192.168.0.18', 5001)"
51,4.662533369064331,S,"('192.168.0.17', 5001)"
52,4.610629968643188,S,"('192.168.0.16', 5001)"
53,4.69947274684906,S,"('192.168.0.15', 5001)"
54,4.677108044624329,S,"('192.168.0.17', 5001)"
55,4.696612677574158,S,"('192.168.0.17', 5001)"
56,4.700095238685608,S,"('192.168.0.18', 5001)"
57,4.823394947052002,S,"('192.168.0.18', 5001)"
58,4.840034122467041,S,"('192.168.0.17', 5001)"
59,4.852183184623718,S,"('192.168.0.17', 5001)"
60,4.856444883346557,S,"('192.168.0.16', 5001)"
61,4.715709276199341,S,"('192.168.0.15', 5001)"
62,4.894426188468933,S,"('192.168.0.15', 5001)"
63,4.895035734176636,S,"('192.168.0.15', 5001)"
64,4.988590378761291,S,"('192.168.0.17', 5001)"
65,4.990880517959595,S,"('192.168.0.18', 5001)"
66,5.10159773349762,S,"('192.168.0.18', 5001)"
67,5.060502743721008,S,"('192.168.0.18', 5001)"
68,5.040623331069947,S,"('192.168.0.18', 5001)"
69,5.174615755081176,S,"('192.168.0.15', 5001)"
70,5.1761504793167115,S,"('192.168.0.17', 5001)"
71,5.157847385406495,S,"('192.168.0.16', 5001)"
72,5.080682535171508,S,"('192.168.0.15', 5001)"
73,5.087206254005432,S,"('192.168.0.16', 5001)"
74,5.0785345935821535,S,"('192.168.0.15', 5001)"
75,5.094225878715515,S,"('192.168.0.18', 5001)"
76,5.1320818376541135,S,"('192.168.0.15', 5001)"
77,5.164773755073547,S,"('192.168.0.18', 5001)"
78,5.189774851799012,S,"('192.168.0.18', 5001)"
79,5.15242751121521,S,"('192.168.0.16', 5001)"
80,5.125763025283813,S,"('192.168.0.17', 5001)"
81,5.177129096984864,S,"('192.168.0.15', 5001)"
82,5.1825390672683715,S,"('192.168.0.18', 5001)"
83,5.082899594306946,S,"('192.168.0.15', 5001)"
84,5.072335109710694,S,"('192.168.0.17', 5001)"
85,4.954666991233825,S,"('192.168.0.15', 5001)"
86,4.865283665657043,S,"('192.168.0.15', 5001)"
87,4.847271180152893,S,"('192.168.0.15', 5001)"
88,4.828904490470887,S,"('192.168.0.18', 5001)"
89,4.752847356796265,S,"('192.168.0.17', 5001)"
90,4.83261649608612,S,"('192.168.0.17', 5001)"
91,4.910517177581787,S,"('192.168.0.15', 5001)"
92,4.817161650657654,S,"('192.168.0.18', 5001)"
93,4.665599813461304,S,"('192.168.0.16', 5001)"
94,4.709156913757324,S,"('192.168.0.17', 5001)"
95,4.674504084587097,S,"('192.168.0.17', 5001)"
96,4.655632085800171,S,"('192.168.0.15', 5001)"
97,4.659020256996155,S,"('192.168.0.16', 5001)"
98,4.696537103652954,S,"('192.168.0.18', 5001)"
99,4.606926712989807,S,"('192.168.0.18', 5001)"
100,4.531646447181702,S,"('192.168.0.15', 5001)"
101,4.573064737319946,S,"('192.168.0.17', 5001)"
102,4.558359613418579,S,"('192.168.0.15', 5001)"
103,4.475397782325745,S,"('192.168.0.18', 5001)"
104,4.50987738609314,S,"('192.168.0.18', 5001)"
105,4.479419603347778,S,"('192.168.0.18', 5001)"
106,4.459443798065186,S,"('192.168.0.16', 5001)"
107,4.358621273040772,S,"('192.168.0.16', 5001)"
108,4.369982628822327,S,"('192.168.0.15', 5001)"
109,4.2789728689193725,S,"('192.168.0.15', 5001)"
110,4.299165983200073,S,"('192.168.0.18', 5001)"
111,4.338515005111694,S,"('192.168.0.18', 5001)"
112,4.225024027824402,S,"('192.168.0.17', 5001)"
113,4.175406990051269,S,"('192.168.0.17', 5001)"
114,4.161981124877929,S,"('192.168.0.18', 5001)"
115,4.0371621799468995,S,"('192.168.0.15', 5001)"
116,3.932859468460083,S,"('192.168.0.18', 5001)"
117,3.8179957389831545,S,"('192.168.0.18', 5001)"
118,3.8156105613708498,S,"('192.168.0.18', 5001)"
119,3.728707876205444,S,"('192.168.0.17', 5001)"
120,3.734615807533264,S,"('192.168.0.17', 5001)"
121,3.785307912826538,S,"('192.168.0.16', 5001)"
122,3.772047119140625,S,"('192.168.0.17', 5001)"
123,3.929543490409851,S,"('192.168.0.15', 5001)"
124,3.9624088525772097,S,"('192.168.0.17', 5001)"
125,3.994357132911682,S,"('192.168.0.17', 5001)"
126,4.010091190338135,S,"('192.168.0.17', 5001)"
127,4.004586758613587,S,"('192.168.0.16', 5001)"
128,3.9575331306457517,S,"('192.168.0.16', 5001)"
129,4.044573421478272,S,"('192.168.0.16', 5001)"
130,4.080247330665588,S,"('192.168.0.15', 5001)"
131,4.026916089057923,S,"('192.168.0.15', 5001)"
132,4.271699476242065,S,"('192.168.0.16', 5001)"
133,4.625576033592224,S,"('192.168.0.17', 5001)"
134,4.551862750053406,S,"('192.168.0.16', 5001)"
135,5.101619482040405,S,"('192.168.0.18', 5001)"
136,5.112830390930176,S,"('192.168.0.17', 5001)"
137,5.121419115066528,S,"('192.168.0.17', 5001)"
138,5.122947859764099,S,"('192.168.0.18', 5001)"
139,5.122885813713074,S,"('192.168.0.17', 5001)"
140,5.015123267173767,S,"('192.168.0.15', 5001)"
141,5.340598678588867,S,"('192.168.0.15', 5001)"
142,5.3357422733306885,S,"('192.168.0.16', 5001)"
143,5.343711709976196,S,"('192.168.0.15', 5001)"
144,5.725793266296387,S,"('192.168.0.15', 5001)"
145,6.190222554206848,S,"('192.168.0.17', 5001)"
146,6.176101660728454,S,"('192.168.0.17', 5001)"
147,6.1318076753616335,S,"('192.168.0.17', 5001)"
148,6.037632837295532,S,"('192.168.0.15', 5001)"
149,6.552266020774841,S,"('192.168.0.15', 5001)"
150,6.59403699874878,S,"('192.168.0.17', 5001)"
151,6.538044862747192,S,"('192.168.0.17', 5001)"
152,6.549610676765442,S,"('192.168.0.16', 5001)"
153,7.095293979644776,S,"('192.168.0.15', 5001)"
