eva_count_list,eva_value_list,control_tag_list,servers_list
1,2.326556444168091,S,"('192.168.0.15', 5001)"
2,2.6514557600021362,S,"('192.168.0.15', 5001)"
3,2.289514144261678,S,"('192.168.0.15', 5001)"
4,2.1516997814178467,S,"('192.168.0.15', 5001)"
5,2.1325800895690916,S,"('192.168.0.15', 5001)"
6,2.2334616581598916,S,"('192.168.0.15', 5001)"
7,2.095235449927194,S,"('192.168.0.15', 5001)"
8,2.1551300287246704,S,"('192.168.0.15', 5001)"
9,2.495879332224528,S,"('192.168.0.15', 5001)"
10,2.4134577989578245,S,"('192.168.0.15', 5001)"
11,2.376404870640148,S,"('192.168.0.15', 5001)"
12,2.3402591745058694,S,"('192.168.0.15', 5001)"
13,2.305730654643132,S,"('192.168.0.15', 5001)"
14,2.4406444685799733,S,"('192.168.0.15', 5001)"
15,2.5882455984751385,S,"('192.168.0.15', 5001)"
16,2.9028583765029907,S,"('192.168.0.15', 5001)"
17,3.1834488335777733,S,"('192.168.0.15', 5001)"
18,3.467239578564962,S,"('192.168.0.15', 5001)"
19,3.6977335653806986,S,"('192.168.0.15', 5001)"
20,3.7080362200737,S,"('192.168.0.15', 5001)"
21,3.831001429330735,S,"('192.168.0.15', 5001)"
22,3.7741608402945777,S,"('192.168.0.15', 5001)"
23,3.7490636887757676,S,"('192.168.0.15', 5001)"
24,3.7160092294216156,S,"('192.168.0.15', 5001)"
25,3.7654435729980467,S,"('192.168.0.15', 5001)"
26,3.8015841153951793,S,"('192.168.0.15', 5001)"
27,3.720654920295433,S,"('192.168.0.15', 5001)"
28,3.6508959446634566,S,"('192.168.0.15', 5001)"
29,3.5827253358117463,S,"('192.168.0.15', 5001)"
30,3.5341093937555947,S,"('192.168.0.15', 5001)"
31,3.5439147564672653,S,"('192.168.0.15', 5001)"
32,3.6371821612119675,S,"('192.168.0.15', 5001)"
33,3.7288959965561377,S,"('192.168.0.15', 5001)"
34,3.8725084276760326,S,"('192.168.0.15', 5001)"
35,3.9710832732064385,S,"('192.168.0.15', 5001)"
36,3.991583479775323,S,"('192.168.0.15', 5001)"
37,4.050067540761587,S,"('192.168.0.15', 5001)"
38,3.9970454730485616,S,"('192.168.0.15', 5001)"
39,3.9461624989142785,S,"('192.168.0.15', 5001)"
40,3.9248624622821806,S,"('192.168.0.15', 5001)"
41,3.9032689769093585,S,"('192.168.0.15', 5001)"
42,3.8554531506129672,S,"('192.168.0.15', 5001)"
43,3.827203623084135,S,"('192.168.0.15', 5001)"
44,3.8326110243797302,S,"('192.168.0.15', 5001)"
45,3.8431447664896647,S,"('192.168.0.15', 5001)"
46,3.853467003158901,S,"('192.168.0.15', 5001)"
47,3.836356994953561,S,"('192.168.0.15', 5001)"
48,3.7901014536619186,S,"('192.168.0.15', 5001)"
49,3.7520337494052187,S,"('192.168.0.15', 5001)"
50,3.7298309421539306,S,"('192.168.0.15', 5001)"
51,3.7517844152450563,S,"('192.168.0.15', 5001)"
52,3.737415380477905,S,"('192.168.0.15', 5001)"
53,3.778105306625366,S,"('192.168.0.15', 5001)"
54,3.856399574279785,S,"('192.168.0.15', 5001)"
55,3.934429349899292,S,"('192.168.0.15', 5001)"
56,4.003419518470764,S,"('192.168.0.15', 5001)"
57,4.10056700706482,S,"('192.168.0.15', 5001)"
58,4.16635576248169,S,"('192.168.0.15', 5001)"
59,4.107188591957092,S,"('192.168.0.15', 5001)"
60,4.109640121459961,S,"('192.168.0.15', 5001)"
61,4.101034927368164,S,"('192.168.0.15', 5001)"
62,4.099260754585266,S,"('192.168.0.15', 5001)"
63,4.112190909385681,S,"('192.168.0.15', 5001)"
64,4.076590895652771,S,"('192.168.0.15', 5001)"
65,4.014855132102967,S,"('192.168.0.15', 5001)"
66,3.89333044052124,S,"('192.168.0.15', 5001)"
67,3.7682510662078856,S,"('192.168.0.15', 5001)"
68,3.643726544380188,S,"('192.168.0.15', 5001)"
69,3.58600998878479,S,"('192.168.0.15', 5001)"
70,3.6380990505218507,S,"('192.168.0.15', 5001)"
71,3.676659927368164,S,"('192.168.0.15', 5001)"
72,3.792330751419067,S,"('192.168.0.15', 5001)"
73,3.9019439888000487,S,"('192.168.0.15', 5001)"
74,4.030767273902893,S,"('192.168.0.15', 5001)"
75,4.118618493080139,S,"('192.168.0.15', 5001)"
76,4.203759875297546,S,"('192.168.0.15', 5001)"
77,4.355543251037598,S,"('192.168.0.15', 5001)"
78,4.4391317510604855,S,"('192.168.0.15', 5001)"
79,4.4421882772445676,S,"('192.168.0.15', 5001)"
80,4.450017127990723,S,"('192.168.0.15', 5001)"
81,4.442999429702759,S,"('192.168.0.15', 5001)"
82,4.413840427398681,S,"('192.168.0.15', 5001)"
83,4.368122229576111,S,"('192.168.0.15', 5001)"
84,4.229321508407593,S,"('192.168.0.15', 5001)"
85,4.130434341430664,S,"('192.168.0.15', 5001)"
86,4.091005291938782,S,"('192.168.0.15', 5001)"
87,4.005739498138428,S,"('192.168.0.15', 5001)"
88,4.022836155891419,S,"('192.168.0.15', 5001)"
89,4.018601307868957,S,"('192.168.0.15', 5001)"
90,4.00999294757843,S,"('192.168.0.15', 5001)"
