eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,0.9832086563110352,S,"('192.168.0.17', 5001)",1752069039.2068627
2,0.7558839321136475,S,"('192.168.0.17', 5001)",1752069041.0051947
3,1.034238576889038,S,"('192.168.0.17', 5001)",1752069041.8035648
4,1.3890128135681152,S,"('192.168.0.17', 5001)",1752069055.3343096
5,1.598963737487793,S,"('192.168.0.17', 5001)",1752069055.8730705
6,1.3737316131591797,S,"('192.168.0.17', 5001)",1752069056.643737
7,0.6982932090759277,S,"('192.168.0.17', 5001)",1752069058.306817
8,1.8308990001678467,S,"('192.168.0.17', 5001)",1752069061.2972894
9,1.8638787269592285,S,"('192.168.0.17', 5001)",1752069061.337465
10,0.8677611351013184,S,"('192.168.0.17', 5001)",1752069064.0673404
11,0.9284775257110596,S,"('192.168.0.17', 5001)",1752069068.832798
12,1.0025811195373535,S,"('192.168.0.17', 5001)",1752069069.8857682
13,0.8066909313201904,S,"('192.168.0.17', 5001)",1752069070.9905689
14,1.244143009185791,S,"('192.168.0.17', 5001)",1752069073.304166
15,1.3340063095092773,S,"('192.168.0.17', 5001)",1752069073.739791
16,0.8932328224182129,S,"('192.168.0.17', 5001)",1752069077.8593404
17,0.893465518951416,S,"('192.168.0.17', 5001)",1752069083.8873603
18,1.7662193775177002,S,"('192.168.0.17', 5001)",1752069088.4715638
19,2.1894350051879883,S,"('192.168.0.17', 5001)",1752069089.0349329
20,2.49184513092041,S,"('192.168.0.17', 5001)",1752069089.1216335
21,2.046862840652466,S,"('192.168.0.17', 5001)",1752069090.1578746
22,1.210331916809082,S,"('192.168.0.17', 5001)",1752069091.9971228
23,0.9680314064025879,S,"('192.168.0.17', 5001)",1752069093.7239592
24,0.9088382720947266,S,"('192.168.0.17', 5001)",1752069094.101369
25,1.7949447631835938,S,"('192.168.0.17', 5001)",1752069096.9919689
26,2.5190160274505615,S,"('192.168.0.17', 5001)",1752069097.229817
27,2.7315995693206787,S,"('192.168.0.17', 5001)",1752069097.771304
28,4.093077182769775,S,"('192.168.0.17', 5001)",1752069097.7748156
29,2.2565717697143555,S,"('192.168.0.17', 5001)",1752069100.0888414
30,2.8917899131774902,S,"('192.168.0.17', 5001)",1752069100.320904
31,2.2921793460845947,S,"('192.168.0.17', 5001)",1752069101.5972872
32,2.827024459838867,S,"('192.168.0.17', 5001)",1752069102.0425363
33,0.8602361679077148,S,"('192.168.0.17', 5001)",1752069107.799909
34,0.9042148590087891,S,"('192.168.0.17', 5001)",1752069112.9637477
35,0.8818359375,S,"('192.168.0.17', 5001)",1752069114.007814
36,0.9658184051513672,S,"('192.168.0.17', 5001)",1752069120.5671139
37,0.8744781017303467,S,"('192.168.0.17', 5001)",1752069121.959104
38,0.8349742889404297,S,"('192.168.0.17', 5001)",1752069124.860939
39,1.1584422588348389,S,"('192.168.0.17', 5001)",1752069129.799255
40,1.4682681560516357,S,"('192.168.0.17', 5001)",1752069130.2193277
41,1.7081167697906494,S,"('192.168.0.17', 5001)",1752069131.4330397
42,1.8269476890563965,S,"('192.168.0.17', 5001)",1752069131.479642
43,1.0124006271362305,S,"('192.168.0.17', 5001)",1752069134.4928875
44,0.9094226360321045,S,"('192.168.0.17', 5001)",1752069136.1898558
45,0.910024881362915,S,"('192.168.0.17', 5001)",1752069137.102615
46,0.8901286125183105,S,"('192.168.0.17', 5001)",1752069148.0001466
47,0.8603031635284424,S,"('192.168.0.17', 5001)",1752069149.4490383
48,1.0151281356811523,S,"('192.168.0.17', 5001)",1752069150.435579
49,1.7993648052215576,S,"('192.168.0.17', 5001)",1752069150.8412066
50,1.7112174034118652,S,"('192.168.0.17', 5001)",1752069151.1913986
51,1.1009490489959717,S,"('192.168.0.17', 5001)",1752069154.9332397
52,1.967463493347168,S,"('192.168.0.17', 5001)",1752069155.2950292
53,1.5153393745422363,S,"('192.168.0.17', 5001)",1752069155.9418192
54,1.4351539611816406,S,"('192.168.0.17', 5001)",1752069162.9193618
55,1.5606930255889893,S,"('192.168.0.17', 5001)",1752069163.002446
56,1.4299356937408447,S,"('192.168.0.17', 5001)",1752069166.863577
57,0.96933913230896,S,"('192.168.0.17', 5001)",1752069167.4045022
58,3.573615074157715,S,"('192.168.0.17', 5001)",1752069167.9859343
59,0.914034366607666,S,"('192.168.0.17', 5001)",1752069170.8850474
60,0.8556647300720215,S,"('192.168.0.17', 5001)",1752069172.4490125
61,0.9296748638153076,S,"('192.168.0.17', 5001)",1752069173.416529
62,0.9183182716369629,S,"('192.168.0.17', 5001)",1752069174.7170947
63,1.0557358264923096,S,"('192.168.0.17', 5001)",1752069176.5516493
64,0.8298001289367676,S,"('192.168.0.17', 5001)",1752069180.7539759
65,0.8206167221069336,S,"('192.168.0.17', 5001)",1752069183.0965724
66,0.9117584228515625,S,"('192.168.0.17', 5001)",1752069191.9196405
67,1.1560189723968506,S,"('192.168.0.17', 5001)",1752069192.554405
68,1.0011355876922607,S,"('192.168.0.17', 5001)",1752069194.0946233
69,1.3525068759918213,S,"('192.168.0.17', 5001)",1752069195.0499794
70,1.376359224319458,S,"('192.168.0.17', 5001)",1752069195.4974482
71,0.7925128936767578,S,"('192.168.0.17', 5001)",1752069199.495445
72,0.912036657333374,S,"('192.168.0.17', 5001)",1752069200.9289618
73,0.9500069618225098,S,"('192.168.0.17', 5001)",1752069202.4410908
74,1.1443507671356201,S,"('192.168.0.17', 5001)",1752069203.1064656
75,0.8327188491821289,S,"('192.168.0.17', 5001)",1752069206.457113
76,0.8734145164489746,S,"('192.168.0.17', 5001)",1752069209.940512
77,0.8097958564758301,S,"('192.168.0.17', 5001)",1752069212.0875723
78,1.6755974292755127,S,"('192.168.0.17', 5001)",1752069214.7554102
79,4.3343424797058105,S,"('192.168.0.17', 5001)",1752069215.126503
80,4.390691041946411,S,"('192.168.0.17', 5001)",1752069215.7643325
81,4.041750192642212,S,"('192.168.0.17', 5001)",1752069215.9010727
82,5.725475549697876,S,"('192.168.0.17', 5001)",1752069216.3752005
83,5.994221448898315,S,"('192.168.0.17', 5001)",1752069217.2530043
84,4.345521926879883,S,"('192.168.0.17', 5001)",1752069217.9852111
85,4.595396518707275,S,"('192.168.0.17', 5001)",1752069219.3310215
86,4.4353063106536865,S,"('192.168.0.17', 5001)",1752069219.7034733
87,4.499881029129028,S,"('192.168.0.17', 5001)",1752069221.9992688
88,5.63113808631897,S,"('192.168.0.17', 5001)",1752069222.287996
89,5.820579767227173,S,"('192.168.0.17', 5001)",1752069222.3995636
90,5.886501312255859,S,"('192.168.0.17', 5001)",1752069222.8395982
91,4.98880934715271,S,"('192.168.0.17', 5001)",1752069223.62031
92,4.848882436752319,S,"('192.168.0.17', 5001)",1752069224.2939975
93,0.9400746822357178,S,"('192.168.0.17', 5001)",1752069229.6030724
94,1.1170525550842285,S,"('192.168.0.17', 5001)",1752069234.8606308
95,0.9385769367218018,S,"('192.168.0.17', 5001)",1752069236.23655
96,0.960230827331543,S,"('192.168.0.17', 5001)",1752069241.2884915
97,1.0248761177062988,S,"('192.168.0.17', 5001)",1752069242.9020793
98,1.0435471534729004,S,"('192.168.0.17', 5001)",1752069249.6675282
99,0.9655201435089111,S,"('192.168.0.17', 5001)",1752069251.3791554
100,1.1473572254180908,S,"('192.168.0.17', 5001)",1752069251.9514446
101,0.8934123516082764,S,"('192.168.0.17', 5001)",1752069253.6430128
102,0.9340841770172119,S,"('192.168.0.17', 5001)",1752069262.1806371
103,0.8623006343841553,S,"('192.168.0.17', 5001)",1752069263.1112916
104,1.9492998123168945,S,"('192.168.0.17', 5001)",1752069266.0127654
105,0.9538190364837646,S,"('192.168.0.17', 5001)",1752069266.1713161
106,0.99538254737854,S,"('192.168.0.17', 5001)",1752069269.8403556
107,0.8954775333404541,S,"('192.168.0.17', 5001)",1752069272.8961627
108,10.611908197402954,S,"('192.168.0.17', 5001)",1752069274.6980915
109,1.0915014743804932,S,"('192.168.0.17', 5001)",1752069278.9104128
110,0.8772401809692383,S,"('192.168.0.17', 5001)",1752069280.4870443
111,1.251509428024292,S,"('192.168.0.17', 5001)",1752069281.7019126
