eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,2.575122117996216,S,"('192.168.0.15', 5001)",1752112022.9495378
2,2.765730619430542,S,"('192.168.0.17', 5001)",1752112023.8282063
3,2.6476597785949707,S,"('192.168.0.15', 5001)",1752112025.9635634
4,4.852813482284546,S,"('192.168.0.16', 5001)",1752112026.1226957
5,5.699768543243408,S,"('192.168.0.17', 5001)",1752112026.7410173
6,1.6848082542419434,S,"('192.168.0.16', 5001)",1752112031.8151617
7,3.2495930194854736,S,"('192.168.0.15', 5001)",1752112033.09601
8,3.627230167388916,S,"('192.168.0.15', 5001)",1752112033.1020286
9,2.218134641647339,S,"('192.168.0.16', 5001)",1752112036.1450214
10,1.579045295715332,S,"('192.168.0.17', 5001)",1752112040.2671695
11,1.759953260421753,S,"('192.168.0.15', 5001)",1752112043.323689
12,1.7405455112457275,S,"('192.168.0.15', 5001)",1752112049.827037
13,1.758040189743042,S,"('192.168.0.18', 5001)",1752112051.7711782
14,1.8254516124725342,S,"('192.168.0.16', 5001)",1752112054.3795326
15,1.6638171672821045,S,"('192.168.0.17', 5001)",1752112057.3093498
16,1.8343181610107422,S,"('192.168.0.17', 5001)",1752112060.0908768
17,4.375837326049805,S,"('192.168.0.15', 5001)",1752112061.271439
18,4.011742353439331,S,"('192.168.0.16', 5001)",1752112061.7178297
19,2.8571600914001465,S,"('192.168.0.18', 5001)",1752112066.1400862
20,4.463796615600586,S,"('192.168.0.17', 5001)",1752112066.3039145
21,3.9443724155426025,S,"('192.168.0.16', 5001)",1752112068.781802
22,5.357652902603149,S,"('192.168.0.15', 5001)",1752112070.4888177
23,5.5786683559417725,S,"('192.168.0.15', 5001)",1752112071.1639705
24,4.659155607223511,S,"('192.168.0.16', 5001)",1752112072.4849153
25,1.8549060821533203,S,"('192.168.0.17', 5001)",1752112077.089835
26,2.0457301139831543,S,"('192.168.0.15', 5001)",1752112080.242936
27,2.182457208633423,S,"('192.168.0.16', 5001)",1752112082.8857234
28,2.3495898246765137,S,"('192.168.0.15', 5001)",1752112087.642361
29,3.0018601417541504,S,"('192.168.0.15', 5001)",1752112088.4414172
30,2.907924175262451,S,"('192.168.0.17', 5001)",1752112090.261523
31,3.029742479324341,S,"('192.168.0.16', 5001)",1752112091.987797
32,3.0031394958496094,S,"('192.168.0.15', 5001)",1752112093.5161176
33,1.568906545639038,S,"('192.168.0.17', 5001)",1752112099.4926724
34,1.9613187313079834,S,"('192.168.0.16', 5001)",1752112100.9288945
35,2.5562074184417725,S,"('192.168.0.17', 5001)",1752112106.6550303
36,3.315897226333618,S,"('192.168.0.15', 5001)",1752112106.9826202
37,1.7300007343292236,S,"('192.168.0.16', 5001)",1752112110.491107
38,2.535362482070923,S,"('192.168.0.17', 5001)",1752112111.5932615
39,4.039554834365845,S,"('192.168.0.15', 5001)",1752112113.2312253
40,4.2664408683776855,S,"('192.168.0.16', 5001)",1752112113.5050814
41,6.901232481002808,S,"('192.168.0.15', 5001)",1752112115.9989831
42,6.462921619415283,S,"('192.168.0.15', 5001)",1752112116.977346
43,6.151104927062988,S,"('192.168.0.17', 5001)",1752112117.9351442
44,5.668418645858765,S,"('192.168.0.18', 5001)",1752112119.3573775
45,2.5789644718170166,S,"('192.168.0.16', 5001)",1752112124.6417782
46,3.2797465324401855,S,"('192.168.0.16', 5001)",1752112126.1601076
47,2.735482692718506,S,"('192.168.0.15', 5001)",1752112127.5067565
48,1.8625261783599854,S,"('192.168.0.15', 5001)",1752112130.9766884
49,3.430274248123169,S,"('192.168.0.17', 5001)",1752112132.6177952
50,4.120256185531616,S,"('192.168.0.17', 5001)",1752112132.9675255
51,1.958306074142456,S,"('192.168.0.16', 5001)",1752112142.9734347
52,3.180485248565674,S,"('192.168.0.16', 5001)",1752112143.8330274
53,2.78802752494812,S,"('192.168.0.15', 5001)",1752112145.1316478
54,2.826090097427368,S,"('192.168.0.15', 5001)",1752112147.5173204
55,3.9209821224212646,S,"('192.168.0.18', 5001)",1752112148.2849405
56,4.3749895095825195,S,"('192.168.0.18', 5001)",1752112149.6536086
57,3.426215171813965,S,"('192.168.0.15', 5001)",1752112152.0836992
58,1.4128329753875732,S,"('192.168.0.18', 5001)",1752112157.2747657
59,1.5992372035980225,S,"('192.168.0.15', 5001)",1752112159.9951582
60,2.4927263259887695,S,"('192.168.0.17', 5001)",1752112162.7071476
61,2.9916577339172363,S,"('192.168.0.16', 5001)",1752112163.152161
62,1.7964797019958496,S,"('192.168.0.16', 5001)",1752112171.1551278
63,1.5644829273223877,S,"('192.168.0.17', 5001)",1752112174.743086
64,1.705719232559204,S,"('192.168.0.18', 5001)",1752112186.128584
65,2.075251579284668,S,"('192.168.0.15', 5001)",1752112188.05145
66,1.5702018737792969,S,"('192.168.0.17', 5001)",1752112191.1509042
67,2.6775104999542236,S,"('192.168.0.17', 5001)",1752112192.5459821
68,4.763463735580444,S,"('192.168.0.18', 5001)",1752112193.2793372
69,4.4032816886901855,S,"('192.168.0.16', 5001)",1752112193.948985
70,2.9335925579071045,S,"('192.168.0.16', 5001)",1752112203.4356165
71,3.4856672286987305,S,"('192.168.0.15', 5001)",1752112203.598391
72,2.079620122909546,S,"('192.168.0.18', 5001)",1752112206.809214
73,2.442472457885742,S,"('192.168.0.16', 5001)",1752112209.5790691
74,3.3343780040740967,S,"('192.168.0.17', 5001)",1752112209.671779
75,1.872344970703125,S,"('192.168.0.17', 5001)",1752112215.36314
76,1.9026577472686768,S,"('192.168.0.18', 5001)",1752112219.1858253
77,2.3544235229492188,S,"('192.168.0.18', 5001)",1752112223.8038573
78,2.6745734214782715,S,"('192.168.0.18', 5001)",1752112224.9056191
79,1.5465993881225586,S,"('192.168.0.17', 5001)",1752112228.3315072
80,1.9460129737854004,S,"('192.168.0.18', 5001)",1752112231.5549798
81,2.508810043334961,S,"('192.168.0.18', 5001)",1752112232.9794416
82,3.382474422454834,S,"('192.168.0.15', 5001)",1752112233.9889228
83,3.6773312091827393,S,"('192.168.0.18', 5001)",1752112235.6608377
84,6.926297664642334,S,"('192.168.0.15', 5001)",1752112237.3104997
85,7.2600133419036865,S,"('192.168.0.18', 5001)",1752112237.423538
