eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.5514848232269287,S,"('10.0.0.6', 5001)",1752502903.1857634
2,2.6394355297088623,S,"('10.0.0.5', 5001)",1752502903.2679787
3,3.6596522331237793,S,"('10.0.0.6', 5001)",1752502903.514777
4,3.7792534828186035,S,"('10.0.0.5', 5001)",1752502903.6012392
5,4.25436806678772,S,"('10.0.0.6', 5001)",1752502903.7390165
6,4.635608911514282,S,"('10.0.0.5', 5001)",1752502904.1518185
7,4.74594521522522,S,"('10.0.0.6', 5001)",1752502904.6809382
8,4.835572957992554,S,"('10.0.0.5', 5001)",1752502904.8051274
9,4.731576442718506,S,"('10.0.0.6', 5001)",1752502905.0211337
10,5.42263650894165,S,"('10.0.0.6', 5001)",1752502905.1916542
11,5.414622068405151,S,"('10.0.0.5', 5001)",1752502905.3349547
12,4.97965145111084,S,"('10.0.0.5', 5001)",1752502905.534529
13,3.894458293914795,S,"('10.0.0.5', 5001)",1752502905.5854874
14,4.090055465698242,S,"('10.0.0.6', 5001)",1752502905.716193
15,3.645927906036377,S,"('10.0.0.5', 5001)",1752502905.8407264
16,2.989011526107788,S,"('10.0.0.6', 5001)",1752502906.132782
17,2.2600350379943848,S,"('10.0.0.6', 5001)",1752502906.29069
18,4.864614486694336,S,"('10.0.0.6', 5001)",1752502906.4913282
19,3.1579999923706055,S,"('10.0.0.5', 5001)",1752502906.605188
20,4.859536409378052,S,"('10.0.0.6', 5001)",1752502907.1625004
21,1.4410529136657715,S,"('10.0.0.5', 5001)",1752502907.6858294
22,4.818435430526733,S,"('10.0.0.5', 5001)",1752502907.7426083
23,6.1687421798706055,S,"('10.0.0.6', 5001)",1752502908.4257588
24,5.585536241531372,S,"('10.0.0.6', 5001)",1752502908.4897256
25,5.65041446685791,S,"('10.0.0.6', 5001)",1752502908.672411
26,5.656554222106934,S,"('10.0.0.5', 5001)",1752502908.758513
27,3.6532344818115234,S,"('10.0.0.6', 5001)",1752502908.9670284
28,3.500120162963867,S,"('10.0.0.6', 5001)",1752502909.1468973
29,4.749057292938232,S,"('10.0.0.5', 5001)",1752502909.3810961
30,4.515175819396973,S,"('10.0.0.5', 5001)",1752502909.4048476
31,4.1295530796051025,S,"('10.0.0.5', 5001)",1752502909.9607604
32,4.6632771492004395,S,"('10.0.0.5', 5001)",1752502910.7209823
33,3.659536123275757,S,"('10.0.0.5', 5001)",1752502910.8404963
34,3.185176134109497,S,"('10.0.0.6', 5001)",1752502910.8564668
35,3.713520050048828,S,"('10.0.0.6', 5001)",1752502911.2229936
36,2.8809642791748047,S,"('10.0.0.5', 5001)",1752502911.3120027
37,4.321012496948242,S,"('10.0.0.6', 5001)",1752502911.8231802
38,3.246156930923462,S,"('10.0.0.5', 5001)",1752502911.8331132
39,4.933180332183838,S,"('10.0.0.5', 5001)",1752502912.6585176
40,1.8436059951782227,S,"('10.0.0.6', 5001)",1752502912.774185
41,1.8994026184082031,S,"('10.0.0.6', 5001)",1752502913.0726278
42,5.329797267913818,S,"('10.0.0.6', 5001)",1752502913.3630824
43,5.140239953994751,S,"('10.0.0.6', 5001)",1752502913.5162392
