eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,18.60759663581848,S,"('192.168.0.16', 5001)",1752145732.890775
2,26.565690994262695,S,"('192.168.0.17', 5001)",1752145734.8466976
3,18.528440713882446,S,"('192.168.0.18', 5001)",1752145736.9509451
4,13.319385528564453,S,"('192.168.0.17', 5001)",1752145741.6468678
5,26.094512224197388,S,"('192.168.0.15', 5001)",1752145743.6878326
6,14.503663539886475,S,"('192.168.0.15', 5001)",1752145745.003328
7,19.43116521835327,S,"('192.168.0.16', 5001)",1752145746.816184
8,23.533767223358154,S,"('192.168.0.18', 5001)",1752145748.1294749
9,19.66769003868103,S,"('192.168.0.17', 5001)",1752145749.4394062
10,18.480527639389038,S,"('192.168.0.16', 5001)",1752145749.9710395
11,21.65225601196289,S,"('192.168.0.15', 5001)",1752145750.3097868
12,25.695218324661255,S,"('192.168.0.17', 5001)",1752145750.6809351
13,25.620429039001465,S,"('192.168.0.16', 5001)",1752145755.5801253
14,31.484986543655396,S,"('192.168.0.18', 5001)",1752145758.7950947
15,35.114187717437744,S,"('192.168.0.16', 5001)",1752145759.3368232
16,36.01035141944885,S,"('192.168.0.17', 5001)",1752145761.5326958
17,33.17984890937805,S,"('192.168.0.15', 5001)",1752145762.979295
18,44.190786600112915,S,"('192.168.0.16', 5001)",1752145766.9408627
19,39.100412368774414,S,"('192.168.0.16', 5001)",1752145767.0737445
20,26.973756790161133,S,"('192.168.0.18', 5001)",1752145767.954143
21,28.164318561553955,S,"('192.168.0.16', 5001)",1752145768.8808718
22,37.74393057823181,S,"('192.168.0.16', 5001)",1752145771.8448668
23,38.41327500343323,S,"('192.168.0.17', 5001)",1752145774.0675097
24,31.226166486740112,S,"('192.168.0.16', 5001)",1752145774.3225088
25,26.36194109916687,S,"('192.168.0.15', 5001)",1752145776.094571
26,24.910455226898193,S,"('192.168.0.18', 5001)",1752145777.7612138
27,35.55272436141968,S,"('192.168.0.17', 5001)",1752145778.0511734
28,29.44495940208435,S,"('192.168.0.15', 5001)",1752145779.3131526
29,43.04577279090881,S,"('192.168.0.17', 5001)",1752145781.638238
30,36.92350649833679,S,"('192.168.0.16', 5001)",1752145785.0229416
31,35.03270483016968,S,"('192.168.0.15', 5001)",1752145787.3301382
32,37.18100190162659,S,"('192.168.0.16', 5001)",1752145789.828741
33,27.96003222465515,S,"('192.168.0.17', 5001)",1752145790.2280777
34,28.690239906311035,S,"('192.168.0.17', 5001)",1752145794.3142998
35,40.15065240859985,S,"('192.168.0.15', 5001)",1752145794.4317138
36,33.76760268211365,S,"('192.168.0.18', 5001)",1752145794.724971
37,22.02692198753357,S,"('192.168.0.16', 5001)",1752145796.1428807
38,37.95531153678894,S,"('192.168.0.17', 5001)",1752145797.2346394
39,50.16967439651489,S,"('192.168.0.16', 5001)",1752145799.3677397
40,32.72764730453491,S,"('192.168.0.18', 5001)",1752145802.2112315
41,26.885947465896606,S,"('192.168.0.15', 5001)",1752145804.5033903
42,41.74663329124451,S,"('192.168.0.15', 5001)",1752145805.6565077
43,43.873069047927856,S,"('192.168.0.16', 5001)",1752145807.5963035
44,23.058222770690918,S,"('192.168.0.15', 5001)",1752145811.95367
45,46.26092267036438,S,"('192.168.0.17', 5001)",1752145812.7356071
46,25.639573097229004,S,"('192.168.0.18', 5001)",1752145814.165178
47,31.340660333633423,S,"('192.168.0.18', 5001)",1752145817.6390855
48,34.33506941795349,S,"('192.168.0.15', 5001)",1752145819.7756507
49,21.105886697769165,S,"('192.168.0.15', 5001)",1752145820.5383818
50,37.12092876434326,S,"('192.168.0.15', 5001)",1752145821.1633716
51,37.83840560913086,S,"('192.168.0.15', 5001)",1752145822.024058
52,33.44652032852173,S,"('192.168.0.15', 5001)",1752145822.502014
53,37.593324184417725,S,"('192.168.0.15', 5001)",1752145822.7947087
54,35.54004192352295,S,"('192.168.0.15', 5001)",1752145823.1870096
55,30.044384479522705,S,"('192.168.0.15', 5001)",1752145826.7082288
56,38.51145672798157,S,"('192.168.0.16', 5001)",1752145829.4368458
57,32.589200258255005,S,"('192.168.0.17', 5001)",1752145830.8373914
58,41.34632635116577,S,"('192.168.0.16', 5001)",1752145832.7361946
59,41.32510495185852,S,"('192.168.0.15', 5001)",1752145833.1824868
60,29.164264678955078,S,"('192.168.0.15', 5001)",1752145834.3282733
61,24.418779134750366,S,"('192.168.0.15', 5001)",1752145838.7441807
62,29.477494955062866,S,"('192.168.0.15', 5001)",1752145839.0713975
63,39.18235158920288,S,"('192.168.0.18', 5001)",1752145844.0672274
64,34.04120349884033,S,"('192.168.0.16', 5001)",1752145848.1528141
65,26.838727712631226,S,"('192.168.0.16', 5001)",1752145849.5055375
66,40.772671699523926,S,"('192.168.0.17', 5001)",1752145853.3131726
67,31.66900944709778,S,"('192.168.0.15', 5001)",1752145857.9995813
68,31.852890253067017,S,"('192.168.0.16', 5001)",1752145858.9553046
69,28.61616849899292,S,"('192.168.0.15', 5001)",1752145859.3923004
70,23.960359573364258,S,"('192.168.0.16', 5001)",1752145860.6349213
71,34.622437953948975,S,"('192.168.0.17', 5001)",1752145860.6400013
72,42.20735001564026,S,"('192.168.0.18', 5001)",1752145862.3431396
73,27.65213179588318,S,"('192.168.0.18', 5001)",1752145864.0883982
74,27.45741295814514,S,"('192.168.0.18', 5001)",1752145866.1657662
75,33.29533648490906,S,"('192.168.0.17', 5001)",1752145866.4490883
76,38.273661375045776,S,"('192.168.0.16', 5001)",1752145868.0589018
77,37.20974659919739,S,"('192.168.0.16', 5001)",1752145869.8028877
78,41.213568925857544,S,"('192.168.0.18', 5001)",1752145873.7502344
79,34.16154718399048,S,"('192.168.0.15', 5001)",1752145876.670342
80,39.571168184280396,S,"('192.168.0.17', 5001)",1752145877.3415678
81,42.11527132987976,S,"('192.168.0.18', 5001)",1752145877.8890102
82,26.466830492019653,S,"('192.168.0.18', 5001)",1752145878.814203
83,31.918041229248047,S,"('192.168.0.18', 5001)",1752145881.67488
84,33.621530055999756,S,"('192.168.0.18', 5001)",1752145882.2209733
85,25.53975749015808,S,"('192.168.0.16', 5001)",1752145883.6586027
86,23.583924770355225,S,"('192.168.0.17', 5001)",1752145885.2168202
87,25.79988169670105,S,"('192.168.0.18', 5001)",1752145887.2307541
88,26.978033304214478,S,"('192.168.0.15', 5001)",1752145887.8166583
89,30.205192804336548,S,"('192.168.0.15', 5001)",1752145890.2063954
90,32.44401788711548,S,"('192.168.0.16', 5001)",1752145893.331372
91,35.708996295928955,S,"('192.168.0.15', 5001)",1752145893.7484698
92,36.30265426635742,S,"('192.168.0.16', 5001)",1752145897.2341232
93,38.005128622055054,S,"('192.168.0.17', 5001)",1752145899.3397117
94,21.38959050178528,S,"('192.168.0.17', 5001)",1752145900.1358664
95,22.244574308395386,S,"('192.168.0.17', 5001)",1752145902.4073079
96,36.616376876831055,S,"('192.168.0.18', 5001)",1752145903.6071317
97,29.172624588012695,S,"('192.168.0.17', 5001)",1752145905.4347632
98,22.048131942749023,S,"('192.168.0.15', 5001)",1752145912.3005195
99,21.74983787536621,S,"('192.168.0.17', 5001)",1752145912.8352842
100,23.94707727432251,S,"('192.168.0.17', 5001)",1752145916.6610856
101,23.509954690933228,S,"('192.168.0.15', 5001)",1752145917.5519114
102,35.73626518249512,S,"('192.168.0.17', 5001)",1752145920.3363223
103,37.23946762084961,S,"('192.168.0.17', 5001)",1752145920.9235954
104,38.717015981674194,S,"('192.168.0.15', 5001)",1752145921.44223
105,34.200050354003906,S,"('192.168.0.16', 5001)",1752145925.064958
106,39.74657917022705,S,"('192.168.0.17', 5001)",1752145926.269875
107,43.05192470550537,S,"('192.168.0.15', 5001)",1752145932.4607472
108,40.852144718170166,S,"('192.168.0.17', 5001)",1752145933.9731085
109,33.92222261428833,S,"('192.168.0.18', 5001)",1752145934.4553602
110,38.76231789588928,S,"('192.168.0.17', 5001)",1752145936.8848968
111,33.06701898574829,S,"('192.168.0.17', 5001)",1752145937.025678
112,30.613847017288208,S,"('192.168.0.17', 5001)",1752145937.3635004
113,32.911595821380615,S,"('192.168.0.16', 5001)",1752145938.2160912
114,35.076415061950684,S,"('192.168.0.16', 5001)",1752145941.147573
115,23.900379419326782,S,"('192.168.0.17', 5001)",1752145942.3285472
116,33.59389686584473,S,"('192.168.0.18', 5001)",1752145946.6990278
117,33.85482740402222,S,"('192.168.0.15', 5001)",1752145947.9442785
118,42.15841245651245,S,"('192.168.0.16', 5001)",1752145950.0770786
119,28.0615496635437,S,"('192.168.0.18', 5001)",1752145951.4935622
120,27.24232530593872,S,"('192.168.0.18', 5001)",1752145952.8459527
121,42.69312357902527,S,"('192.168.0.16', 5001)",1752145955.0243573
122,32.311800479888916,S,"('192.168.0.16', 5001)",1752145956.5438154
123,32.102001667022705,S,"('192.168.0.15', 5001)",1752145957.0190926
124,35.409990072250366,S,"('192.168.0.18', 5001)",1752145958.7418826
125,32.79451298713684,S,"('192.168.0.18', 5001)",1752145959.23082
126,22.15322470664978,S,"('192.168.0.16', 5001)",1752145964.615513
127,36.70342421531677,S,"('192.168.0.17', 5001)",1752145967.728165
128,35.92497420310974,S,"('192.168.0.17', 5001)",1752145971.8482537
129,31.907597064971924,S,"('192.168.0.16', 5001)",1752145972.076597
130,29.934808492660522,S,"('192.168.0.15', 5001)",1752145973.3074498
131,39.28777766227722,S,"('192.168.0.16', 5001)",1752145973.6055388
132,42.23702001571655,S,"('192.168.0.15', 5001)",1752145974.6803505
133,36.36992168426514,S,"('192.168.0.16', 5001)",1752145978.3748033
134,35.44382834434509,S,"('192.168.0.18', 5001)",1752145984.8627002
135,26.760573148727417,S,"('192.168.0.18', 5001)",1752145985.5050657
136,32.56919193267822,S,"('192.168.0.16', 5001)",1752145985.9473362
137,31.265936374664307,S,"('192.168.0.15', 5001)",1752145986.4965835
138,33.32712721824646,S,"('192.168.0.18', 5001)",1752145988.103875
139,34.00770401954651,S,"('192.168.0.15', 5001)",1752145989.704499
140,34.985193967819214,S,"('192.168.0.15', 5001)",1752145990.314498
141,23.96973729133606,S,"('192.168.0.15', 5001)",1752145992.688168
142,25.266531944274902,S,"('192.168.0.16', 5001)",1752145995.5604134
143,32.72851586341858,S,"('192.168.0.18', 5001)",1752145999.7292676
144,34.00023865699768,S,"('192.168.0.18', 5001)",1752146000.267913
145,29.565903902053833,S,"('192.168.0.17', 5001)",1752146000.8195398
146,31.684651613235474,S,"('192.168.0.15', 5001)",1752146001.187876
147,37.04854130744934,S,"('192.168.0.17', 5001)",1752146001.9897447
148,32.27630591392517,S,"('192.168.0.18', 5001)",1752146004.353641
149,34.74784779548645,S,"('192.168.0.15', 5001)",1752146004.5201733
150,24.782061338424683,S,"('192.168.0.16', 5001)",1752146004.626349
151,25.59599804878235,S,"('192.168.0.17', 5001)",1752146007.4933813
152,32.5079128742218,S,"('192.168.0.16', 5001)",1752146009.035251
153,41.795623779296875,S,"('192.168.0.16', 5001)",1752146010.7872038
154,37.053762912750244,S,"('192.168.0.18', 5001)",1752146013.866975
155,26.624003887176514,S,"('192.168.0.16', 5001)",1752146018.296885
156,23.720372915267944,S,"('192.168.0.16', 5001)",1752146018.3823202
157,40.28903031349182,S,"('192.168.0.15', 5001)",1752146019.3557916
158,38.411826372146606,S,"('192.168.0.15', 5001)",1752146020.68866
159,29.138741731643677,S,"('192.168.0.18', 5001)",1752146022.013891
160,30.363686084747314,S,"('192.168.0.18', 5001)",1752146034.1454973
161,24.35545516014099,S,"('192.168.0.15', 5001)",1752146037.765753
162,49.113972187042236,S,"('192.168.0.17', 5001)",1752146038.7701614
163,24.827999591827393,S,"('192.168.0.18', 5001)",1752146039.8494077
164,29.253844022750854,S,"('192.168.0.18', 5001)",1752146046.569557
165,29.338970184326172,S,"('192.168.0.15', 5001)",1752146057.0475845
166,43.22538924217224,S,"('192.168.0.16', 5001)",1752146058.3594322
167,22.426520347595215,S,"('192.168.0.18', 5001)",1752146059.620491
168,33.992711544036865,S,"('192.168.0.18', 5001)",1752146062.0896678
169,23.373379945755005,S,"('192.168.0.15', 5001)",1752146062.3954742
170,38.29909348487854,S,"('192.168.0.17', 5001)",1752146063.2483482
171,39.31809163093567,S,"('192.168.0.18', 5001)",1752146063.6779115
172,34.51053047180176,S,"('192.168.0.18', 5001)",1752146064.1570053
173,40.1646945476532,S,"('192.168.0.18', 5001)",1752146064.326202
174,30.23030996322632,S,"('192.168.0.15', 5001)",1752146066.5391505
175,35.268670320510864,S,"('192.168.0.17', 5001)",1752146066.5869818
176,35.17357301712036,S,"('192.168.0.17', 5001)",1752146067.4647229
177,39.89548397064209,S,"('192.168.0.16', 5001)",1752146068.089425
178,23.909770488739014,S,"('192.168.0.15', 5001)",1752146069.163287
179,37.268359422683716,S,"('192.168.0.15', 5001)",1752146069.4092736
180,33.345048904418945,S,"('192.168.0.17', 5001)",1752146073.3455935
181,34.506895303726196,S,"('192.168.0.17', 5001)",1752146074.4515715
182,29.628554105758667,S,"('192.168.0.16', 5001)",1752146076.35412
183,31.491435050964355,S,"('192.168.0.16', 5001)",1752146076.7392876
184,32.92875409126282,S,"('192.168.0.15', 5001)",1752146078.292219
185,28.17159938812256,S,"('192.168.0.15', 5001)",1752146079.182914
186,20.79505705833435,S,"('192.168.0.16', 5001)",1752146080.5847657
187,29.813127279281616,S,"('192.168.0.18', 5001)",1752146084.8187363
188,39.46737003326416,S,"('192.168.0.18', 5001)",1752146085.1107752
189,23.538280487060547,S,"('192.168.0.17', 5001)",1752146087.3637474
190,35.87406826019287,S,"('192.168.0.18', 5001)",1752146089.6063223
191,34.84708881378174,S,"('192.168.0.18', 5001)",1752146090.0516982
192,35.36514449119568,S,"('192.168.0.17', 5001)",1752146090.4549296
193,39.7160747051239,S,"('192.168.0.17', 5001)",1752146092.4210682
194,35.72715210914612,S,"('192.168.0.16', 5001)",1752146094.0425994
195,32.225956201553345,S,"('192.168.0.18', 5001)",1752146094.9232543
196,32.98768615722656,S,"('192.168.0.15', 5001)",1752146095.3148966
197,29.294745445251465,S,"('192.168.0.18', 5001)",1752146100.782571
198,25.128870248794556,S,"('192.168.0.17', 5001)",1752146102.2694485
199,37.77179217338562,S,"('192.168.0.15', 5001)",1752146104.2734978
200,31.78695845603943,S,"('192.168.0.16', 5001)",1752146106.3237627
201,33.56512689590454,S,"('192.168.0.16', 5001)",1752146110.039646
202,28.429501056671143,S,"('192.168.0.17', 5001)",1752146110.368987
203,28.495316743850708,S,"('192.168.0.15', 5001)",1752146114.0230563
204,30.612600803375244,S,"('192.168.0.16', 5001)",1752146114.4253654
205,32.62563467025757,S,"('192.168.0.15', 5001)",1752146115.896064
206,28.00769877433777,S,"('192.168.0.18', 5001)",1752146116.077141
207,38.251460790634155,S,"('192.168.0.17', 5001)",1752146116.34949
208,34.92576885223389,S,"('192.168.0.18', 5001)",1752146116.8712993
209,37.99946570396423,S,"('192.168.0.16', 5001)",1752146122.0725348
210,41.411309003829956,S,"('192.168.0.15', 5001)",1752146124.6090481
211,23.907917022705078,S,"('192.168.0.17', 5001)",1752146128.348718
212,27.887571096420288,S,"('192.168.0.16', 5001)",1752146130.9116375
213,24.973626852035522,S,"('192.168.0.16', 5001)",1752146132.3083518
214,31.778251886367798,S,"('192.168.0.15', 5001)",1752146134.3965893
215,29.500341415405273,S,"('192.168.0.17', 5001)",1752146135.6578562
216,35.70766234397888,S,"('192.168.0.15', 5001)",1752146138.1851213
217,36.64845681190491,S,"('192.168.0.15', 5001)",1752146138.9033089
218,23.711313009262085,S,"('192.168.0.16', 5001)",1752146141.1768255
219,44.64170694351196,S,"('192.168.0.18', 5001)",1752146142.6942914
220,33.97263240814209,S,"('192.168.0.16', 5001)",1752146148.1871092
221,33.937275409698486,S,"('192.168.0.17', 5001)",1752146151.6594203
222,37.0478298664093,S,"('192.168.0.18', 5001)",1752146152.8552895
223,24.66663360595703,S,"('192.168.0.15', 5001)",1752146158.750803
224,35.030460357666016,S,"('192.168.0.18', 5001)",1752146160.8208504
225,35.01459622383118,S,"('192.168.0.15', 5001)",1752146162.6133993
226,27.129135131835938,S,"('192.168.0.18', 5001)",1752146164.9877982
227,27.06442165374756,S,"('192.168.0.15', 5001)",1752146168.097594
228,35.661046743392944,S,"('192.168.0.15', 5001)",1752146170.0392287
229,34.033886671066284,S,"('192.168.0.16', 5001)",1752146171.3079824
230,33.86254334449768,S,"('192.168.0.18', 5001)",1752146172.0748713
231,32.273486614227295,S,"('192.168.0.16', 5001)",1752146172.245083
232,36.54634714126587,S,"('192.168.0.16', 5001)",1752146172.3165274
233,27.311466932296753,S,"('192.168.0.18', 5001)",1752146173.4953766
234,28.341177701950073,S,"('192.168.0.16', 5001)",1752146175.4591286
235,36.93299841880798,S,"('192.168.0.17', 5001)",1752146175.8495014
236,24.988438606262207,S,"('192.168.0.18', 5001)",1752146177.2115357
237,36.2948112487793,S,"('192.168.0.17', 5001)",1752146180.846335
238,36.905837297439575,S,"('192.168.0.18', 5001)",1752146184.1249738
239,35.76805853843689,S,"('192.168.0.17', 5001)",1752146185.3734002
240,33.07539105415344,S,"('192.168.0.16', 5001)",1752146185.8212533
241,33.50557255744934,S,"('192.168.0.17', 5001)",1752146187.005797
242,33.42375588417053,S,"('192.168.0.17', 5001)",1752146187.7969851
243,37.16239547729492,S,"('192.168.0.18', 5001)",1752146188.5290418
244,29.18397879600525,S,"('192.168.0.18', 5001)",1752146190.6551654
245,27.57088041305542,S,"('192.168.0.18', 5001)",1752146191.5333476
246,24.18712067604065,S,"('192.168.0.17', 5001)",1752146194.3896635
247,28.129430532455444,S,"('192.168.0.16', 5001)",1752146195.0556226
248,25.21997880935669,S,"('192.168.0.15', 5001)",1752146196.4364827
249,33.96355676651001,S,"('192.168.0.15', 5001)",1752146196.8550963
250,27.103609561920166,S,"('192.168.0.18', 5001)",1752146199.6781182
251,25.928480625152588,S,"('192.168.0.15', 5001)",1752146200.153977
252,34.650254011154175,S,"('192.168.0.17', 5001)",1752146201.738834
253,38.532376766204834,S,"('192.168.0.15', 5001)",1752146203.4761474
254,42.44273352622986,S,"('192.168.0.18', 5001)",1752146209.4840596
255,40.01455903053284,S,"('192.168.0.16', 5001)",1752146215.9770098
256,33.64913082122803,S,"('192.168.0.16', 5001)",1752146218.598635
257,26.632785081863403,S,"('192.168.0.15', 5001)",1752146221.9510705
258,29.070345878601074,S,"('192.168.0.16', 5001)",1752146225.0773425
259,39.28714299201965,S,"('192.168.0.17', 5001)",1752146226.3049588
260,32.88834524154663,S,"('192.168.0.17', 5001)",1752146226.495026
261,35.070242404937744,S,"('192.168.0.17', 5001)",1752146227.2924924
262,36.2413055896759,S,"('192.168.0.16', 5001)",1752146227.8168213
263,21.187321186065674,S,"('192.168.0.15', 5001)",1752146229.6190233
264,22.37659454345703,S,"('192.168.0.18', 5001)",1752146234.561833
265,35.950907945632935,S,"('192.168.0.16', 5001)",1752146235.4305284
266,32.28809881210327,S,"('192.168.0.15', 5001)",1752146235.8687587
267,28.842156171798706,S,"('192.168.0.18', 5001)",1752146238.720762
