eva_count_list,eva_value_list,control_tag_list,servers_list
1,23.080268144607544,S,"('192.168.0.15', 5001)"
2,21.6421856880188,S,"('192.168.0.15', 5001)"
3,24.559832334518433,S,"('192.168.0.15', 5001)"
4,25.836708784103394,S,"('192.168.0.15', 5001)"
5,26.038217306137085,S,"('192.168.0.15', 5001)"
6,30.501224279403687,S,"('192.168.0.15', 5001)"
7,29.037946224212646,S,"('192.168.0.15', 5001)"
8,41.256444215774536,S,"('192.168.0.15', 5001)"
9,27.489352464675903,S,"('192.168.0.15', 5001)"
10,49.55459690093994,S,"('192.168.0.15', 5001)"
11,57.034247398376465,S,"('192.168.0.15', 5001)"
12,29.688401460647583,S,"('192.168.0.15', 5001)"
13,30.29234790802002,S,"('192.168.0.15', 5001)"
14,31.895177841186523,S,"('192.168.0.15', 5001)"
15,34.62699484825134,S,"('192.168.0.15', 5001)"
16,38.98311972618103,S,"('192.168.0.15', 5001)"
17,36.33566665649414,S,"('192.168.0.15', 5001)"
18,30.507940530776978,S,"('192.168.0.15', 5001)"
19,27.97588276863098,S,"('192.168.0.15', 5001)"
20,27.379223585128784,S,"('192.168.0.15', 5001)"
21,27.9338960647583,S,"('192.168.0.15', 5001)"
22,30.180071592330933,S,"('192.168.0.15', 5001)"
23,27.86352562904358,S,"('192.168.0.15', 5001)"
24,38.879515171051025,S,"('192.168.0.15', 5001)"
25,42.92783570289612,S,"('192.168.0.15', 5001)"
26,28.37018918991089,S,"('192.168.0.15', 5001)"
27,39.800708293914795,S,"('192.168.0.15', 5001)"
28,24.18777632713318,S,"('192.168.0.15', 5001)"
29,48.40628457069397,S,"('192.168.0.15', 5001)"
30,30.718868494033813,S,"('192.168.0.15', 5001)"
31,34.088183879852295,S,"('192.168.0.15', 5001)"
32,26.40106749534607,S,"('192.168.0.15', 5001)"
33,39.10358643531799,S,"('192.168.0.15', 5001)"
34,44.94030046463013,S,"('192.168.0.15', 5001)"
35,35.09114193916321,S,"('192.168.0.15', 5001)"
36,39.30790090560913,S,"('192.168.0.15', 5001)"
37,27.768572330474854,S,"('192.168.0.15', 5001)"
38,30.195653676986694,S,"('192.168.0.15', 5001)"
39,27.490230083465576,S,"('192.168.0.15', 5001)"
40,45.67571997642517,S,"('192.168.0.15', 5001)"
41,26.960521936416626,S,"('192.168.0.15', 5001)"
42,53.940927267074585,S,"('192.168.0.15', 5001)"
43,29.24392056465149,S,"('192.168.0.15', 5001)"
44,41.229215145111084,S,"('192.168.0.15', 5001)"
45,34.53031015396118,S,"('192.168.0.15', 5001)"
46,32.45735001564026,S,"('192.168.0.15', 5001)"
47,30.701419591903687,S,"('192.168.0.15', 5001)"
48,36.43543839454651,S,"('192.168.0.15', 5001)"
49,51.89428734779358,S,"('192.168.0.15', 5001)"
50,32.283050537109375,S,"('192.168.0.15', 5001)"
51,47.03317594528198,S,"('192.168.0.15', 5001)"
52,29.068342447280884,S,"('192.168.0.15', 5001)"
53,26.751010417938232,S,"('192.168.0.15', 5001)"
54,37.12534141540527,S,"('192.168.0.15', 5001)"
55,31.70721459388733,S,"('192.168.0.15', 5001)"
56,32.55232357978821,S,"('192.168.0.15', 5001)"
57,34.57671785354614,S,"('192.168.0.15', 5001)"
58,36.703309774398804,S,"('192.168.0.15', 5001)"
59,25.98952317237854,S,"('192.168.0.15', 5001)"
60,27.537111282348633,S,"('192.168.0.15', 5001)"
61,27.781502962112427,S,"('192.168.0.15', 5001)"
62,28.079864501953125,S,"('192.168.0.15', 5001)"
63,42.063462257385254,S,"('192.168.0.15', 5001)"
64,28.15380597114563,S,"('192.168.0.15', 5001)"
65,39.16387748718262,S,"('192.168.0.15', 5001)"
66,62.020217180252075,S,"('192.168.0.15', 5001)"
67,28.846685886383057,S,"('192.168.0.15', 5001)"
68,30.359156370162964,S,"('192.168.0.15', 5001)"
69,37.508145332336426,S,"('192.168.0.15', 5001)"
70,21.08310866355896,S,"('192.168.0.15', 5001)"
71,25.797563791275024,S,"('192.168.0.15', 5001)"
72,32.416154861450195,S,"('192.168.0.15', 5001)"
73,39.84813714027405,S,"('192.168.0.15', 5001)"
74,41.24649381637573,S,"('192.168.0.15', 5001)"
75,33.042393922805786,S,"('192.168.0.15', 5001)"
76,43.068010330200195,S,"('192.168.0.15', 5001)"
77,37.512192487716675,S,"('192.168.0.15', 5001)"
78,37.1899688243866,S,"('192.168.0.15', 5001)"
79,31.527552843093872,S,"('192.168.0.15', 5001)"
80,37.55331325531006,S,"('192.168.0.15', 5001)"
81,32.21199703216553,S,"('192.168.0.15', 5001)"
82,24.697269916534424,S,"('192.168.0.15', 5001)"
83,32.01860690116882,S,"('192.168.0.15', 5001)"
84,27.099660634994507,S,"('192.168.0.15', 5001)"
85,31.858769178390503,S,"('192.168.0.15', 5001)"
86,33.53899884223938,S,"('192.168.0.15', 5001)"
87,35.15693211555481,S,"('192.168.0.15', 5001)"
88,36.99331855773926,S,"('192.168.0.15', 5001)"
89,26.308987140655518,S,"('192.168.0.15', 5001)"
90,49.17327404022217,S,"('192.168.0.15', 5001)"
91,24.926283836364746,S,"('192.168.0.15', 5001)"
92,30.394017934799194,S,"('192.168.0.15', 5001)"
93,32.00698733329773,S,"('192.168.0.15', 5001)"
94,33.78251099586487,S,"('192.168.0.15', 5001)"
95,28.7488112449646,S,"('192.168.0.15', 5001)"
96,57.47935676574707,S,"('192.168.0.15', 5001)"
97,27.38494849205017,S,"('192.168.0.15', 5001)"
98,26.67224907875061,S,"('192.168.0.15', 5001)"
99,44.84607195854187,S,"('192.168.0.15', 5001)"
100,49.01673913002014,S,"('192.168.0.15', 5001)"
101,30.05778694152832,S,"('192.168.0.15', 5001)"
102,37.043835401535034,S,"('192.168.0.15', 5001)"
103,28.225282907485962,S,"('192.168.0.15', 5001)"
104,29.881733894348145,S,"('192.168.0.15', 5001)"
105,41.24929738044739,S,"('192.168.0.15', 5001)"
106,33.40327763557434,S,"('192.168.0.15', 5001)"
107,26.73130989074707,S,"('192.168.0.15', 5001)"
108,31.47126865386963,S,"('192.168.0.15', 5001)"
109,35.01800870895386,S,"('192.168.0.15', 5001)"
110,28.76738929748535,S,"('192.168.0.15', 5001)"
111,39.98356914520264,S,"('192.168.0.15', 5001)"
112,36.410467863082886,S,"('192.168.0.15', 5001)"
113,29.79204535484314,S,"('192.168.0.15', 5001)"
114,34.97307467460632,S,"('192.168.0.15', 5001)"
115,43.06148600578308,S,"('192.168.0.15', 5001)"
116,28.580583333969116,S,"('192.168.0.15', 5001)"
117,28.10504937171936,S,"('192.168.0.15', 5001)"
118,36.96930527687073,S,"('192.168.0.15', 5001)"
119,25.39441704750061,S,"('192.168.0.15', 5001)"
120,29.65573740005493,S,"('192.168.0.15', 5001)"
121,28.229280471801758,S,"('192.168.0.15', 5001)"
122,32.106823682785034,S,"('192.168.0.15', 5001)"
123,54.058574199676514,S,"('192.168.0.15', 5001)"
124,30.76251792907715,S,"('192.168.0.15', 5001)"
125,31.23676323890686,S,"('192.168.0.15', 5001)"
126,41.8695330619812,S,"('192.168.0.15', 5001)"
127,40.70620846748352,S,"('192.168.0.15', 5001)"
128,30.916001796722412,S,"('192.168.0.15', 5001)"
129,38.42187690734863,S,"('192.168.0.15', 5001)"
130,31.38732409477234,S,"('192.168.0.15', 5001)"
131,42.492454290390015,S,"('192.168.0.15', 5001)"
132,45.1014986038208,S,"('192.168.0.15', 5001)"
133,29.092610597610474,S,"('192.168.0.15', 5001)"
134,46.719175577163696,S,"('192.168.0.15', 5001)"
135,35.570138931274414,S,"('192.168.0.15', 5001)"
136,41.12812852859497,S,"('192.168.0.15', 5001)"
137,32.25333642959595,S,"('192.168.0.15', 5001)"
138,33.57992887496948,S,"('192.168.0.15', 5001)"
139,58.45205521583557,S,"('192.168.0.15', 5001)"
140,34.864919662475586,S,"('192.168.0.15', 5001)"
