eva_count_list,eva_value_list,control_tag_list,servers_list
1,2.9461491107940674,S,"('192.168.0.15', 5001)"
2,6.002831220626831,S,"('192.168.0.15', 5001)"
3,6.914830207824707,S,"('192.168.0.15', 5001)"
4,5.008154630661011,S,"('192.168.0.15', 5001)"
5,7.684297800064087,S,"('192.168.0.15', 5001)"
6,4.606674909591675,S,"('192.168.0.15', 5001)"
7,7.442359685897827,S,"('192.168.0.15', 5001)"
8,8.747744083404541,S,"('192.168.0.15', 5001)"
9,8.531813383102417,S,"('192.168.0.15', 5001)"
10,9.29085898399353,S,"('192.168.0.15', 5001)"
11,9.324008464813232,S,"('192.168.0.15', 5001)"
12,10.341660976409912,S,"('192.168.0.15', 5001)"
13,16.554104804992676,S,"('192.168.0.15', 5001)"
14,11.636440753936768,S,"('192.168.0.15', 5001)"
15,10.313632249832153,S,"('192.168.0.15', 5001)"
16,10.890074491500854,S,"('192.168.0.15', 5001)"
17,13.729533672332764,S,"('192.168.0.15', 5001)"
18,15.236231803894043,S,"('192.168.0.15', 5001)"
19,9.298502206802368,S,"('192.168.0.15', 5001)"
20,12.293186902999878,S,"('192.168.0.15', 5001)"
21,7.2782697677612305,S,"('192.168.0.15', 5001)"
22,11.32086181640625,S,"('192.168.0.15', 5001)"
23,10.425997972488403,S,"('192.168.0.15', 5001)"
24,10.155164003372192,S,"('192.168.0.15', 5001)"
25,14.92836618423462,S,"('192.168.0.15', 5001)"
26,18.71829080581665,S,"('192.168.0.15', 5001)"
27,13.139352798461914,S,"('192.168.0.15', 5001)"
28,12.543916940689087,S,"('192.168.0.15', 5001)"
29,12.894845008850098,S,"('192.168.0.15', 5001)"
30,12.706055164337158,S,"('192.168.0.15', 5001)"
31,4.558758497238159,S,"('192.168.0.15', 5001)"
32,8.292003631591797,S,"('192.168.0.15', 5001)"
33,6.6199445724487305,S,"('192.168.0.15', 5001)"
34,7.699397325515747,S,"('192.168.0.15', 5001)"
35,4.588646650314331,S,"('192.168.0.15', 5001)"
36,6.032085180282593,S,"('192.168.0.15', 5001)"
37,7.444970369338989,S,"('192.168.0.15', 5001)"
38,7.482394695281982,S,"('192.168.0.15', 5001)"
39,8.23909306526184,S,"('192.168.0.15', 5001)"
40,8.930222749710083,S,"('192.168.0.15', 5001)"
41,7.579368352890015,S,"('192.168.0.15', 5001)"
42,8.611479759216309,S,"('192.168.0.15', 5001)"
43,5.597544431686401,S,"('192.168.0.15', 5001)"
44,5.679863929748535,S,"('192.168.0.15', 5001)"
45,6.199364185333252,S,"('192.168.0.15', 5001)"
46,5.67982816696167,S,"('192.168.0.15', 5001)"
47,2.247593879699707,S,"('192.168.0.15', 5001)"
48,1.9508907794952393,S,"('192.168.0.15', 5001)"
49,3.718883752822876,S,"('192.168.0.15', 5001)"
50,6.674481630325317,S,"('192.168.0.15', 5001)"
51,7.988615274429321,S,"('192.168.0.15', 5001)"
52,7.60215950012207,S,"('192.168.0.15', 5001)"
53,5.732824087142944,S,"('192.168.0.15', 5001)"
54,9.029776811599731,S,"('192.168.0.15', 5001)"
55,6.710989713668823,S,"('192.168.0.15', 5001)"
56,8.399000406265259,S,"('192.168.0.15', 5001)"
57,9.462815284729004,S,"('192.168.0.15', 5001)"
58,3.5147359371185303,S,"('192.168.0.15', 5001)"
59,5.4202399253845215,S,"('192.168.0.15', 5001)"
60,2.9643235206604004,S,"('192.168.0.15', 5001)"
61,4.121412754058838,S,"('192.168.0.15', 5001)"
62,4.08196496963501,S,"('192.168.0.15', 5001)"
63,2.6494498252868652,S,"('192.168.0.15', 5001)"
64,2.6049773693084717,S,"('192.168.0.15', 5001)"
65,1.802619457244873,S,"('192.168.0.15', 5001)"
66,1.7678468227386475,S,"('192.168.0.15', 5001)"
67,1.7831790447235107,S,"('192.168.0.15', 5001)"
68,2.389317512512207,S,"('192.168.0.15', 5001)"
69,7.004693984985352,S,"('192.168.0.15', 5001)"
70,6.655606985092163,S,"('192.168.0.15', 5001)"
71,9.862538576126099,S,"('192.168.0.15', 5001)"
72,9.70317268371582,S,"('192.168.0.15', 5001)"
73,7.8297483921051025,S,"('192.168.0.15', 5001)"
74,8.803921937942505,S,"('192.168.0.15', 5001)"
75,12.032087087631226,S,"('192.168.0.15', 5001)"
76,8.741355419158936,S,"('192.168.0.15', 5001)"
77,14.652733087539673,S,"('192.168.0.15', 5001)"
78,15.001846075057983,S,"('192.168.0.15', 5001)"
79,10.00182843208313,S,"('192.168.0.15', 5001)"
80,17.279998302459717,S,"('192.168.0.15', 5001)"
81,13.041231155395508,S,"('192.168.0.15', 5001)"
82,19.265938758850098,S,"('192.168.0.15', 5001)"
83,13.442201137542725,S,"('192.168.0.15', 5001)"
84,13.771878719329834,S,"('192.168.0.15', 5001)"
85,15.389995813369751,S,"('192.168.0.15', 5001)"
86,20.25543737411499,S,"('192.168.0.15', 5001)"
87,21.117787837982178,S,"('192.168.0.15', 5001)"
88,16.566844701766968,S,"('192.168.0.15', 5001)"
89,14.311896800994873,S,"('192.168.0.15', 5001)"
90,20.725264310836792,S,"('192.168.0.15', 5001)"
91,13.623677730560303,S,"('192.168.0.15', 5001)"
92,14.462576389312744,S,"('192.168.0.15', 5001)"
93,15.153532266616821,S,"('192.168.0.15', 5001)"
94,9.03115200996399,S,"('192.168.0.15', 5001)"
95,11.731342315673828,S,"('192.168.0.15', 5001)"
96,9.312615394592285,S,"('192.168.0.15', 5001)"
97,13.503065347671509,S,"('192.168.0.15', 5001)"
98,15.594895124435425,S,"('192.168.0.15', 5001)"
99,10.657688856124878,S,"('192.168.0.15', 5001)"
100,7.930387735366821,S,"('192.168.0.15', 5001)"
101,15.11506962776184,S,"('192.168.0.15', 5001)"
102,20.929046392440796,S,"('192.168.0.15', 5001)"
103,2.726327657699585,S,"('192.168.0.15', 5001)"
104,3.7498960494995117,S,"('192.168.0.15', 5001)"
105,5.919223070144653,S,"('192.168.0.15', 5001)"
106,1.6505820751190186,S,"('192.168.0.15', 5001)"
107,2.1417269706726074,S,"('192.168.0.15', 5001)"
108,1.63191556930542,S,"('192.168.0.15', 5001)"
109,2.556957244873047,S,"('192.168.0.15', 5001)"
110,3.2266080379486084,S,"('192.168.0.15', 5001)"
111,1.502077341079712,S,"('192.168.0.15', 5001)"
112,1.6072578430175781,S,"('192.168.0.15', 5001)"
113,1.7764744758605957,S,"('192.168.0.15', 5001)"
114,2.4620509147644043,S,"('192.168.0.15', 5001)"
115,1.8086674213409424,S,"('192.168.0.15', 5001)"
116,1.7188138961791992,S,"('192.168.0.15', 5001)"
117,1.7851216793060303,S,"('192.168.0.15', 5001)"
118,2.182291269302368,S,"('192.168.0.15', 5001)"
119,3.620183229446411,S,"('192.168.0.15', 5001)"
120,2.4403741359710693,S,"('192.168.0.15', 5001)"
121,1.6189947128295898,S,"('192.168.0.15', 5001)"
122,1.7954952716827393,S,"('192.168.0.15', 5001)"
123,2.181051731109619,S,"('192.168.0.15', 5001)"
124,7.350775718688965,S,"('192.168.0.15', 5001)"
125,5.287793159484863,S,"('192.168.0.15', 5001)"
126,14.774094343185425,S,"('192.168.0.15', 5001)"
127,13.873594760894775,S,"('192.168.0.15', 5001)"
128,13.42497444152832,S,"('192.168.0.15', 5001)"
129,9.839707374572754,S,"('192.168.0.15', 5001)"
130,9.937137365341187,S,"('192.168.0.15', 5001)"
131,19.499451160430908,S,"('192.168.0.15', 5001)"
132,9.697818994522095,S,"('192.168.0.15', 5001)"
133,14.199944496154785,S,"('192.168.0.15', 5001)"
134,9.31028699874878,S,"('192.168.0.15', 5001)"
135,28.13272714614868,S,"('192.168.0.15', 5001)"
136,14.894400119781494,S,"('192.168.0.15', 5001)"
137,23.451640844345093,S,"('192.168.0.15', 5001)"
138,10.260554790496826,S,"('192.168.0.15', 5001)"
139,10.147482872009277,S,"('192.168.0.15', 5001)"
140,10.306417465209961,S,"('192.168.0.15', 5001)"
141,19.18693971633911,S,"('192.168.0.15', 5001)"
142,11.43536114692688,S,"('192.168.0.15', 5001)"
143,11.82041621208191,S,"('192.168.0.15', 5001)"
144,10.178775310516357,S,"('192.168.0.15', 5001)"
145,11.517585039138794,S,"('192.168.0.15', 5001)"
146,11.166836977005005,S,"('192.168.0.15', 5001)"
147,10.539225339889526,S,"('192.168.0.15', 5001)"
148,13.979325532913208,S,"('192.168.0.15', 5001)"
149,11.880672693252563,S,"('192.168.0.15', 5001)"
150,11.719801664352417,S,"('192.168.0.15', 5001)"
151,11.816524267196655,S,"('192.168.0.15', 5001)"
152,12.487414360046387,S,"('192.168.0.15', 5001)"
153,10.08706021308899,S,"('192.168.0.15', 5001)"
154,12.135353326797485,S,"('192.168.0.15', 5001)"
155,11.918681859970093,S,"('192.168.0.15', 5001)"
156,8.901969909667969,S,"('192.168.0.15', 5001)"
157,9.850593090057373,S,"('192.168.0.15', 5001)"
158,9.99387001991272,S,"('192.168.0.15', 5001)"
159,11.190418481826782,S,"('192.168.0.15', 5001)"
160,6.280988931655884,S,"('192.168.0.15', 5001)"
161,12.81646728515625,S,"('192.168.0.15', 5001)"
162,4.142836332321167,S,"('192.168.0.15', 5001)"
163,1.6780729293823242,S,"('192.168.0.15', 5001)"
164,1.9909729957580566,S,"('192.168.0.15', 5001)"
165,2.400240421295166,S,"('192.168.0.15', 5001)"
166,2.665733575820923,S,"('192.168.0.15', 5001)"
167,3.9937562942504883,S,"('192.168.0.15', 5001)"
168,4.930963754653931,S,"('192.168.0.15', 5001)"
169,6.742584466934204,S,"('192.168.0.15', 5001)"
170,6.024749994277954,S,"('192.168.0.15', 5001)"
171,6.203797340393066,S,"('192.168.0.15', 5001)"
172,6.011263132095337,S,"('192.168.0.15', 5001)"
173,7.731058359146118,S,"('192.168.0.15', 5001)"
174,10.791709661483765,S,"('192.168.0.15', 5001)"
175,15.163965225219727,S,"('192.168.0.15', 5001)"
176,8.928595304489136,S,"('192.168.0.15', 5001)"
177,6.688366651535034,S,"('192.168.0.15', 5001)"
178,8.404748678207397,S,"('192.168.0.15', 5001)"
179,8.653605222702026,S,"('192.168.0.15', 5001)"
180,8.042396306991577,S,"('192.168.0.15', 5001)"
181,6.113723516464233,S,"('192.168.0.15', 5001)"
182,8.406932353973389,S,"('192.168.0.15', 5001)"
183,17.275639295578003,S,"('192.168.0.15', 5001)"
184,6.013995170593262,S,"('192.168.0.15', 5001)"
185,4.348382472991943,S,"('192.168.0.15', 5001)"
186,4.448918581008911,S,"('192.168.0.15', 5001)"
187,2.34104585647583,S,"('192.168.0.15', 5001)"
188,3.188687562942505,S,"('192.168.0.15', 5001)"
189,2.1513795852661133,S,"('192.168.0.15', 5001)"
190,4.739786386489868,S,"('192.168.0.15', 5001)"
191,2.984609603881836,S,"('192.168.0.15', 5001)"
192,4.207823753356934,S,"('192.168.0.15', 5001)"
193,6.190129518508911,S,"('192.168.0.15', 5001)"
194,6.985667705535889,S,"('192.168.0.15', 5001)"
195,5.002175807952881,S,"('192.168.0.15', 5001)"
196,7.0068724155426025,S,"('192.168.0.15', 5001)"
197,3.001601457595825,S,"('192.168.0.15', 5001)"
198,4.053508758544922,S,"('192.168.0.15', 5001)"
199,11.34209418296814,S,"('192.168.0.15', 5001)"
200,2.6044058799743652,S,"('192.168.0.15', 5001)"
201,4.872223615646362,S,"('192.168.0.15', 5001)"
202,6.417632341384888,S,"('192.168.0.15', 5001)"
203,3.6693193912506104,S,"('192.168.0.15', 5001)"
204,7.702798843383789,S,"('192.168.0.15', 5001)"
205,6.764779806137085,S,"('192.168.0.15', 5001)"
206,2.402890205383301,S,"('192.168.0.15', 5001)"
207,4.119208574295044,S,"('192.168.0.15', 5001)"
208,5.553623199462891,S,"('192.168.0.15', 5001)"
209,2.8010149002075195,S,"('192.168.0.15', 5001)"
210,3.6955137252807617,S,"('192.168.0.15', 5001)"
211,4.1777262687683105,S,"('192.168.0.15', 5001)"
212,2.8496618270874023,S,"('192.168.0.15', 5001)"
213,2.234290838241577,S,"('192.168.0.15', 5001)"
214,2.137298345565796,S,"('192.168.0.15', 5001)"
215,1.71293306350708,S,"('192.168.0.15', 5001)"
216,2.385080337524414,S,"('192.168.0.15', 5001)"
217,4.483722448348999,S,"('192.168.0.15', 5001)"
218,3.8905327320098877,S,"('192.168.0.15', 5001)"
219,1.7857060432434082,S,"('192.168.0.15', 5001)"
220,1.7958378791809082,S,"('192.168.0.15', 5001)"
221,4.378752708435059,S,"('192.168.0.15', 5001)"
222,6.775015354156494,S,"('192.168.0.15', 5001)"
223,5.167723178863525,S,"('192.168.0.15', 5001)"
224,8.039178371429443,S,"('192.168.0.15', 5001)"
225,2.334953784942627,S,"('192.168.0.15', 5001)"
226,7.840611457824707,S,"('192.168.0.15', 5001)"
227,8.19248080253601,S,"('192.168.0.15', 5001)"
228,10.476663827896118,S,"('192.168.0.15', 5001)"
229,12.547613859176636,S,"('192.168.0.15', 5001)"
230,11.537750482559204,S,"('192.168.0.15', 5001)"
231,15.827877283096313,S,"('192.168.0.15', 5001)"
232,13.98574948310852,S,"('192.168.0.15', 5001)"
233,10.248344421386719,S,"('192.168.0.15', 5001)"
234,9.436150550842285,S,"('192.168.0.15', 5001)"
235,7.526198625564575,S,"('192.168.0.15', 5001)"
236,5.126309156417847,S,"('192.168.0.15', 5001)"
237,5.568172454833984,S,"('192.168.0.15', 5001)"
238,5.439755439758301,S,"('192.168.0.15', 5001)"
239,5.598617315292358,S,"('192.168.0.15', 5001)"
