eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,9.74067234992981,S,"('10.0.0.5', 5001)",1753413519.4372284
2,11.132418632507324,S,"('10.0.0.5', 5001)",1753413519.6162379
3,11.573555946350098,S,"('10.0.0.5', 5001)",1753413519.9141033
4,11.843241691589355,S,"('10.0.0.5', 5001)",1753413519.9519877
5,13.00874137878418,S,"('10.0.0.5', 5001)",1753413520.6618783
6,13.909780025482178,S,"('10.0.0.5', 5001)",1753413521.0027676
7,13.4294593334198,S,"('10.0.0.5', 5001)",1753413521.2292256
8,15.326081275939941,S,"('10.0.0.5', 5001)",1753413521.628155
9,14.415465831756592,S,"('10.0.0.5', 5001)",1753413521.9501693
10,16.406736373901367,S,"('10.0.0.5', 5001)",1753413522.0239975
11,11.659026622772217,S,"('10.0.0.5', 5001)",1753413522.1464663
12,11.920418739318848,S,"('10.0.0.5', 5001)",1753413522.1553624
13,14.774081230163574,S,"('10.0.0.5', 5001)",1753413522.259429
14,13.090940237045288,S,"('10.0.0.5', 5001)",1753413523.5437422
15,13.726367712020874,S,"('10.0.0.5', 5001)",1753413523.7072444
16,13.154587507247925,S,"('10.0.0.5', 5001)",1753413523.7661965
17,15.237071990966797,S,"('10.0.0.5', 5001)",1753413523.857926
18,13.37976598739624,S,"('10.0.0.5', 5001)",1753413524.024482
19,13.122942209243774,S,"('10.0.0.5', 5001)",1753413524.4442213
20,15.450981378555298,S,"('10.0.0.5', 5001)",1753413524.6132624
21,12.607335090637207,S,"('10.0.0.5', 5001)",1753413524.6602325
22,13.141095876693726,S,"('10.0.0.5', 5001)",1753413524.699122
23,13.919743061065674,S,"('10.0.0.5', 5001)",1753413524.754323
24,12.624145746231079,S,"('10.0.0.5', 5001)",1753413524.8795974
25,13.473846197128296,S,"('10.0.0.5', 5001)",1753413524.8815985
26,14.237437963485718,S,"('10.0.0.5', 5001)",1753413524.9255006
27,15.198437213897705,S,"('10.0.0.5', 5001)",1753413525.0411897
28,14.425537586212158,S,"('10.0.0.5', 5001)",1753413525.3706203
29,14.728451251983643,S,"('10.0.0.5', 5001)",1753413525.4513075
30,16.248745679855347,S,"('10.0.0.5', 5001)",1753413525.5798118
31,14.323956489562988,S,"('10.0.0.5', 5001)",1753413525.8470526
32,15.508145093917847,S,"('10.0.0.5', 5001)",1753413526.0913122
33,17.372949838638306,S,"('10.0.0.5', 5001)",1753413526.1901903
34,12.971829175949097,S,"('10.0.0.5', 5001)",1753413526.4913733
35,14.445397853851318,S,"('10.0.0.5', 5001)",1753413526.5990038
36,15.752571821212769,S,"('10.0.0.5', 5001)",1753413527.0153296
