eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,2.4213550090789795,S,"('10.0.0.5', 5001)",1752457967.4192903
2,2.051166296005249,S,"('10.0.0.5', 5001)",1752457967.5757358
3,2.9351208209991455,S,"('10.0.0.5', 5001)",1752457967.905899
4,3.8729543685913086,S,"('10.0.0.5', 5001)",1752457968.0187755
5,4.220553398132324,S,"('10.0.0.6', 5001)",1752457968.2177994
6,4.495112895965576,S,"('10.0.0.5', 5001)",1752457968.3656666
7,2.826955556869507,S,"('10.0.0.6', 5001)",1752457968.392565
8,3.9741761684417725,S,"('10.0.0.6', 5001)",1752457969.1408741
9,4.851276397705078,S,"('10.0.0.6', 5001)",1752457969.6948724
10,3.5912623405456543,S,"('10.0.0.5', 5001)",1752457969.8393908
11,3.3328816890716553,S,"('10.0.0.6', 5001)",1752457970.0280442
12,2.4167568683624268,S,"('10.0.0.5', 5001)",1752457970.056524
13,2.4691004753112793,S,"('10.0.0.6', 5001)",1752457970.1268601
14,5.707291126251221,S,"('10.0.0.5', 5001)",1752457970.2255943
15,6.253548622131348,S,"('10.0.0.5', 5001)",1752457970.3323474
16,1.416107416152954,S,"('10.0.0.5', 5001)",1752457970.7750332
17,5.019120931625366,S,"('10.0.0.6', 5001)",1752457971.0477955
18,5.772953748703003,S,"('10.0.0.5', 5001)",1752457971.9934359
19,1.5163583755493164,S,"('10.0.0.5', 5001)",1752457972.2577927
20,1.6566669940948486,S,"('10.0.0.6', 5001)",1752457972.3085191
21,5.9734275341033936,S,"('10.0.0.6', 5001)",1752457972.4973774
22,0.8991458415985107,S,"('10.0.0.5', 5001)",1752457972.7412987
23,5.467812776565552,S,"('10.0.0.5', 5001)",1752457973.384098
24,0.9438369274139404,S,"('10.0.0.5', 5001)",1752457973.6704233
25,1.1672675609588623,S,"('10.0.0.6', 5001)",1752457973.7651927
26,7.045603036880493,S,"('10.0.0.6', 5001)",1752457973.7860126
27,6.3012025356292725,S,"('10.0.0.5', 5001)",1752457973.7929742
28,7.385770082473755,S,"('10.0.0.5', 5001)",1752457973.8242557
29,8.135478496551514,S,"('10.0.0.6', 5001)",1752457973.846139
30,0.7665867805480957,S,"('10.0.0.5', 5001)",1752457974.1623297
31,8.910924434661865,S,"('10.0.0.5', 5001)",1752457974.4383762
32,8.43032693862915,S,"('10.0.0.6', 5001)",1752457974.6366987
33,7.731294631958008,S,"('10.0.0.6', 5001)",1752457974.7696292
34,9.060254096984863,S,"('10.0.0.5', 5001)",1752457974.8862116
35,7.270143270492554,S,"('10.0.0.5', 5001)",1752457975.625135
36,6.586914777755737,S,"('10.0.0.5', 5001)",1752457975.8054657
37,7.889386177062988,S,"('10.0.0.5', 5001)",1752457976.010834
38,2.854642629623413,S,"('10.0.0.5', 5001)",1752457976.3222194
39,6.4647057056427,S,"('10.0.0.6', 5001)",1752457976.7438612
40,6.924222707748413,S,"('10.0.0.5', 5001)",1752457976.8390603
41,3.3341269493103027,S,"('10.0.0.6', 5001)",1752457977.1917386
42,3.239480495452881,S,"('10.0.0.6', 5001)",1752457977.2980146
43,3.4432733058929443,S,"('10.0.0.5', 5001)",1752457977.4420671
44,5.828504323959351,S,"('10.0.0.6', 5001)",1752457977.5831296
45,4.4051899909973145,S,"('10.0.0.6', 5001)",1752457977.7285728
46,5.280771493911743,S,"('10.0.0.5', 5001)",1752457977.8187523
47,4.321524620056152,S,"('10.0.0.5', 5001)",1752457978.051765
48,3.8504409790039062,S,"('10.0.0.6', 5001)",1752457978.352892
49,3.9755749702453613,S,"('10.0.0.6', 5001)",1752457978.9246018
50,4.486510515213013,S,"('10.0.0.5', 5001)",1752457979.367182
51,4.129624128341675,S,"('10.0.0.6', 5001)",1752457979.576042
52,4.21216082572937,S,"('10.0.0.5', 5001)",1752457980.031127
53,3.684175491333008,S,"('10.0.0.6', 5001)",1752457980.4252777
54,2.7860875129699707,S,"('10.0.0.6', 5001)",1752457981.5705798
55,1.9941954612731934,S,"('10.0.0.5', 5001)",1752457982.0813625
56,5.017832517623901,S,"('10.0.0.6', 5001)",1752457982.1094449
57,5.024209976196289,S,"('10.0.0.5', 5001)",1752457982.1880045
58,6.727182149887085,S,"('10.0.0.5', 5001)",1752457982.2263162
59,0.7356829643249512,S,"('10.0.0.6', 5001)",1752457982.3452108
60,7.8790178298950195,S,"('10.0.0.6', 5001)",1752457982.3924747
61,7.839330434799194,S,"('10.0.0.6', 5001)",1752457982.45183
62,7.9751996994018555,S,"('10.0.0.6', 5001)",1752457982.507945
63,8.095918893814087,S,"('10.0.0.6', 5001)",1752457982.759365
64,1.1059837341308594,S,"('10.0.0.6', 5001)",1752457982.9979937
65,7.235281467437744,S,"('10.0.0.6', 5001)",1752457983.13779
66,7.676355600357056,S,"('10.0.0.6', 5001)",1752457983.3908637
67,1.1153850555419922,S,"('10.0.0.6', 5001)",1752457983.58854
68,9.060286521911621,S,"('10.0.0.5', 5001)",1752457983.6402402
69,8.686147212982178,S,"('10.0.0.6', 5001)",1752457985.095026
70,8.567838430404663,S,"('10.0.0.5', 5001)",1752457985.1293035
71,1.5196599960327148,S,"('10.0.0.6', 5001)",1752457985.2116244
72,1.7604472637176514,S,"('10.0.0.5', 5001)",1752457985.7731426
73,0.9777266979217529,S,"('10.0.0.6', 5001)",1752457986.4923003
74,1.0056586265563965,S,"('10.0.0.6', 5001)",1752457986.4982696
75,7.961292505264282,S,"('10.0.0.6', 5001)",1752457986.724606
76,7.212987184524536,S,"('10.0.0.5', 5001)",1752457986.916621
77,7.988581895828247,S,"('10.0.0.5', 5001)",1752457987.1419766
78,8.413696765899658,S,"('10.0.0.6', 5001)",1752457987.1659284
79,8.442616701126099,S,"('10.0.0.6', 5001)",1752457987.3281329
80,7.723838567733765,S,"('10.0.0.5', 5001)",1752457987.7748263
81,7.31774377822876,S,"('10.0.0.6', 5001)",1752457987.8253596
82,8.507368087768555,S,"('10.0.0.6', 5001)",1752457988.1544158
83,9.74172830581665,S,"('10.0.0.5', 5001)",1752457988.4212322
84,0.7855212688446045,S,"('10.0.0.6', 5001)",1752457988.4440496
85,0.7839040756225586,S,"('10.0.0.6', 5001)",1752457988.7213385
86,8.727589130401611,S,"('10.0.0.6', 5001)",1752457989.2252932
87,8.095874547958374,S,"('10.0.0.6', 5001)",1752457989.3567908
88,0.9133584499359131,S,"('10.0.0.6', 5001)",1752457989.5218272
89,7.985344171524048,S,"('10.0.0.6', 5001)",1752457989.859728
90,0.92266845703125,S,"('10.0.0.6', 5001)",1752457989.9648857
91,8.986218690872192,S,"('10.0.0.6', 5001)",1752457990.1693244
92,7.838914632797241,S,"('10.0.0.6', 5001)",1752457990.189567
93,7.819780111312866,S,"('10.0.0.5', 5001)",1752457990.207422
94,7.002131938934326,S,"('10.0.0.5', 5001)",1752457990.2852767
95,1.3674044609069824,S,"('10.0.0.6', 5001)",1752457990.5622277
96,8.251380681991577,S,"('10.0.0.6', 5001)",1752457990.9204721
97,7.166964530944824,S,"('10.0.0.5', 5001)",1752457991.2848592
98,2.608114242553711,S,"('10.0.0.6', 5001)",1752457991.308657
99,2.9864089488983154,S,"('10.0.0.5', 5001)",1752457991.5625615
100,6.8367390632629395,S,"('10.0.0.6', 5001)",1752457992.0164964
101,7.151488780975342,S,"('10.0.0.5', 5001)",1752457992.3366625
102,2.43188214302063,S,"('10.0.0.5', 5001)",1752457993.4569407
103,2.734707832336426,S,"('10.0.0.6', 5001)",1752457993.7618825
104,6.167065858840942,S,"('10.0.0.5', 5001)",1752457993.7814364
105,5.750499486923218,S,"('10.0.0.6', 5001)",1752457993.9321415
106,2.260657548904419,S,"('10.0.0.5', 5001)",1752457994.104226
107,2.0422234535217285,S,"('10.0.0.5', 5001)",1752457994.1706038
108,2.0997395515441895,S,"('10.0.0.6', 5001)",1752457994.2394223
109,6.491266965866089,S,"('10.0.0.6', 5001)",1752457994.3734467
110,6.090793609619141,S,"('10.0.0.5', 5001)",1752457994.5386145
111,1.0634264945983887,S,"('10.0.0.6', 5001)",1752457994.669108
112,1.2574944496154785,S,"('10.0.0.6', 5001)",1752457994.8168929
113,0.8416233062744141,S,"('10.0.0.5', 5001)",1752457994.8706067
114,6.110466718673706,S,"('10.0.0.5', 5001)",1752457994.9974742
115,6.80789852142334,S,"('10.0.0.6', 5001)",1752457995.509235
116,6.085997819900513,S,"('10.0.0.6', 5001)",1752457995.7718306
