eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,3.6385068893432617,S,"('192.168.0.16', 5001)",1752029799.3298078
2,3.83229660987854,S,"('192.168.0.16', 5001)",1752029799.3954854
3,1.8410522937774658,S,"('192.168.0.16', 5001)",1752029802.383447
4,2.4923338890075684,S,"('192.168.0.16', 5001)",1752029806.2326117
5,5.793622016906738,S,"('192.168.0.16', 5001)",1752029806.9377604
6,6.4847283363342285,S,"('192.168.0.16', 5001)",1752029808.0369205
7,8.930669784545898,S,"('192.168.0.16', 5001)",1752029808.0839124
8,12.436333179473877,S,"('192.168.0.16', 5001)",1752029809.0700896
9,12.867077350616455,S,"('192.168.0.16', 5001)",1752029809.3820038
10,12.829476356506348,S,"('192.168.0.16', 5001)",1752029810.1532464
11,12.071724891662598,S,"('192.168.0.16', 5001)",1752029810.6234636
12,12.811046600341797,S,"('192.168.0.16', 5001)",1752029811.1552305
13,13.24849820137024,S,"('192.168.0.16', 5001)",1752029811.624051
14,19.33436107635498,S,"('192.168.0.16', 5001)",1752029813.6437268
15,10.040902376174927,S,"('192.168.0.16', 5001)",1752029814.3182695
16,12.942908525466919,S,"('192.168.0.16', 5001)",1752029814.6093886
17,12.370990514755249,S,"('192.168.0.16', 5001)",1752029818.2528582
18,27.447959899902344,S,"('192.168.0.16', 5001)",1752029819.7176018
19,27.29068613052368,S,"('192.168.0.16', 5001)",1752029822.9145339
20,10.264844417572021,S,"('192.168.0.16', 5001)",1752029827.5320451
21,11.296334981918335,S,"('192.168.0.16', 5001)",1752029828.9728353
22,9.175705432891846,S,"('192.168.0.16', 5001)",1752029830.4449222
23,10.217114210128784,S,"('192.168.0.16', 5001)",1752029831.1090138
24,10.360195875167847,S,"('192.168.0.16', 5001)",1752029832.4918587
25,11.716943979263306,S,"('192.168.0.16', 5001)",1752029832.6645002
26,3.77042818069458,S,"('192.168.0.16', 5001)",1752029834.5392747
27,20.92224097251892,S,"('192.168.0.16', 5001)",1752029846.7744336
28,7.082738637924194,S,"('192.168.0.16', 5001)",1752029848.088463
29,7.4075891971588135,S,"('192.168.0.16', 5001)",1752029848.212909
30,7.6795594692230225,S,"('192.168.0.16', 5001)",1752029848.4733438
31,8.724079370498657,S,"('192.168.0.16', 5001)",1752029848.5343194
32,3.401254892349243,S,"('192.168.0.16', 5001)",1752029855.0711331
33,5.65885591506958,S,"('192.168.0.16', 5001)",1752029857.174185
34,5.026512861251831,S,"('192.168.0.16', 5001)",1752029858.48199
35,4.162207126617432,S,"('192.168.0.16', 5001)",1752029866.737269
36,5.71197247505188,S,"('192.168.0.16', 5001)",1752029867.1138458
37,7.141062021255493,S,"('192.168.0.16', 5001)",1752029867.6636388
38,6.462860345840454,S,"('192.168.0.16', 5001)",1752029870.5840232
39,7.85429835319519,S,"('192.168.0.16', 5001)",1752029871.4249303
40,5.78054404258728,S,"('192.168.0.16', 5001)",1752029873.6134555
41,6.870511054992676,S,"('192.168.0.16', 5001)",1752029874.3951895
