eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.7245478630065918,S,"('192.168.0.15', 5001)",1752381455.6652133
2,3.823657274246216,S,"('192.168.0.15', 5001)",1752381455.838552
3,5.424213647842407,S,"('192.168.0.15', 5001)",1752381456.0044053
4,6.261557102203369,S,"('192.168.0.15', 5001)",1752381456.1728392
5,6.567978143692017,S,"('192.168.0.15', 5001)",1752381456.719481
6,6.820704698562622,S,"('192.168.0.15', 5001)",1752381457.0420384
7,6.9402477741241455,S,"('192.168.0.15', 5001)",1752381457.0713553
8,7.886668682098389,S,"('192.168.0.15', 5001)",1752381457.285898
9,8.579571962356567,S,"('192.168.0.15', 5001)",1752381457.6394398
10,8.141839265823364,S,"('192.168.0.15', 5001)",1752381458.2058904
11,8.994593381881714,S,"('192.168.0.15', 5001)",1752381458.2862482
12,6.790145635604858,S,"('192.168.0.15', 5001)",1752381458.6747205
13,9.062912464141846,S,"('192.168.0.15', 5001)",1752381459.1233633
14,7.862466096878052,S,"('192.168.0.15', 5001)",1752381459.4341688
15,8.605090379714966,S,"('192.168.0.15', 5001)",1752381459.454578
16,8.659165620803833,S,"('192.168.0.15', 5001)",1752381459.5519693
17,8.860892057418823,S,"('192.168.0.15', 5001)",1752381459.638367
18,8.638061046600342,S,"('192.168.0.15', 5001)",1752381459.816652
19,8.04594087600708,S,"('192.168.0.15', 5001)",1752381459.9451907
20,8.094682455062866,S,"('192.168.0.15', 5001)",1752381460.4248881
21,8.740049839019775,S,"('192.168.0.15', 5001)",1752381460.4944513
22,8.74355936050415,S,"('192.168.0.15', 5001)",1752381460.578941
23,8.063385486602783,S,"('192.168.0.15', 5001)",1752381460.8432112
24,8.823328256607056,S,"('192.168.0.15', 5001)",1752381460.8800595
25,9.673566341400146,S,"('192.168.0.15', 5001)",1752381460.9597814
26,7.515450477600098,S,"('192.168.0.15', 5001)",1752381461.0802255
27,8.224413394927979,S,"('192.168.0.15', 5001)",1752381461.8048904
28,7.328875541687012,S,"('192.168.0.15', 5001)",1752381462.9353447
29,8.652264595031738,S,"('192.168.0.15', 5001)",1752381463.0740376
30,8.77278733253479,S,"('192.168.0.15', 5001)",1752381463.1784794
31,8.180074691772461,S,"('192.168.0.15', 5001)",1752381463.1862178
32,8.787102460861206,S,"('192.168.0.15', 5001)",1752381464.0231798
33,6.900089979171753,S,"('192.168.0.15', 5001)",1752381464.492702
34,7.543747186660767,S,"('192.168.0.15', 5001)",1752381464.6298296
35,7.821837425231934,S,"('192.168.0.15', 5001)",1752381464.729943
