eva_count_list,eva_value_list
1,-1.0771422717049721
2,-0.855257959278138
3,-1.1295794305606377
4,-0.5788893145483376
5,-0.9017635315386583
6,-0.7883415318437563
7,-0.5997086646135034
8,-1.0058583880375382
9,-0.8770632822216111
10,-0.5499957528525039
11,-0.5301988402607265
12,-0.9966888455396514
13,-0.5397448907509946
14,-0.7835444918112694
15,-0.5563390422298695
16,-0.58022060830878
17,-0.8266533780954003
18,-0.5027864215300093
19,-0.5125610860144609
20,-0.5359626572459175
21,-0.817342776164724
22,-0.5080904906979329
23,-0.8007618730068751
24,-0.6080493719643808
25,-0.5060421469567171
26,-1.0811741569980213
27,-0.8207441657035911
28,-0.5684209369118634
29,-0.5331137027064055
30,-0.5681781385189609
31,-0.5992930950710191
32,-0.5491300791841586
33,-0.5728125133472968
34,-0.536195203413521
35,-0.5259619094548297
36,-0.5780922915768129
37,-0.5456521758236865
38,-0.6293098311375591
39,-0.5683877040106174
40,-0.4567072099190801
41,-0.5996904658498583
42,-0.5426201933591819
43,-0.5074089097625447
44,-0.5647359521199158
45,-0.8580968926721024
46,-0.5536976671006075
47,-0.5362568828110962
48,-0.5740245103860699
49,-0.8023270737612893
50,-0.5045726486754085
51,-0.8592381024418423
52,-0.5329262171739799
53,-0.4949884203626306
54,-0.5279382046466599
55,-0.5740970784125967
56,-0.5519712353259802
57,-0.531116558228795
58,-0.5948802061791719
59,-0.5383569256533696
60,-0.5671054213718626
61,-0.5436827342795254
62,-0.6244491384504601
63,-0.5952311890478078
64,-0.6275902517659395
65,-0.5576411767666294
66,-0.51238787229212
67,-0.5894497581135416
68,-0.4622971896259226
69,-0.5758353594918308
70,-0.505928333408969
71,-0.5294729521532788
72,-0.7686690484295293
73,-0.5146745203471922
74,-0.5718353686456482
75,-0.5069011313937906
76,-0.5600492072347139
77,-0.5610537668048069
78,-0.4836916802941521
79,-0.4988591553091538
80,-0.5564264101288556
81,-0.6265168845472263
82,-0.5555100183705611
83,-0.5226954274392248
84,-0.5344683155556453
85,-0.5105452486658588
86,-0.6191582752451751
87,-0.6074731909236244
88,-0.514785689725363
89,-0.5307550174881874
90,-0.4723217042007339
91,-0.5960888798644297
92,-0.5821342858944238
93,-0.5903385936032592
94,-0.883304688676405
95,-0.5406789723704103
96,-0.538886512903275
97,-0.5667021707567813
98,-0.535708633651968
99,-0.6207271942908521
100,-0.6024231626359826
101,-0.5286196957612994
102,-0.5775613917238885
103,-0.6342497028930376
104,-0.6142689188961514
105,-0.5514637957020898
106,-0.5344761956613866
107,-0.5508140854188672
108,-0.4881406029271348
109,-0.6153479570654168
110,-0.5953932881271317
111,-0.60916796629767
112,-0.610785760681025
113,-0.5525735303725777
114,-0.5461361778003967
115,-0.5960263480979759
116,-0.5493810505719394
117,-0.543182534890921
118,-0.591844692188065
119,-0.6037116329685452
120,-0.6570835090106895
121,-0.6304896401917353
122,-0.5856877402468819
123,-0.6038744473653397
124,-0.537003843845655
125,-0.5416668190705275
126,-0.5954811602437713
127,-0.6876134887466057
128,-0.5288665680606947
129,-0.5505401914458086
130,-0.6063703001467072
131,-0.48943221722935604
132,-0.5285497545288625
133,-0.6433485120000303
134,-0.6088618393299493
135,-0.558518398179392
136,-0.5384925970096884
137,-0.5752972614547238
138,-0.5892297149685027
139,-0.5448732695293343
140,-0.6060084410925973
141,-0.6509365934922167
142,-0.7171300229413705
143,-0.5181263636026363
144,-0.6391085769991047
145,-0.5132526842813546
146,-0.5855165064399975
