eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,12.841299057006836,S,"('10.0.0.16', 5001)",1755177078.3789985
2,16.746508598327637,S,"('10.0.0.17', 5001)",1755177078.3874893
3,17.45466923713684,S,"('10.0.0.17', 5001)",1755177078.5749521
4,17.540177822113037,S,"('10.0.0.17', 5001)",1755177078.5775177
5,20.601457595825195,S,"('10.0.0.16', 5001)",1755177079.8223963
6,19.767996549606323,S,"('10.0.0.15', 5001)",1755177080.022831
7,22.12255048751831,S,"('10.0.0.17', 5001)",1755177080.6708264
8,24.77307963371277,S,"('10.0.0.18', 5001)",1755177081.4685466
9,25.18473768234253,S,"('10.0.0.15', 5001)",1755177081.9840875
10,26.302570581436157,S,"('10.0.0.17', 5001)",1755177082.0032153
11,25.258540391921997,S,"('10.0.0.16', 5001)",1755177083.9773488
12,28.642749071121216,S,"('10.0.0.16', 5001)",1755177084.0357697
13,27.18055772781372,S,"('10.0.0.15', 5001)",1755177084.6875992
14,26.917322874069214,S,"('10.0.0.17', 5001)",1755177085.1005685
15,28.349054098129272,S,"('10.0.0.15', 5001)",1755177085.7578905
16,26.721747398376465,S,"('10.0.0.18', 5001)",1755177086.2787173
17,29.605565071105957,S,"('10.0.0.18', 5001)",1755177086.4327567
18,28.18331551551819,S,"('10.0.0.15', 5001)",1755177087.034702
19,30.74711799621582,S,"('10.0.0.17', 5001)",1755177087.4204364
20,30.871655225753784,S,"('10.0.0.17', 5001)",1755177088.5397294
21,27.025002241134644,S,"('10.0.0.16', 5001)",1755177089.0784569
22,24.481563806533813,S,"('10.0.0.16', 5001)",1755177089.2210584
23,29.10482406616211,S,"('10.0.0.16', 5001)",1755177089.3813288
24,28.674620628356934,S,"('10.0.0.17', 5001)",1755177089.387424
25,26.031397581100464,S,"('10.0.0.17', 5001)",1755177090.1661682
26,21.14892578125,S,"('10.0.0.16', 5001)",1755177090.715388
27,31.345623016357422,S,"('10.0.0.15', 5001)",1755177090.9083123
28,28.675238847732544,S,"('10.0.0.18', 5001)",1755177091.7960062
29,31.00748634338379,S,"('10.0.0.15', 5001)",1755177092.5829487
30,24.758543014526367,S,"('10.0.0.17', 5001)",1755177092.8495896
31,25.607300519943237,S,"('10.0.0.17', 5001)",1755177092.873513
32,23.76812243461609,S,"('10.0.0.18', 5001)",1755177092.875391
33,28.592952728271484,S,"('10.0.0.15', 5001)",1755177094.0679288
34,27.254404544830322,S,"('10.0.0.17', 5001)",1755177095.7162735
35,26.291359901428223,S,"('10.0.0.15', 5001)",1755177095.7701287
36,30.464256286621094,S,"('10.0.0.17', 5001)",1755177095.788168
37,26.66089391708374,S,"('10.0.0.15', 5001)",1755177095.9277022
38,28.50599431991577,S,"('10.0.0.16', 5001)",1755177096.3486571
39,29.33275842666626,S,"('10.0.0.16', 5001)",1755177096.393617
40,32.8370463848114,S,"('10.0.0.17', 5001)",1755177097.6722586
41,23.388219833374023,S,"('10.0.0.15', 5001)",1755177097.7537742
42,31.627751111984253,S,"('10.0.0.17', 5001)",1755177097.9474297
43,33.29866147041321,S,"('10.0.0.18', 5001)",1755177098.681285
44,29.87088966369629,S,"('10.0.0.16', 5001)",1755177098.8538294
45,28.27378010749817,S,"('10.0.0.15', 5001)",1755177099.5833526
46,27.22407102584839,S,"('10.0.0.16', 5001)",1755177101.2304728
47,23.899245500564575,S,"('10.0.0.16', 5001)",1755177101.465923
48,28.439629793167114,S,"('10.0.0.16', 5001)",1755177101.578215
49,24.20267653465271,S,"('10.0.0.17', 5001)",1755177102.0166593
50,28.92164659500122,S,"('10.0.0.17', 5001)",1755177102.4508827
51,30.045640468597412,S,"('10.0.0.18', 5001)",1755177102.6753576
52,31.3311870098114,S,"('10.0.0.18', 5001)",1755177102.7777352
53,25.702898740768433,S,"('10.0.0.16', 5001)",1755177102.9007847
54,27.259425401687622,S,"('10.0.0.17', 5001)",1755177103.336282
55,29.55584144592285,S,"('10.0.0.18', 5001)",1755177103.4118216
56,28.436990976333618,S,"('10.0.0.18', 5001)",1755177103.6212947
57,26.549957990646362,S,"('10.0.0.15', 5001)",1755177104.1510222
58,20.140644550323486,S,"('10.0.0.17', 5001)",1755177104.482625
59,29.41434335708618,S,"('10.0.0.16', 5001)",1755177104.870018
60,26.98876643180847,S,"('10.0.0.16', 5001)",1755177105.36925
61,29.785019159317017,S,"('10.0.0.17', 5001)",1755177106.6865313
62,32.57177114486694,S,"('10.0.0.17', 5001)",1755177107.45573
63,32.591407775878906,S,"('10.0.0.17', 5001)",1755177109.0250752
64,27.23747992515564,S,"('10.0.0.16', 5001)",1755177109.1235075
65,29.192107915878296,S,"('10.0.0.17', 5001)",1755177109.5001645
66,28.613420248031616,S,"('10.0.0.18', 5001)",1755177109.5845592
67,23.371599912643433,S,"('10.0.0.15', 5001)",1755177109.9215379
68,27.64630627632141,S,"('10.0.0.18', 5001)",1755177109.9478862
69,29.926900386810303,S,"('10.0.0.16', 5001)",1755177110.6182575
70,29.25602626800537,S,"('10.0.0.18', 5001)",1755177111.318423
71,24.170384168624878,S,"('10.0.0.16', 5001)",1755177111.5239086
72,29.329768896102905,S,"('10.0.0.17', 5001)",1755177112.9804087
73,26.33052921295166,S,"('10.0.0.17', 5001)",1755177113.073923
74,26.535381078720093,S,"('10.0.0.18', 5001)",1755177113.3117182
75,30.593215227127075,S,"('10.0.0.15', 5001)",1755177113.5446725
76,36.006245613098145,S,"('10.0.0.18', 5001)",1755177113.5778959
77,33.035507917404175,S,"('10.0.0.16', 5001)",1755177114.074965
78,29.18199896812439,S,"('10.0.0.16', 5001)",1755177115.3365288
79,28.06079864501953,S,"('10.0.0.17', 5001)",1755177115.9475656
80,29.1598219871521,S,"('10.0.0.18', 5001)",1755177117.4235094
81,30.33591651916504,S,"('10.0.0.18', 5001)",1755177117.9762778
82,33.08855199813843,S,"('10.0.0.18', 5001)",1755177118.0061693
83,22.665003776550293,S,"('10.0.0.17', 5001)",1755177119.8011365
84,28.06118679046631,S,"('10.0.0.16', 5001)",1755177121.292633
85,28.040271520614624,S,"('10.0.0.15', 5001)",1755177122.0216281
86,26.72088623046875,S,"('10.0.0.18', 5001)",1755177122.5658183
87,23.645087003707886,S,"('10.0.0.16', 5001)",1755177123.4754655
88,31.077817678451538,S,"('10.0.0.15', 5001)",1755177125.143646
89,25.411197185516357,S,"('10.0.0.18', 5001)",1755177125.5799541
90,29.21627640724182,S,"('10.0.0.15', 5001)",1755177126.1226625
91,27.085826873779297,S,"('10.0.0.16', 5001)",1755177126.703308
92,26.446283102035522,S,"('10.0.0.16', 5001)",1755177126.7734048
93,24.1058452129364,S,"('10.0.0.18', 5001)",1755177127.0775397
94,28.331144094467163,S,"('10.0.0.18', 5001)",1755177127.3315303
95,32.92178821563721,S,"('10.0.0.17', 5001)",1755177129.493045
96,22.90518808364868,S,"('10.0.0.16', 5001)",1755177129.7315476
97,25.15236258506775,S,"('10.0.0.18', 5001)",1755177130.0197456
98,26.158870458602905,S,"('10.0.0.15', 5001)",1755177130.2850988
99,27.246169567108154,S,"('10.0.0.17', 5001)",1755177130.319943
100,23.640332221984863,S,"('10.0.0.16', 5001)",1755177132.2013385
101,24.066116094589233,S,"('10.0.0.15', 5001)",1755177135.5123298
102,23.769131898880005,S,"('10.0.0.15', 5001)",1755177136.1016998
103,26.19016122817993,S,"('10.0.0.18', 5001)",1755177136.3936403
104,28.201645374298096,S,"('10.0.0.15', 5001)",1755177136.4280748
105,24.361196517944336,S,"('10.0.0.16', 5001)",1755177136.4628465
106,16.1198410987854,S,"('10.0.0.15', 5001)",1755177136.9068613
107,22.28952431678772,S,"('10.0.0.17', 5001)",1755177137.494707
108,25.564993381500244,S,"('10.0.0.15', 5001)",1755177139.0314922
109,5.632697582244873,S,"('10.0.0.17', 5001)",1755177139.1880865
110,4.212733030319214,S,"('10.0.0.15', 5001)",1755177139.2954133
111,19.59950280189514,S,"('10.0.0.18', 5001)",1755177139.5481927
112,3.251466989517212,S,"('10.0.0.18', 5001)",1755177139.7821376
113,1.590183973312378,S,"('10.0.0.18', 5001)",1755177140.290808
114,20.684151887893677,S,"('10.0.0.18', 5001)",1755177140.7166739
115,1.4878902435302734,S,"('10.0.0.15', 5001)",1755177140.7226527
116,24.498421669006348,S,"('10.0.0.18', 5001)",1755177143.0389142
117,19.163420915603638,S,"('10.0.0.15', 5001)",1755177143.8881328
118,27.687415838241577,S,"('10.0.0.16', 5001)",1755177144.643399
119,1.499211072921753,S,"('10.0.0.17', 5001)",1755177145.0210276
120,19.467767238616943,S,"('10.0.0.18', 5001)",1755177145.24445
121,15.507651567459106,S,"('10.0.0.15', 5001)",1755177145.4318995
122,14.367776155471802,S,"('10.0.0.15', 5001)",1755177146.0668232
123,18.580883979797363,S,"('10.0.0.16', 5001)",1755177146.2633283
124,1.286649227142334,S,"('10.0.0.17', 5001)",1755177147.0883136
125,13.670140266418457,S,"('10.0.0.15', 5001)",1755177147.1994824
126,14.216253757476807,S,"('10.0.0.18', 5001)",1755177147.3706856
127,15.283056020736694,S,"('10.0.0.16', 5001)",1755177149.0704944
128,16.16028928756714,S,"('10.0.0.17', 5001)",1755177150.399088
