eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,2.553072929382324,S,"('10.0.0.5', 5001)",1753523224.5298765
2,2.9666635990142822,S,"('10.0.0.6', 5001)",1753523224.69303
3,2.6991114616394043,S,"('10.0.0.6', 5001)",1753523224.7333217
4,2.879333972930908,S,"('10.0.0.5', 5001)",1753523224.8940618
5,0.9543595314025879,S,"('10.0.0.5', 5001)",1753523225.0400033
6,0.9772107601165771,S,"('10.0.0.6', 5001)",1753523225.0954
7,0.9697790145874023,S,"('10.0.0.6', 5001)",1753523225.1281412
8,7.707315444946289,S,"('10.0.0.5', 5001)",1753523225.4355428
9,0.7703597545623779,S,"('10.0.0.5', 5001)",1753523225.705739
10,9.51402497291565,S,"('10.0.0.5', 5001)",1753523225.7879043
11,12.058213710784912,S,"('10.0.0.5', 5001)",1753523226.0380065
12,12.184118270874023,S,"('10.0.0.6', 5001)",1753523226.0493464
13,0.8717432022094727,S,"('10.0.0.5', 5001)",1753523226.335815
14,0.775155782699585,S,"('10.0.0.5', 5001)",1753523226.4597585
15,13.125269889831543,S,"('10.0.0.6', 5001)",1753523226.738886
16,11.381540536880493,S,"('10.0.0.6', 5001)",1753523226.7898958
17,12.251006364822388,S,"('10.0.0.5', 5001)",1753523226.9386885
18,13.885934591293335,S,"('10.0.0.6', 5001)",1753523227.014998
19,1.2733972072601318,S,"('10.0.0.5', 5001)",1753523227.0605268
20,1.7158794403076172,S,"('10.0.0.5', 5001)",1753523227.0762246
21,1.8074817657470703,S,"('10.0.0.6', 5001)",1753523227.2352953
22,0.9397554397583008,S,"('10.0.0.5', 5001)",1753523227.3294952
23,14.412049531936646,S,"('10.0.0.6', 5001)",1753523227.4448962
24,0.8407275676727295,S,"('10.0.0.6', 5001)",1753523227.646016
25,0.8795037269592285,S,"('10.0.0.5', 5001)",1753523227.6499546
26,13.41552448272705,S,"('10.0.0.6', 5001)",1753523227.7057788
27,12.578266620635986,S,"('10.0.0.6', 5001)",1753523228.0619292
28,0.8254201412200928,S,"('10.0.0.5', 5001)",1753523228.0805235
29,13.52460265159607,S,"('10.0.0.5', 5001)",1753523228.1341934
30,0.7168107032775879,S,"('10.0.0.6', 5001)",1753523228.166119
31,0.9404618740081787,S,"('10.0.0.5', 5001)",1753523228.2753196
32,12.536378145217896,S,"('10.0.0.6', 5001)",1753523228.3867774
33,11.382045269012451,S,"('10.0.0.5', 5001)",1753523228.45002
34,0.6309349536895752,S,"('10.0.0.6', 5001)",1753523228.5731034
35,1.5432710647583008,S,"('10.0.0.5', 5001)",1753523228.6380124
36,1.8391282558441162,S,"('10.0.0.5', 5001)",1753523228.7099433
37,12.424699068069458,S,"('10.0.0.6', 5001)",1753523229.2195356
38,0.6697821617126465,S,"('10.0.0.5', 5001)",1753523229.5081034
39,0.8181326389312744,S,"('10.0.0.6', 5001)",1753523229.722785
40,11.904364109039307,S,"('10.0.0.6', 5001)",1753523229.9311414
41,11.286125898361206,S,"('10.0.0.6', 5001)",1753523229.9404697
42,1.067826509475708,S,"('10.0.0.5', 5001)",1753523230.1455138
43,14.927517890930176,S,"('10.0.0.6', 5001)",1753523230.1859171
44,1.8900933265686035,S,"('10.0.0.6', 5001)",1753523230.2738695
45,12.143749952316284,S,"('10.0.0.6', 5001)",1753523230.406135
46,9.728562593460083,S,"('10.0.0.5', 5001)",1753523230.443719
47,13.057679653167725,S,"('10.0.0.6', 5001)",1753523230.8487058
48,2.44130277633667,S,"('10.0.0.5', 5001)",1753523231.239779
49,2.6811349391937256,S,"('10.0.0.5', 5001)",1753523231.6472495
50,2.7728710174560547,S,"('10.0.0.6', 5001)",1753523231.861977
51,2.5151124000549316,S,"('10.0.0.6', 5001)",1753523231.905792
52,2.6685194969177246,S,"('10.0.0.6', 5001)",1753523232.0631688
53,10.684309959411621,S,"('10.0.0.6', 5001)",1753523232.92891
54,9.400857210159302,S,"('10.0.0.6', 5001)",1753523233.0494418
55,0.8735156059265137,S,"('10.0.0.6', 5001)",1753523233.2363293
56,10.289873838424683,S,"('10.0.0.6', 5001)",1753523233.3955574
57,1.0519952774047852,S,"('10.0.0.5', 5001)",1753523234.424809
58,0.8527426719665527,S,"('10.0.0.5', 5001)",1753523234.6388183
59,15.741727590560913,S,"('10.0.0.5', 5001)",1753523235.1887658
60,13.20866322517395,S,"('10.0.0.5', 5001)",1753523235.7297008
61,11.875494956970215,S,"('10.0.0.5', 5001)",1753523236.2898326
62,14.060882806777954,S,"('10.0.0.5', 5001)",1753523236.4907892
63,13.045650482177734,S,"('10.0.0.5', 5001)",1753523237.2437847
64,12.612373352050781,S,"('10.0.0.6', 5001)",1753523237.4566836
65,15.155425071716309,S,"('10.0.0.6', 5001)",1753523237.4673672
66,1.4952785968780518,S,"('10.0.0.6', 5001)",1753523237.8178642
67,1.5325748920440674,S,"('10.0.0.5', 5001)",1753523237.8411853
68,0.7984333038330078,S,"('10.0.0.5', 5001)",1753523238.2983253
69,13.431933641433716,S,"('10.0.0.5', 5001)",1753523238.310405
70,1.433722734451294,S,"('10.0.0.5', 5001)",1753523238.518167
71,1.5851891040802002,S,"('10.0.0.5', 5001)",1753523238.5495296
72,12.225404977798462,S,"('10.0.0.5', 5001)",1753523238.7154582
73,1.8831837177276611,S,"('10.0.0.6', 5001)",1753523238.8934023
74,1.3645050525665283,S,"('10.0.0.6', 5001)",1753523238.9389794
75,13.97937798500061,S,"('10.0.0.5', 5001)",1753523239.2165287
76,0.7891020774841309,S,"('10.0.0.5', 5001)",1753523239.366235
77,0.9236149787902832,S,"('10.0.0.6', 5001)",1753523239.3794727
78,0.7614901065826416,S,"('10.0.0.6', 5001)",1753523239.7300236
79,10.758880615234375,S,"('10.0.0.6', 5001)",1753523240.203256
80,13.040899753570557,S,"('10.0.0.6', 5001)",1753523240.258775
81,0.7487800121307373,S,"('10.0.0.6', 5001)",1753523240.6722903
82,11.844558954238892,S,"('10.0.0.5', 5001)",1753523241.0231245
83,12.26259708404541,S,"('10.0.0.5', 5001)",1753523241.0912533
84,0.8867988586425781,S,"('10.0.0.6', 5001)",1753523241.3210843
85,13.27640414237976,S,"('10.0.0.6', 5001)",1753523241.5594096
86,15.30613398551941,S,"('10.0.0.5', 5001)",1753523242.0778453
87,0.907177209854126,S,"('10.0.0.6', 5001)",1753523242.2704885
88,13.51742696762085,S,"('10.0.0.5', 5001)",1753523242.3349273
89,12.280351161956787,S,"('10.0.0.5', 5001)",1753523242.3632376
90,13.658309936523438,S,"('10.0.0.6', 5001)",1753523242.3862116
91,12.010177850723267,S,"('10.0.0.5', 5001)",1753523242.4014406
92,1.9751334190368652,S,"('10.0.0.5', 5001)",1753523242.5188184
93,2.1799964904785156,S,"('10.0.0.6', 5001)",1753523242.8197546
94,1.827148199081421,S,"('10.0.0.5', 5001)",1753523242.8303246
95,12.619748592376709,S,"('10.0.0.6', 5001)",1753523242.8404343
96,1.060401201248169,S,"('10.0.0.5', 5001)",1753523243.6561933
97,0.9850475788116455,S,"('10.0.0.5', 5001)",1753523243.9644117
98,12.806328296661377,S,"('10.0.0.6', 5001)",1753523244.3868814
99,0.7735271453857422,S,"('10.0.0.6', 5001)",1753523244.5295322
100,8.828223943710327,S,"('10.0.0.6', 5001)",1753523245.231028
101,13.588064670562744,S,"('10.0.0.5', 5001)",1753523245.8175595
102,1.0150389671325684,S,"('10.0.0.5', 5001)",1753523245.9869008
103,12.260973453521729,S,"('10.0.0.5', 5001)",1753523246.485625
104,2.1593124866485596,S,"('10.0.0.6', 5001)",1753523246.5056782
105,2.1921350955963135,S,"('10.0.0.6', 5001)",1753523246.5081608
106,1.785644292831421,S,"('10.0.0.5', 5001)",1753523246.6055431
107,12.033566951751709,S,"('10.0.0.6', 5001)",1753523247.3125763
108,1.0738437175750732,S,"('10.0.0.5', 5001)",1753523248.0016706
109,2.0307698249816895,S,"('10.0.0.6', 5001)",1753523248.4532275
110,1.6599774360656738,S,"('10.0.0.5', 5001)",1753523248.4879255
111,0.7982850074768066,S,"('10.0.0.6', 5001)",1753523248.69602
112,10.683032751083374,S,"('10.0.0.6', 5001)",1753523249.1103103
113,8.72711181640625,S,"('10.0.0.6', 5001)",1753523249.403252
114,1.0054967403411865,S,"('10.0.0.5', 5001)",1753523249.4867897
115,11.640143632888794,S,"('10.0.0.5', 5001)",1753523249.5613492
116,0.7867803573608398,S,"('10.0.0.6', 5001)",1753523250.1802063
117,13.348358154296875,S,"('10.0.0.6', 5001)",1753523250.5425172
118,10.95235013961792,S,"('10.0.0.6', 5001)",1753523250.7405727
119,13.506138801574707,S,"('10.0.0.5', 5001)",1753523250.9556117
120,11.442714214324951,S,"('10.0.0.6', 5001)",1753523250.9939873
121,15.017444133758545,S,"('10.0.0.5', 5001)",1753523251.0862012
122,12.628751754760742,S,"('10.0.0.6', 5001)",1753523251.6524198
123,11.648049354553223,S,"('10.0.0.5', 5001)",1753523251.7330208
124,0.95986008644104,S,"('10.0.0.6', 5001)",1753523252.0530255
125,0.8235304355621338,S,"('10.0.0.5', 5001)",1753523252.7151291
126,0.911651611328125,S,"('10.0.0.5', 5001)",1753523252.8758824
127,16.31174349784851,S,"('10.0.0.5', 5001)",1753523252.9365807
128,15.303100109100342,S,"('10.0.0.5', 5001)",1753523253.381778
129,14.653428554534912,S,"('10.0.0.5', 5001)",1753523253.5688388
130,1.4470908641815186,S,"('10.0.0.5', 5001)",1753523253.629773
131,1.4802136421203613,S,"('10.0.0.5', 5001)",1753523253.637176
132,13.610923767089844,S,"('10.0.0.6', 5001)",1753523253.701666
133,1.724327802658081,S,"('10.0.0.5', 5001)",1753523253.831366
134,1.8940811157226562,S,"('10.0.0.6', 5001)",1753523253.9597414
135,1.079322338104248,S,"('10.0.0.6', 5001)",1753523254.15368
136,14.27562952041626,S,"('10.0.0.6', 5001)",1753523254.3500788
137,0.8469014167785645,S,"('10.0.0.5', 5001)",1753523254.6940536
138,16.280906438827515,S,"('10.0.0.6', 5001)",1753523255.037779
139,13.785179138183594,S,"('10.0.0.5', 5001)",1753523255.0413399
140,10.356053590774536,S,"('10.0.0.6', 5001)",1753523255.1082354
141,0.9864964485168457,S,"('10.0.0.6', 5001)",1753523255.1386073
142,1.6575167179107666,S,"('10.0.0.5', 5001)",1753523255.1604574
143,1.5329492092132568,S,"('10.0.0.6', 5001)",1753523255.2770293
144,0.610875129699707,S,"('10.0.0.5', 5001)",1753523255.464933
145,12.160576105117798,S,"('10.0.0.6', 5001)",1753523255.7493203
146,0.8718640804290771,S,"('10.0.0.5', 5001)",1753523255.8066921
147,0.9781663417816162,S,"('10.0.0.5', 5001)",1753523256.3766475
148,12.082115173339844,S,"('10.0.0.6', 5001)",1753523256.4572072
149,12.423219680786133,S,"('10.0.0.5', 5001)",1753523256.7124684
150,12.088124990463257,S,"('10.0.0.6', 5001)",1753523256.9154892
151,10.671079635620117,S,"('10.0.0.6', 5001)",1753523256.9698863
152,12.727121353149414,S,"('10.0.0.5', 5001)",1753523257.1984835
153,12.485681295394897,S,"('10.0.0.6', 5001)",1753523257.2018294
154,13.96414041519165,S,"('10.0.0.5', 5001)",1753523257.6076376
155,11.039734125137329,S,"('10.0.0.6', 5001)",1753523257.6956754
156,10.759383916854858,S,"('10.0.0.6', 5001)",1753523257.7484348
157,7.697094202041626,S,"('10.0.0.6', 5001)",1753523258.0562487
158,7.662040948867798,S,"('10.0.0.6', 5001)",1753523258.1773012
159,2.867852210998535,S,"('10.0.0.6', 5001)",1753523258.21993
160,2.4475951194763184,S,"('10.0.0.6', 5001)",1753523258.6788905
161,2.2588067054748535,S,"('10.0.0.6', 5001)",1753523258.8901203
162,8.026816606521606,S,"('10.0.0.6', 5001)",1753523259.0670736
163,8.7058687210083,S,"('10.0.0.6', 5001)",1753523259.2589166
164,6.632512331008911,S,"('10.0.0.5', 5001)",1753523260.1006532
165,6.366559743881226,S,"('10.0.0.6', 5001)",1753523260.232932
166,5.308568954467773,S,"('10.0.0.5', 5001)",1753523260.6066177
167,5.841114282608032,S,"('10.0.0.6', 5001)",1753523260.904193
168,4.875185966491699,S,"('10.0.0.5', 5001)",1753523260.9622872
169,3.7237048149108887,S,"('10.0.0.6', 5001)",1753523261.766805
170,3.14168119430542,S,"('10.0.0.5', 5001)",1753523262.193166
171,4.853442430496216,S,"('10.0.0.5', 5001)",1753523262.6748734
172,6.0201499462127686,S,"('10.0.0.5', 5001)",1753523262.9318533
173,6.155832290649414,S,"('10.0.0.6', 5001)",1753523263.3723168
174,6.231594800949097,S,"('10.0.0.5', 5001)",1753523263.5636766
175,7.592881441116333,S,"('10.0.0.5', 5001)",1753523264.2710047
176,6.172974348068237,S,"('10.0.0.5', 5001)",1753523264.902416
177,7.233155250549316,S,"('10.0.0.5', 5001)",1753523265.5684066
178,6.545569658279419,S,"('10.0.0.6', 5001)",1753523265.6477075
179,7.933265447616577,S,"('10.0.0.6', 5001)",1753523265.9958735
180,4.49201226234436,S,"('10.0.0.5', 5001)",1753523266.050549
181,7.271308183670044,S,"('10.0.0.5', 5001)",1753523266.139315
182,6.283771753311157,S,"('10.0.0.6', 5001)",1753523266.2879636
183,5.1481709480285645,S,"('10.0.0.6', 5001)",1753523266.3413424
184,5.9017486572265625,S,"('10.0.0.6', 5001)",1753523266.4969316
185,3.7062160968780518,S,"('10.0.0.5', 5001)",1753523266.9062827
186,4.2467896938323975,S,"('10.0.0.5', 5001)",1753523267.1747742
187,4.212324142456055,S,"('10.0.0.5', 5001)",1753523267.3338232
188,4.395683765411377,S,"('10.0.0.6', 5001)",1753523267.4143813
189,3.7563297748565674,S,"('10.0.0.5', 5001)",1753523267.5151901
190,4.405233383178711,S,"('10.0.0.6', 5001)",1753523267.8789775
191,4.776602745056152,S,"('10.0.0.6', 5001)",1753523268.0572138
192,3.690399646759033,S,"('10.0.0.6', 5001)",1753523268.0932717
193,4.851748943328857,S,"('10.0.0.6', 5001)",1753523269.564779
194,4.620087623596191,S,"('10.0.0.5', 5001)",1753523269.8662188
195,5.3610053062438965,S,"('10.0.0.5', 5001)",1753523270.2257578
196,5.7909629344940186,S,"('10.0.0.6', 5001)",1753523270.3283029
197,7.155174732208252,S,"('10.0.0.5', 5001)",1753523270.6909459
198,6.374473333358765,S,"('10.0.0.6', 5001)",1753523270.7802072
199,6.389697074890137,S,"('10.0.0.6', 5001)",1753523271.4325721
200,7.9871461391448975,S,"('10.0.0.5', 5001)",1753523271.4908216
201,6.47700572013855,S,"('10.0.0.5', 5001)",1753523271.6189623
202,8.74168586730957,S,"('10.0.0.6', 5001)",1753523271.965215
203,6.659223794937134,S,"('10.0.0.5', 5001)",1753523272.4408271
204,7.087669610977173,S,"('10.0.0.5', 5001)",1753523272.4435635
205,6.847634315490723,S,"('10.0.0.5', 5001)",1753523272.6561363
206,5.806857585906982,S,"('10.0.0.5', 5001)",1753523272.7565942
207,4.501431226730347,S,"('10.0.0.6', 5001)",1753523272.8600202
208,5.782633543014526,S,"('10.0.0.6', 5001)",1753523273.5605223
209,5.868981838226318,S,"('10.0.0.5', 5001)",1753523274.1536095
210,4.391476631164551,S,"('10.0.0.6', 5001)",1753523274.158108
211,4.741220235824585,S,"('10.0.0.6', 5001)",1753523274.3284605
212,3.9792463779449463,S,"('10.0.0.5', 5001)",1753523274.5714493
213,4.763902425765991,S,"('10.0.0.5', 5001)",1753523274.5823104
214,6.072246074676514,S,"('10.0.0.5', 5001)",1753523275.4253561
215,6.280246734619141,S,"('10.0.0.5', 5001)",1753523275.6045074
216,6.140093803405762,S,"('10.0.0.6', 5001)",1753523276.1254907
217,3.589029312133789,S,"('10.0.0.6', 5001)",1753523276.1453187
218,5.402048349380493,S,"('10.0.0.6', 5001)",1753523276.5004406
219,4.6355814933776855,S,"('10.0.0.6', 5001)",1753523276.5159323
220,4.940357685089111,S,"('10.0.0.5', 5001)",1753523276.531371
221,7.616111755371094,S,"('10.0.0.5', 5001)",1753523276.5414536
222,6.728458642959595,S,"('10.0.0.6', 5001)",1753523276.558072
223,8.668725967407227,S,"('10.0.0.5', 5001)",1753523276.590291
224,6.9938037395477295,S,"('10.0.0.6', 5001)",1753523276.7326164
225,7.711252212524414,S,"('10.0.0.5', 5001)",1753523276.7750523
226,6.647608041763306,S,"('10.0.0.5', 5001)",1753523276.9900723
227,4.243370532989502,S,"('10.0.0.5', 5001)",1753523277.2374325
228,7.146481990814209,S,"('10.0.0.6', 5001)",1753523277.2613559
229,5.9340739250183105,S,"('10.0.0.5', 5001)",1753523277.3342116
230,4.421126842498779,S,"('10.0.0.6', 5001)",1753523278.1446788
231,7.30252742767334,S,"('10.0.0.5', 5001)",1753523278.349276
232,6.944315433502197,S,"('10.0.0.6', 5001)",1753523278.3654137
233,6.0948991775512695,S,"('10.0.0.5', 5001)",1753523278.398528
234,4.83223557472229,S,"('10.0.0.5', 5001)",1753523278.4735856
235,6.449778079986572,S,"('10.0.0.6', 5001)",1753523278.5943856
236,5.305476188659668,S,"('10.0.0.6', 5001)",1753523278.9116545
237,5.240951061248779,S,"('10.0.0.5', 5001)",1753523278.9591951
238,5.539525508880615,S,"('10.0.0.6', 5001)",1753523278.961725
239,7.598537921905518,S,"('10.0.0.6', 5001)",1753523279.0435133
240,9.120706796646118,S,"('10.0.0.6', 5001)",1753523279.2164037
241,9.20981240272522,S,"('10.0.0.5', 5001)",1753523279.7917416
242,10.394161224365234,S,"('10.0.0.5', 5001)",1753523280.0365968
243,10.31760311126709,S,"('10.0.0.5', 5001)",1753523280.5108109
244,11.684401273727417,S,"('10.0.0.6', 5001)",1753523281.2147274
245,13.846224546432495,S,"('10.0.0.6', 5001)",1753523281.2639458
246,12.270850896835327,S,"('10.0.0.5', 5001)",1753523281.4577136
247,13.659509181976318,S,"('10.0.0.5', 5001)",1753523281.5642989
248,11.279972314834595,S,"('10.0.0.6', 5001)",1753523281.593314
249,13.194650650024414,S,"('10.0.0.5', 5001)",1753523281.779037
250,6.0826356410980225,S,"('10.0.0.5', 5001)",1753523282.625202
251,6.27149510383606,S,"('10.0.0.5', 5001)",1753523283.0773668
252,9.350377082824707,S,"('10.0.0.6', 5001)",1753523283.1538117
253,4.807326555252075,S,"('10.0.0.6', 5001)",1753523283.2725906
254,10.262117385864258,S,"('10.0.0.6', 5001)",1753523283.8998702
255,5.173339366912842,S,"('10.0.0.6', 5001)",1753523284.0146954
256,4.153234004974365,S,"('10.0.0.6', 5001)",1753523285.2151065
257,5.273483753204346,S,"('10.0.0.6', 5001)",1753523285.558284
258,5.276564359664917,S,"('10.0.0.5', 5001)",1753523285.733359
259,5.7098894119262695,S,"('10.0.0.5', 5001)",1753523285.993595
260,4.689571142196655,S,"('10.0.0.6', 5001)",1753523286.4393365
261,4.776265621185303,S,"('10.0.0.6', 5001)",1753523286.5709872
262,5.566787481307983,S,"('10.0.0.6', 5001)",1753523286.6978471
263,5.271291732788086,S,"('10.0.0.5', 5001)",1753523286.9126098
264,6.459929943084717,S,"('10.0.0.5', 5001)",1753523287.4467363
265,3.879254102706909,S,"('10.0.0.6', 5001)",1753523287.7325897
266,5.2261199951171875,S,"('10.0.0.6', 5001)",1753523288.106844
267,2.291170835494995,S,"('10.0.0.5', 5001)",1753523288.4505253
268,5.195492267608643,S,"('10.0.0.6', 5001)",1753523288.5565464
269,5.585838794708252,S,"('10.0.0.6', 5001)",1753523288.8460429
270,3.656625747680664,S,"('10.0.0.6', 5001)",1753523289.0894597
