eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,2.014943838119507,S,"('10.0.0.15', 5001)",1755137660.483121
2,4.120875835418701,S,"('10.0.0.15', 5001)",1755137660.8262277
3,4.986212730407715,S,"('10.0.0.17', 5001)",1755137661.1800222
4,3.1582136154174805,S,"('10.0.0.16', 5001)",1755137661.6039658
5,3.949144124984741,S,"('10.0.0.18', 5001)",1755137662.2409945
6,4.049293756484985,S,"('10.0.0.17', 5001)",1755137662.355848
7,5.248406887054443,S,"('10.0.0.17', 5001)",1755137662.7231555
8,4.55755352973938,S,"('10.0.0.16', 5001)",1755137663.3645587
9,4.351491451263428,S,"('10.0.0.16', 5001)",1755137664.2821214
10,3.891274929046631,S,"('10.0.0.17', 5001)",1755137666.2311592
11,2.876027822494507,S,"('10.0.0.18', 5001)",1755137666.7113566
12,5.028067111968994,S,"('10.0.0.18', 5001)",1755137667.2662206
13,3.9920504093170166,S,"('10.0.0.15', 5001)",1755137667.612223
14,5.3760058879852295,S,"('10.0.0.18', 5001)",1755137667.983553
15,5.288264989852905,S,"('10.0.0.15', 5001)",1755137668.2569888
16,3.586012363433838,S,"('10.0.0.15', 5001)",1755137670.1706748
17,2.122866153717041,S,"('10.0.0.17', 5001)",1755137670.5436313
18,5.516310453414917,S,"('10.0.0.15', 5001)",1755137670.6144369
19,5.570857048034668,S,"('10.0.0.15', 5001)",1755137670.8962536
20,1.1999504566192627,S,"('10.0.0.15', 5001)",1755137672.6726878
21,6.136406660079956,S,"('10.0.0.17', 5001)",1755137673.04632
22,4.6354146003723145,S,"('10.0.0.16', 5001)",1755137675.7480047
23,2.8675527572631836,S,"('10.0.0.17', 5001)",1755137675.7847052
24,3.473102331161499,S,"('10.0.0.15', 5001)",1755137677.6965165
25,3.2934160232543945,S,"('10.0.0.16', 5001)",1755137679.096842
26,3.7337512969970703,S,"('10.0.0.16', 5001)",1755137679.2280045
27,2.3563244342803955,S,"('10.0.0.16', 5001)",1755137681.858954
28,2.1742236614227295,S,"('10.0.0.17', 5001)",1755137682.0806746
29,2.85540771484375,S,"('10.0.0.16', 5001)",1755137682.2845652
30,3.2983875274658203,S,"('10.0.0.17', 5001)",1755137682.6535962
31,2.147794246673584,S,"('10.0.0.18', 5001)",1755137685.77391
32,3.770782709121704,S,"('10.0.0.16', 5001)",1755137686.232884
33,6.050065755844116,S,"('10.0.0.18', 5001)",1755137686.4792173
34,6.590498447418213,S,"('10.0.0.18', 5001)",1755137686.510644
35,8.415895700454712,S,"('10.0.0.18', 5001)",1755137686.7822032
36,9.247355937957764,S,"('10.0.0.16', 5001)",1755137686.8789783
37,7.489792585372925,S,"('10.0.0.16', 5001)",1755137687.124139
38,10.096873760223389,S,"('10.0.0.18', 5001)",1755137687.7515123
39,9.13321042060852,S,"('10.0.0.18', 5001)",1755137688.0027807
40,8.160625219345093,S,"('10.0.0.16', 5001)",1755137688.662857
41,10.847426891326904,S,"('10.0.0.16', 5001)",1755137689.2711475
42,9.183663845062256,S,"('10.0.0.17', 5001)",1755137689.9617488
43,9.97535252571106,S,"('10.0.0.15', 5001)",1755137690.0711865
44,10.663188457489014,S,"('10.0.0.15', 5001)",1755137690.3624072
45,12.953643560409546,S,"('10.0.0.18', 5001)",1755137691.0199084
46,13.653741121292114,S,"('10.0.0.17', 5001)",1755137691.0528896
47,13.991445541381836,S,"('10.0.0.15', 5001)",1755137691.5432732
48,12.345324277877808,S,"('10.0.0.18', 5001)",1755137692.9703465
