eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,3.683025360107422,S,"('10.0.0.16', 5001)",1755229853.8133852
2,4.602780818939209,S,"('10.0.0.16', 5001)",1755229854.0669203
3,4.441380739212036,S,"('10.0.0.17', 5001)",1755229854.6135921
4,4.118994235992432,S,"('10.0.0.16', 5001)",1755229854.71755
5,3.243115186691284,S,"('10.0.0.17', 5001)",1755229854.7528338
6,5.523381948471069,S,"('10.0.0.15', 5001)",1755229855.330535
7,6.014236688613892,S,"('10.0.0.17', 5001)",1755229856.188293
8,5.872910261154175,S,"('10.0.0.16', 5001)",1755229856.2126155
9,1.3946497440338135,S,"('10.0.0.16', 5001)",1755229859.1412258
10,1.3120355606079102,S,"('10.0.0.15', 5001)",1755229859.6734989
11,5.615474462509155,S,"('10.0.0.17', 5001)",1755229861.056263
12,1.2605071067810059,S,"('10.0.0.15', 5001)",1755229861.7399163
13,5.781835317611694,S,"('10.0.0.16', 5001)",1755229861.9381688
14,4.561457633972168,S,"('10.0.0.17', 5001)",1755229862.6536047
15,4.967701196670532,S,"('10.0.0.17', 5001)",1755229864.0219622
16,1.271291732788086,S,"('10.0.0.16', 5001)",1755229866.005126
17,4.4151623249053955,S,"('10.0.0.16', 5001)",1755229866.7930074
18,3.540393114089966,S,"('10.0.0.15', 5001)",1755229866.9626157
19,6.698976993560791,S,"('10.0.0.16', 5001)",1755229867.2105167
20,6.6044840812683105,S,"('10.0.0.18', 5001)",1755229867.7660336
21,7.262243032455444,S,"('10.0.0.16', 5001)",1755229868.1557498
22,6.399876832962036,S,"('10.0.0.18', 5001)",1755229868.968323
23,6.287977695465088,S,"('10.0.0.18', 5001)",1755229869.6266205
24,5.294604301452637,S,"('10.0.0.17', 5001)",1755229869.8239818
25,6.31302285194397,S,"('10.0.0.17', 5001)",1755229870.4390428
26,7.922315835952759,S,"('10.0.0.15', 5001)",1755229870.6668494
27,7.6898722648620605,S,"('10.0.0.17', 5001)",1755229871.4373794
28,5.936551570892334,S,"('10.0.0.18', 5001)",1755229873.3306937
29,8.08283257484436,S,"('10.0.0.16', 5001)",1755229873.696722
30,9.86197805404663,S,"('10.0.0.17', 5001)",1755229873.780393
31,8.384003162384033,S,"('10.0.0.15', 5001)",1755229874.65866
32,8.639023780822754,S,"('10.0.0.15', 5001)",1755229874.890848
33,8.928771495819092,S,"('10.0.0.17', 5001)",1755229874.978692
34,10.180609941482544,S,"('10.0.0.17', 5001)",1755229876.2156622
35,8.303166627883911,S,"('10.0.0.15', 5001)",1755229876.2699368
36,11.763760566711426,S,"('10.0.0.15', 5001)",1755229876.323329
37,9.802437782287598,S,"('10.0.0.18', 5001)",1755229877.0825088
38,11.715115785598755,S,"('10.0.0.16', 5001)",1755229878.3479028
39,11.156292915344238,S,"('10.0.0.17', 5001)",1755229879.5882022
40,10.985586881637573,S,"('10.0.0.15', 5001)",1755229879.9777591
41,9.757019758224487,S,"('10.0.0.18', 5001)",1755229880.0785193
42,9.942096710205078,S,"('10.0.0.16', 5001)",1755229881.7639768
43,13.910851001739502,S,"('10.0.0.15', 5001)",1755229881.8943717
44,9.201792478561401,S,"('10.0.0.16', 5001)",1755229882.5230505
45,12.238538980484009,S,"('10.0.0.15', 5001)",1755229882.5513206
46,11.467215776443481,S,"('10.0.0.18', 5001)",1755229882.590363
47,13.860450983047485,S,"('10.0.0.16', 5001)",1755229882.7629795
48,11.026757717132568,S,"('10.0.0.15', 5001)",1755229883.289106
49,9.39154577255249,S,"('10.0.0.17', 5001)",1755229883.4430792
50,15.677408218383789,S,"('10.0.0.17', 5001)",1755229883.5922284
51,16.679277896881104,S,"('10.0.0.17', 5001)",1755229884.2070105
52,17.53979730606079,S,"('10.0.0.15', 5001)",1755229884.3917747
53,17.860828638076782,S,"('10.0.0.17', 5001)",1755229884.8731587
54,6.591216564178467,S,"('10.0.0.17', 5001)",1755229886.014176
55,15.746537685394287,S,"('10.0.0.16', 5001)",1755229886.6806247
56,18.4473135471344,S,"('10.0.0.17', 5001)",1755229888.6534238
57,16.421187162399292,S,"('10.0.0.16', 5001)",1755229889.392967
58,8.499309778213501,S,"('10.0.0.15', 5001)",1755229889.962402
59,9.873733758926392,S,"('10.0.0.15', 5001)",1755229890.5311546
60,13.891636610031128,S,"('10.0.0.15', 5001)",1755229890.5905535
61,15.32865858078003,S,"('10.0.0.15', 5001)",1755229891.1071355
62,16.848767518997192,S,"('10.0.0.17', 5001)",1755229891.4862294
63,8.75939130783081,S,"('10.0.0.16', 5001)",1755229891.920977
64,9.670160293579102,S,"('10.0.0.17', 5001)",1755229891.9298315
65,11.131305456161499,S,"('10.0.0.16', 5001)",1755229891.9418018
66,14.014710664749146,S,"('10.0.0.17', 5001)",1755229892.4347456
67,10.894988059997559,S,"('10.0.0.18', 5001)",1755229892.9610362
68,9.10017728805542,S,"('10.0.0.17', 5001)",1755229895.170957
69,8.194416284561157,S,"('10.0.0.18', 5001)",1755229895.9101098
70,16.081560850143433,S,"('10.0.0.18', 5001)",1755229898.2073383
71,18.586395740509033,S,"('10.0.0.17', 5001)",1755229899.11469
72,15.986010313034058,S,"('10.0.0.18', 5001)",1755229900.1806028
73,1.7490308284759521,S,"('10.0.0.16', 5001)",1755229900.4665277
74,1.5850205421447754,S,"('10.0.0.16', 5001)",1755229901.7689676
75,16.120548725128174,S,"('10.0.0.16', 5001)",1755229904.8631794
76,3.247922420501709,S,"('10.0.0.15', 5001)",1755229905.091452
77,12.635802984237671,S,"('10.0.0.15', 5001)",1755229905.7297041
78,16.707743406295776,S,"('10.0.0.15', 5001)",1755229905.8545055
79,13.124927520751953,S,"('10.0.0.16', 5001)",1755229906.1711702
80,14.345642566680908,S,"('10.0.0.16', 5001)",1755229906.391202
81,6.995172500610352,S,"('10.0.0.15', 5001)",1755229909.1389909
82,16.354538440704346,S,"('10.0.0.17', 5001)",1755229910.268883
83,18.410061597824097,S,"('10.0.0.18', 5001)",1755229911.5588994
84,17.256657600402832,S,"('10.0.0.16', 5001)",1755229911.5661597
85,9.249031066894531,S,"('10.0.0.15', 5001)",1755229912.2229726
86,9.313488245010376,S,"('10.0.0.16', 5001)",1755229914.1246736
87,8.813193082809448,S,"('10.0.0.18', 5001)",1755229914.2718837
88,10.559041500091553,S,"('10.0.0.15', 5001)",1755229914.3274055
89,18.311586618423462,S,"('10.0.0.18', 5001)",1755229914.6062007
90,8.99720573425293,S,"('10.0.0.17', 5001)",1755229915.0628605
91,15.967283964157104,S,"('10.0.0.17', 5001)",1755229915.2208726
92,17.15818214416504,S,"('10.0.0.16', 5001)",1755229915.3075774
93,8.675963401794434,S,"('10.0.0.17', 5001)",1755229915.3388114
94,9.150593280792236,S,"('10.0.0.16', 5001)",1755229915.6995225
95,5.325484275817871,S,"('10.0.0.17', 5001)",1755229915.9873292
96,8.268908023834229,S,"('10.0.0.16', 5001)",1755229916.2531998
97,3.582028865814209,S,"('10.0.0.15', 5001)",1755229916.8830216
98,4.744612693786621,S,"('10.0.0.15', 5001)",1755229917.686284
99,1.5556373596191406,S,"('10.0.0.17', 5001)",1755229917.7311878
100,21.34731888771057,S,"('10.0.0.17', 5001)",1755229918.2415931
101,18.574711561203003,S,"('10.0.0.18', 5001)",1755229920.1511703
102,20.10188865661621,S,"('10.0.0.18', 5001)",1755229920.4195335
103,23.873268365859985,S,"('10.0.0.16', 5001)",1755229920.4894648
104,1.459296703338623,S,"('10.0.0.15', 5001)",1755229921.0727372
105,23.3916232585907,S,"('10.0.0.15', 5001)",1755229921.9639907
106,24.420745372772217,S,"('10.0.0.16', 5001)",1755229922.1889071
107,22.199942588806152,S,"('10.0.0.18', 5001)",1755229923.3570762
108,3.416658639907837,S,"('10.0.0.15', 5001)",1755229923.8066149
109,3.668661117553711,S,"('10.0.0.16', 5001)",1755229923.98596
110,3.824558973312378,S,"('10.0.0.17', 5001)",1755229924.566573
111,2.865405797958374,S,"('10.0.0.16', 5001)",1755229924.842609
112,2.825192928314209,S,"('10.0.0.16', 5001)",1755229924.8968165
113,20.933528423309326,S,"('10.0.0.18', 5001)",1755229925.8615897
114,22.44636631011963,S,"('10.0.0.16', 5001)",1755229925.8777246
115,2.228846549987793,S,"('10.0.0.16', 5001)",1755229926.3263762
116,24.52670955657959,S,"('10.0.0.15', 5001)",1755229926.4528263
117,24.488741636276245,S,"('10.0.0.15', 5001)",1755229926.7688093
118,25.81278920173645,S,"('10.0.0.17', 5001)",1755229927.412659
119,20.445698738098145,S,"('10.0.0.15', 5001)",1755229927.7791908
120,23.50247049331665,S,"('10.0.0.17', 5001)",1755229928.0198467
121,5.575008869171143,S,"('10.0.0.16', 5001)",1755229928.2935584
122,22.280808925628662,S,"('10.0.0.16', 5001)",1755229928.3369668
123,5.116626977920532,S,"('10.0.0.16', 5001)",1755229929.332862
124,5.919607162475586,S,"('10.0.0.18', 5001)",1755229929.360523
125,6.117181777954102,S,"('10.0.0.18', 5001)",1755229930.8814816
126,26.383394479751587,S,"('10.0.0.16', 5001)",1755229930.885877
127,26.54074192047119,S,"('10.0.0.18', 5001)",1755229931.328314
128,25.09605598449707,S,"('10.0.0.16', 5001)",1755229931.5292034
129,18.448573350906372,S,"('10.0.0.18', 5001)",1755229932.1687937
130,25.73462724685669,S,"('10.0.0.18', 5001)",1755229932.3671927
131,20.889622449874878,S,"('10.0.0.18', 5001)",1755229933.1184468
132,24.498730182647705,S,"('10.0.0.15', 5001)",1755229933.422812
133,7.494652032852173,S,"('10.0.0.17', 5001)",1755229934.454535
134,7.801219463348389,S,"('10.0.0.18', 5001)",1755229934.6822011
135,23.57751727104187,S,"('10.0.0.18', 5001)",1755229935.7034814
136,7.940001964569092,S,"('10.0.0.18', 5001)",1755229936.7448773
137,23.320080995559692,S,"('10.0.0.16', 5001)",1755229936.7967772
138,9.238323211669922,S,"('10.0.0.16', 5001)",1755229937.2846234
139,8.750737428665161,S,"('10.0.0.16', 5001)",1755229937.5249386
140,23.235103845596313,S,"('10.0.0.16', 5001)",1755229937.6057532
141,19.972639322280884,S,"('10.0.0.15', 5001)",1755229937.7285552
142,9.99932861328125,S,"('10.0.0.17', 5001)",1755229938.7192926
143,9.463727951049805,S,"('10.0.0.18', 5001)",1755229939.6784909
144,10.798424482345581,S,"('10.0.0.17', 5001)",1755229940.695748
145,21.648173332214355,S,"('10.0.0.18', 5001)",1755229940.9465036
146,17.782976865768433,S,"('10.0.0.18', 5001)",1755229942.0930536
147,9.808443307876587,S,"('10.0.0.16', 5001)",1755229942.6789052
148,9.08877444267273,S,"('10.0.0.15', 5001)",1755229943.454585
149,15.713114023208618,S,"('10.0.0.18', 5001)",1755229943.7302268
150,10.934678077697754,S,"('10.0.0.16', 5001)",1755229944.0709255
151,9.265806913375854,S,"('10.0.0.17', 5001)",1755229944.7159123
152,17.334118604660034,S,"('10.0.0.18', 5001)",1755229945.9763212
153,20.74793004989624,S,"('10.0.0.17', 5001)",1755229947.9146805
154,22.994112491607666,S,"('10.0.0.16', 5001)",1755229948.7609587
155,7.8010640144348145,S,"('10.0.0.17', 5001)",1755229949.0929534
