eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,5.266908407211304,S,"('10.0.0.17', 5001)",1755221950.3853035
2,7.112547397613525,S,"('10.0.0.16', 5001)",1755221950.4760594
3,15.779483079910278,S,"('10.0.0.18', 5001)",1755221951.3210814
4,20.981303453445435,S,"('10.0.0.15', 5001)",1755221951.7442305
5,18.88519287109375,S,"('10.0.0.16', 5001)",1755221952.5358937
6,20.27767014503479,S,"('10.0.0.15', 5001)",1755221952.9299188
7,20.966902494430542,S,"('10.0.0.17', 5001)",1755221952.9558291
8,23.601606369018555,S,"('10.0.0.16', 5001)",1755221953.527036
9,24.987802982330322,S,"('10.0.0.15', 5001)",1755221954.052624
10,21.75379467010498,S,"('10.0.0.16', 5001)",1755221955.073931
11,24.22344970703125,S,"('10.0.0.18', 5001)",1755221957.2905743
12,25.0533664226532,S,"('10.0.0.17', 5001)",1755221957.7037826
13,23.513975143432617,S,"('10.0.0.17', 5001)",1755221958.310153
14,27.67892336845398,S,"('10.0.0.18', 5001)",1755221958.5534933
15,25.32366180419922,S,"('10.0.0.15', 5001)",1755221958.663162
16,25.8303005695343,S,"('10.0.0.17', 5001)",1755221958.6724262
17,26.156612157821655,S,"('10.0.0.15', 5001)",1755221959.1226118
18,26.363418102264404,S,"('10.0.0.16', 5001)",1755221960.0147152
19,26.486555814743042,S,"('10.0.0.16', 5001)",1755221961.5422585
20,28.665061473846436,S,"('10.0.0.15', 5001)",1755221961.7286978
21,31.88990020751953,S,"('10.0.0.16', 5001)",1755221962.2049098
22,20.325506925582886,S,"('10.0.0.15', 5001)",1755221962.3654811
23,31.52941060066223,S,"('10.0.0.16', 5001)",1755221962.863176
24,22.36264395713806,S,"('10.0.0.17', 5001)",1755221962.9680126
25,22.73698377609253,S,"('10.0.0.18', 5001)",1755221963.2832074
26,29.99730110168457,S,"('10.0.0.16', 5001)",1755221963.5813296
27,26.84893298149109,S,"('10.0.0.15', 5001)",1755221963.933756
28,27.33389163017273,S,"('10.0.0.15', 5001)",1755221964.3372943
29,23.20417070388794,S,"('10.0.0.17', 5001)",1755221964.5936708
30,27.365762948989868,S,"('10.0.0.15', 5001)",1755221965.4264386
31,26.515952825546265,S,"('10.0.0.18', 5001)",1755221965.6860468
32,29.53666615486145,S,"('10.0.0.18', 5001)",1755221965.785143
33,28.885895013809204,S,"('10.0.0.17', 5001)",1755221966.0078883
34,30.058921575546265,S,"('10.0.0.16', 5001)",1755221968.0383775
35,26.612117767333984,S,"('10.0.0.17', 5001)",1755221968.0762038
36,29.713284969329834,S,"('10.0.0.15', 5001)",1755221968.490435
37,23.510271310806274,S,"('10.0.0.17', 5001)",1755221969.9186947
38,26.083694219589233,S,"('10.0.0.17', 5001)",1755221970.422442
39,33.05883431434631,S,"('10.0.0.15', 5001)",1755221970.7205555
40,28.91143774986267,S,"('10.0.0.17', 5001)",1755221970.899995
41,31.2028648853302,S,"('10.0.0.17', 5001)",1755221971.3899856
42,28.194719076156616,S,"('10.0.0.15', 5001)",1755221972.4889202
43,27.26353693008423,S,"('10.0.0.15', 5001)",1755221973.1774187
44,29.111859798431396,S,"('10.0.0.16', 5001)",1755221974.9489055
45,27.65143132209778,S,"('10.0.0.15', 5001)",1755221975.1002579
46,26.934741020202637,S,"('10.0.0.18', 5001)",1755221975.481228
47,28.82510781288147,S,"('10.0.0.16', 5001)",1755221978.2582722
48,26.749404191970825,S,"('10.0.0.16', 5001)",1755221979.445829
49,28.186030864715576,S,"('10.0.0.18', 5001)",1755221979.4590838
50,28.78628158569336,S,"('10.0.0.18', 5001)",1755221980.233789
51,24.29011631011963,S,"('10.0.0.15', 5001)",1755221980.5778522
52,22.23616647720337,S,"('10.0.0.16', 5001)",1755221980.9069178
53,32.55856370925903,S,"('10.0.0.16', 5001)",1755221981.3220813
54,27.82085371017456,S,"('10.0.0.17', 5001)",1755221981.3879445
55,29.227641344070435,S,"('10.0.0.16', 5001)",1755221982.9083512
56,27.171156406402588,S,"('10.0.0.15', 5001)",1755221983.5046864
57,27.259464025497437,S,"('10.0.0.15', 5001)",1755221984.1826727
58,30.87965202331543,S,"('10.0.0.16', 5001)",1755221984.505648
59,20.719463109970093,S,"('10.0.0.16', 5001)",1755221985.7087295
60,27.350931644439697,S,"('10.0.0.18', 5001)",1755221986.0725074
61,27.079988956451416,S,"('10.0.0.16', 5001)",1755221988.5754468
62,28.367027282714844,S,"('10.0.0.18', 5001)",1755221989.005304
63,24.302921533584595,S,"('10.0.0.17', 5001)",1755221990.2628856
64,29.42828106880188,S,"('10.0.0.15', 5001)",1755221992.513192
65,25.457090616226196,S,"('10.0.0.16', 5001)",1755221993.0498102
66,26.97904372215271,S,"('10.0.0.16', 5001)",1755221993.14477
67,22.758370876312256,S,"('10.0.0.18', 5001)",1755221993.1954405
68,35.12513852119446,S,"('10.0.0.18', 5001)",1755221993.470122
69,25.6161527633667,S,"('10.0.0.16', 5001)",1755221993.6406257
70,28.187443494796753,S,"('10.0.0.17', 5001)",1755221994.4664307
71,24.016425132751465,S,"('10.0.0.15', 5001)",1755221996.1554544
72,27.772847175598145,S,"('10.0.0.18', 5001)",1755221996.9706368
73,27.03771948814392,S,"('10.0.0.18', 5001)",1755221998.3290617
74,29.36941409111023,S,"('10.0.0.15', 5001)",1755221999.158164
75,28.277157068252563,S,"('10.0.0.16', 5001)",1755221999.9642155
76,27.13556694984436,S,"('10.0.0.15', 5001)",1755222000.6203961
77,30.141629934310913,S,"('10.0.0.16', 5001)",1755222001.233172
78,30.217463493347168,S,"('10.0.0.18', 5001)",1755222001.5314128
79,31.586748361587524,S,"('10.0.0.18', 5001)",1755222001.9264624
80,30.541808128356934,S,"('10.0.0.18', 5001)",1755222002.1976373
81,28.22551131248474,S,"('10.0.0.16', 5001)",1755222002.5218036
82,29.155272245407104,S,"('10.0.0.17', 5001)",1755222002.6614099
83,26.337491989135742,S,"('10.0.0.15', 5001)",1755222004.0716057
84,31.93211603164673,S,"('10.0.0.17', 5001)",1755222004.0806024
85,26.932613372802734,S,"('10.0.0.17', 5001)",1755222005.0720012
86,30.174621105194092,S,"('10.0.0.15', 5001)",1755222005.2066813
87,28.610640287399292,S,"('10.0.0.17', 5001)",1755222005.2138002
88,32.56407618522644,S,"('10.0.0.17', 5001)",1755222006.4133642
89,23.96559453010559,S,"('10.0.0.18', 5001)",1755222007.6085618
90,27.744938135147095,S,"('10.0.0.18', 5001)",1755222008.3545282
91,26.42369842529297,S,"('10.0.0.15', 5001)",1755222008.373524
92,27.892714023590088,S,"('10.0.0.16', 5001)",1755222009.4386997
93,24.132165670394897,S,"('10.0.0.18', 5001)",1755222010.155846
94,28.50608801841736,S,"('10.0.0.16', 5001)",1755222010.8624008
95,30.261204481124878,S,"('10.0.0.18', 5001)",1755222014.8477974
96,28.312915563583374,S,"('10.0.0.15', 5001)",1755222015.0382962
97,22.677760124206543,S,"('10.0.0.17', 5001)",1755222015.3877423
98,26.48634386062622,S,"('10.0.0.16', 5001)",1755222015.4249
99,26.26540446281433,S,"('10.0.0.16', 5001)",1755222015.7495148
100,31.574732303619385,S,"('10.0.0.15', 5001)",1755222015.8707578
101,28.295439958572388,S,"('10.0.0.18', 5001)",1755222018.2355108
102,35.163254499435425,S,"('10.0.0.16', 5001)",1755222018.393845
103,24.83507776260376,S,"('10.0.0.17', 5001)",1755222019.015351
104,24.593683004379272,S,"('10.0.0.16', 5001)",1755222019.0425975
105,24.576138019561768,S,"('10.0.0.15', 5001)",1755222019.0768962
106,30.73242163658142,S,"('10.0.0.17', 5001)",1755222019.7933214
107,30.237080574035645,S,"('10.0.0.18', 5001)",1755222020.1869254
108,29.07413125038147,S,"('10.0.0.18', 5001)",1755222021.0317357
109,24.347758054733276,S,"('10.0.0.18', 5001)",1755222021.073694
110,27.714070796966553,S,"('10.0.0.16', 5001)",1755222021.3085647
111,21.10063648223877,S,"('10.0.0.17', 5001)",1755222023.4357727
112,19.728429555892944,S,"('10.0.0.16', 5001)",1755222023.6466696
113,25.903618812561035,S,"('10.0.0.17', 5001)",1755222024.0067391
114,26.18181037902832,S,"('10.0.0.17', 5001)",1755222024.1503575
115,28.273136615753174,S,"('10.0.0.16', 5001)",1755222024.4646063
116,25.096795320510864,S,"('10.0.0.18', 5001)",1755222024.597758
117,19.549762725830078,S,"('10.0.0.18', 5001)",1755222026.0030398
118,23.78627109527588,S,"('10.0.0.18', 5001)",1755222028.2178848
119,23.11946964263916,S,"('10.0.0.16', 5001)",1755222030.4481583
120,19.018474102020264,S,"('10.0.0.18', 5001)",1755222031.3586388
121,20.351465940475464,S,"('10.0.0.15', 5001)",1755222031.9736412
122,25.10006809234619,S,"('10.0.0.18', 5001)",1755222032.3697526
123,11.659519672393799,S,"('10.0.0.16', 5001)",1755222032.7566276
124,9.411567449569702,S,"('10.0.0.17', 5001)",1755222034.302844
125,7.1721031665802,S,"('10.0.0.17', 5001)",1755222034.530197
126,19.46377921104431,S,"('10.0.0.15', 5001)",1755222034.9222162
127,24.694976329803467,S,"('10.0.0.18', 5001)",1755222034.9431462
128,23.09835720062256,S,"('10.0.0.15', 5001)",1755222035.3181217
129,24.586870431900024,S,"('10.0.0.15', 5001)",1755222035.4258876
130,27.24934411048889,S,"('10.0.0.16', 5001)",1755222035.8389585
131,22.342954397201538,S,"('10.0.0.18', 5001)",1755222035.8939135
132,26.063933849334717,S,"('10.0.0.15', 5001)",1755222037.578658
133,18.312562704086304,S,"('10.0.0.16', 5001)",1755222037.8521361
134,21.13711428642273,S,"('10.0.0.18', 5001)",1755222037.9578748
135,19.271848917007446,S,"('10.0.0.17', 5001)",1755222038.0335588
136,21.462088584899902,S,"('10.0.0.18', 5001)",1755222038.75869
137,17.81687617301941,S,"('10.0.0.16', 5001)",1755222039.502707
138,16.633283615112305,S,"('10.0.0.17', 5001)",1755222041.6264064
139,11.833646297454834,S,"('10.0.0.15', 5001)",1755222041.705319
140,15.232460498809814,S,"('10.0.0.15', 5001)",1755222042.2929597
141,15.426897764205933,S,"('10.0.0.18', 5001)",1755222044.0272856
142,4.3588807582855225,S,"('10.0.0.15', 5001)",1755222045.9632454
143,5.180465936660767,S,"('10.0.0.15', 5001)",1755222046.768296
144,15.561801671981812,S,"('10.0.0.17', 5001)",1755222047.0745726
145,13.018162250518799,S,"('10.0.0.18', 5001)",1755222047.437974
146,4.129823207855225,S,"('10.0.0.18', 5001)",1755222048.149579
147,29.975489139556885,S,"('10.0.0.17', 5001)",1755222049.3582764
148,3.45113205909729,S,"('10.0.0.15', 5001)",1755222049.7492843
149,10.85377049446106,S,"('10.0.0.15', 5001)",1755222051.4380047
150,10.419324159622192,S,"('10.0.0.15', 5001)",1755222051.4769063
151,3.3984780311584473,S,"('10.0.0.15', 5001)",1755222052.5939527
152,2.6463470458984375,S,"('10.0.0.15', 5001)",1755222052.6059444
153,26.875073194503784,S,"('10.0.0.18', 5001)",1755222053.2378747
154,28.46161699295044,S,"('10.0.0.18', 5001)",1755222053.8558474
155,9.075676679611206,S,"('10.0.0.15', 5001)",1755222055.5157518
156,7.057573080062866,S,"('10.0.0.16', 5001)",1755222056.7235737
157,10.640330076217651,S,"('10.0.0.16', 5001)",1755222057.68257
158,2.4131171703338623,S,"('10.0.0.17', 5001)",1755222059.4332292
159,9.002890825271606,S,"('10.0.0.16', 5001)",1755222059.6232889
160,27.732799291610718,S,"('10.0.0.15', 5001)",1755222059.8706505
161,27.985007524490356,S,"('10.0.0.17', 5001)",1755222060.2984636
162,22.19894289970398,S,"('10.0.0.17', 5001)",1755222060.4621465
163,23.778475046157837,S,"('10.0.0.18', 5001)",1755222061.4868615
164,21.393611907958984,S,"('10.0.0.16', 5001)",1755222062.7606356
165,11.052180051803589,S,"('10.0.0.18', 5001)",1755222062.9261737
166,12.130860328674316,S,"('10.0.0.17', 5001)",1755222063.2072558
167,13.517333269119263,S,"('10.0.0.15', 5001)",1755222063.5761983
168,26.437287092208862,S,"('10.0.0.18', 5001)",1755222063.6199195
169,7.696614742279053,S,"('10.0.0.16', 5001)",1755222064.2295694
170,12.997680187225342,S,"('10.0.0.18', 5001)",1755222064.257432
171,7.709656715393066,S,"('10.0.0.15', 5001)",1755222064.9173617
172,12.756576299667358,S,"('10.0.0.16', 5001)",1755222065.6294951
173,8.732383966445923,S,"('10.0.0.17', 5001)",1755222066.168746
174,9.452695608139038,S,"('10.0.0.16', 5001)",1755222067.3860705
175,12.342029571533203,S,"('10.0.0.16', 5001)",1755222067.6109865
176,14.847713470458984,S,"('10.0.0.16', 5001)",1755222068.353681
177,10.948110103607178,S,"('10.0.0.18', 5001)",1755222068.6291404
178,9.514617919921875,S,"('10.0.0.15', 5001)",1755222070.082189
179,9.432851552963257,S,"('10.0.0.18', 5001)",1755222070.1272655
180,13.002914190292358,S,"('10.0.0.15', 5001)",1755222070.2122998
181,7.848063230514526,S,"('10.0.0.16', 5001)",1755222070.3735287
182,11.343757629394531,S,"('10.0.0.15', 5001)",1755222070.5640633
183,12.789711236953735,S,"('10.0.0.16', 5001)",1755222070.7986772
184,8.10220217704773,S,"('10.0.0.16', 5001)",1755222071.21042
185,10.743656396865845,S,"('10.0.0.16', 5001)",1755222071.6850657
186,8.082330703735352,S,"('10.0.0.15', 5001)",1755222073.0112915
187,11.167091608047485,S,"('10.0.0.17', 5001)",1755222073.1317098
188,8.525630474090576,S,"('10.0.0.17', 5001)",1755222073.1547637
189,10.873252630233765,S,"('10.0.0.15', 5001)",1755222073.426516
190,4.912891149520874,S,"('10.0.0.15', 5001)",1755222074.0383656
191,10.291072845458984,S,"('10.0.0.16', 5001)",1755222074.106553
192,10.356919050216675,S,"('10.0.0.15', 5001)",1755222074.4604506
193,15.112870693206787,S,"('10.0.0.16', 5001)",1755222075.1077638
194,6.038469076156616,S,"('10.0.0.17', 5001)",1755222075.6902654
195,14.964041948318481,S,"('10.0.0.18', 5001)",1755222076.9763546
196,5.709396839141846,S,"('10.0.0.17', 5001)",1755222077.389265
197,3.1872804164886475,S,"('10.0.0.15', 5001)",1755222077.455089
198,3.2872254848480225,S,"('10.0.0.18', 5001)",1755222077.5809765
199,3.350374937057495,S,"('10.0.0.18', 5001)",1755222077.8430853
200,16.850306510925293,S,"('10.0.0.18', 5001)",1755222077.966816
201,2.4817707538604736,S,"('10.0.0.17', 5001)",1755222078.2859318
202,14.536843061447144,S,"('10.0.0.17', 5001)",1755222078.7871997
203,1.9021728038787842,S,"('10.0.0.18', 5001)",1755222079.8452616
204,20.15893530845642,S,"('10.0.0.16', 5001)",1755222080.8435802
205,19.38229465484619,S,"('10.0.0.18', 5001)",1755222081.5177445
206,22.95605707168579,S,"('10.0.0.18', 5001)",1755222082.6287296
207,18.641621589660645,S,"('10.0.0.17', 5001)",1755222082.6946325
208,19.48050570487976,S,"('10.0.0.17', 5001)",1755222083.1742513
209,22.208911180496216,S,"('10.0.0.16', 5001)",1755222083.2298384
