eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.1091949939727783,S,"('10.0.0.5', 5001)",1753410443.151557
2,2.775439977645874,S,"('10.0.0.6', 5001)",1753410443.1788723
3,3.5391316413879395,S,"('10.0.0.5', 5001)",1753410443.2525687
4,3.679060697555542,S,"('10.0.0.5', 5001)",1753410443.543863
5,3.4845428466796875,S,"('10.0.0.6', 5001)",1753410443.5894902
6,3.9749393463134766,S,"('10.0.0.5', 5001)",1753410443.8978205
7,5.928257942199707,S,"('10.0.0.6', 5001)",1753410444.3995647
8,6.493457555770874,S,"('10.0.0.6', 5001)",1753410444.6192985
9,1.4732866287231445,S,"('10.0.0.6', 5001)",1753410444.8843412
10,1.7826197147369385,S,"('10.0.0.5', 5001)",1753410444.918648
11,7.727622032165527,S,"('10.0.0.6', 5001)",1753410445.2652771
12,1.5436134338378906,S,"('10.0.0.5', 5001)",1753410445.4288394
13,1.629002332687378,S,"('10.0.0.5', 5001)",1753410445.502325
14,1.365619421005249,S,"('10.0.0.5', 5001)",1753410445.9565125
15,1.037597894668579,S,"('10.0.0.6', 5001)",1753410446.0931768
16,11.03178596496582,S,"('10.0.0.5', 5001)",1753410446.5304165
17,10.315546751022339,S,"('10.0.0.6', 5001)",1753410446.7117414
18,1.1430213451385498,S,"('10.0.0.5', 5001)",1753410447.0973978
19,1.1164860725402832,S,"('10.0.0.6', 5001)",1753410447.1904411
20,0.8340210914611816,S,"('10.0.0.5', 5001)",1753410447.2694056
21,11.362220048904419,S,"('10.0.0.6', 5001)",1753410447.404886
22,0.8209512233734131,S,"('10.0.0.6', 5001)",1753410447.4930675
23,12.454869031906128,S,"('10.0.0.5', 5001)",1753410447.7294986
24,0.8550229072570801,S,"('10.0.0.6', 5001)",1753410448.0239234
25,11.632292032241821,S,"('10.0.0.5', 5001)",1753410448.1369402
26,12.873639345169067,S,"('10.0.0.6', 5001)",1753410448.4154923
27,13.991859436035156,S,"('10.0.0.6', 5001)",1753410448.9432216
28,1.3163402080535889,S,"('10.0.0.5', 5001)",1753410448.9605844
29,1.6544747352600098,S,"('10.0.0.6', 5001)",1753410449.1581573
30,1.5247828960418701,S,"('10.0.0.6', 5001)",1753410449.545206
31,13.385734558105469,S,"('10.0.0.5', 5001)",1753410449.5557678
32,12.56280255317688,S,"('10.0.0.5', 5001)",1753410449.5946095
33,0.8927702903747559,S,"('10.0.0.6', 5001)",1753410449.9140255
34,0.9174549579620361,S,"('10.0.0.6', 5001)",1753410450.219433
35,0.8318276405334473,S,"('10.0.0.5', 5001)",1753410450.2268949
36,14.278424263000488,S,"('10.0.0.6', 5001)",1753410450.5607212
37,1.1176576614379883,S,"('10.0.0.6', 5001)",1753410450.8078966
38,13.474491119384766,S,"('10.0.0.5', 5001)",1753410451.2512522
39,12.577638626098633,S,"('10.0.0.5', 5001)",1753410451.4811246
40,12.569188117980957,S,"('10.0.0.5', 5001)",1753410451.8865592
41,9.296891689300537,S,"('10.0.0.5', 5001)",1753410451.9470546
42,2.5113027095794678,S,"('10.0.0.6', 5001)",1753410451.9973094
43,2.995311737060547,S,"('10.0.0.6', 5001)",1753410452.3016434
44,2.8128297328948975,S,"('10.0.0.6', 5001)",1753410452.516624
45,2.285480260848999,S,"('10.0.0.6', 5001)",1753410452.5837493
46,2.42753267288208,S,"('10.0.0.6', 5001)",1753410452.6779928
47,10.581386089324951,S,"('10.0.0.6', 5001)",1753410452.7196033
48,1.7491352558135986,S,"('10.0.0.6', 5001)",1753410452.807875
49,1.3121697902679443,S,"('10.0.0.6', 5001)",1753410452.8187037
50,11.35419511795044,S,"('10.0.0.6', 5001)",1753410453.6392248
51,0.6996550559997559,S,"('10.0.0.5', 5001)",1753410453.7716568
52,10.92617416381836,S,"('10.0.0.5', 5001)",1753410454.868419
53,11.898424863815308,S,"('10.0.0.5', 5001)",1753410455.713277
54,0.8533670902252197,S,"('10.0.0.5', 5001)",1753410455.9207394
55,12.793099641799927,S,"('10.0.0.6', 5001)",1753410456.4431877
56,12.145778179168701,S,"('10.0.0.5', 5001)",1753410456.5389538
57,13.925822734832764,S,"('10.0.0.6', 5001)",1753410456.559476
58,14.461394548416138,S,"('10.0.0.5', 5001)",1753410456.6355498
59,0.994422197341919,S,"('10.0.0.6', 5001)",1753410456.6598194
60,10.73405933380127,S,"('10.0.0.5', 5001)",1753410457.4228697
61,14.607168197631836,S,"('10.0.0.5', 5001)",1753410457.4790125
