eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.4782993793487549,S,"('10.0.0.18', 5001)",1755089676.197335
2,2.4220173358917236,S,"('10.0.0.17', 5001)",1755089677.4246259
3,4.322524070739746,S,"('10.0.0.17', 5001)",1755089677.5165153
4,4.3378496170043945,S,"('10.0.0.18', 5001)",1755089678.5186052
5,2.493972063064575,S,"('10.0.0.15', 5001)",1755089679.219855
6,5.053444147109985,S,"('10.0.0.17', 5001)",1755089679.2672734
7,1.5301122665405273,S,"('10.0.0.15', 5001)",1755089679.69711
8,4.862217426300049,S,"('10.0.0.17', 5001)",1755089681.2712271
9,3.104768753051758,S,"('10.0.0.16', 5001)",1755089682.4406574
10,2.040273666381836,S,"('10.0.0.18', 5001)",1755089684.1521435
11,2.1366167068481445,S,"('10.0.0.17', 5001)",1755089684.2882445
12,4.889512300491333,S,"('10.0.0.16', 5001)",1755089684.5578184
13,5.400616407394409,S,"('10.0.0.17', 5001)",1755089685.026006
14,5.4610772132873535,S,"('10.0.0.17', 5001)",1755089685.3269684
15,2.9563605785369873,S,"('10.0.0.15', 5001)",1755089685.3768399
16,7.425196170806885,S,"('10.0.0.18', 5001)",1755089685.706963
17,4.136539936065674,S,"('10.0.0.18', 5001)",1755089686.64968
18,4.69394063949585,S,"('10.0.0.15', 5001)",1755089688.02245
19,8.066678762435913,S,"('10.0.0.16', 5001)",1755089688.415166
20,7.402772665023804,S,"('10.0.0.16', 5001)",1755089688.4656417
21,5.5404582023620605,S,"('10.0.0.18', 5001)",1755089690.1491678
22,6.853888750076294,S,"('10.0.0.18', 5001)",1755089690.7267122
23,5.574212312698364,S,"('10.0.0.16', 5001)",1755089691.0304897
24,5.928631544113159,S,"('10.0.0.17', 5001)",1755089691.4144244
25,6.149946928024292,S,"('10.0.0.16', 5001)",1755089691.6799903
26,8.79313588142395,S,"('10.0.0.16', 5001)",1755089691.7618682
27,8.969923973083496,S,"('10.0.0.18', 5001)",1755089692.4877517
28,8.0874924659729,S,"('10.0.0.17', 5001)",1755089692.5953524
29,5.676262140274048,S,"('10.0.0.16', 5001)",1755089692.7960079
30,9.090383291244507,S,"('10.0.0.18', 5001)",1755089694.5460877
31,8.753883361816406,S,"('10.0.0.17', 5001)",1755089695.5862896
32,8.440069437026978,S,"('10.0.0.16', 5001)",1755089695.892628
33,5.821890115737915,S,"('10.0.0.16', 5001)",1755089697.8009167
34,7.206963777542114,S,"('10.0.0.15', 5001)",1755089698.2586665
35,8.62587594985962,S,"('10.0.0.15', 5001)",1755089698.9176428
36,8.771989107131958,S,"('10.0.0.16', 5001)",1755089699.033021
37,7.315632104873657,S,"('10.0.0.18', 5001)",1755089699.868558
38,8.779354572296143,S,"('10.0.0.17', 5001)",1755089700.8144708
39,7.914730787277222,S,"('10.0.0.16', 5001)",1755089701.6556208
40,8.269298791885376,S,"('10.0.0.18', 5001)",1755089701.9813445
41,7.285943984985352,S,"('10.0.0.16', 5001)",1755089702.8408947
42,9.886465549468994,S,"('10.0.0.15', 5001)",1755089704.611565
43,7.465752363204956,S,"('10.0.0.18', 5001)",1755089705.1304712
44,8.465206384658813,S,"('10.0.0.18', 5001)",1755089705.4668524
45,8.513103008270264,S,"('10.0.0.18', 5001)",1755089705.4704201
46,9.052905321121216,S,"('10.0.0.17', 5001)",1755089705.554748
47,9.565386772155762,S,"('10.0.0.16', 5001)",1755089705.6662416
48,7.70615816116333,S,"('10.0.0.15', 5001)",1755089706.5958123
49,7.752023696899414,S,"('10.0.0.15', 5001)",1755089707.0939076
50,8.399756908416748,S,"('10.0.0.18', 5001)",1755089707.32763
51,2.505208730697632,S,"('10.0.0.17', 5001)",1755089707.4496653
52,10.283953666687012,S,"('10.0.0.15', 5001)",1755089708.0197995
53,9.017883777618408,S,"('10.0.0.16', 5001)",1755089709.3173134
54,7.143847942352295,S,"('10.0.0.15', 5001)",1755089710.4890203
55,8.736517429351807,S,"('10.0.0.18', 5001)",1755089713.733097
56,4.087730169296265,S,"('10.0.0.15', 5001)",1755089713.8671036
57,4.16835618019104,S,"('10.0.0.15', 5001)",1755089714.4579535
58,7.682546377182007,S,"('10.0.0.17', 5001)",1755089716.4168925
59,7.920217752456665,S,"('10.0.0.17', 5001)",1755089716.6272805
60,8.875727891921997,S,"('10.0.0.16', 5001)",1755089718.026377
61,8.964159727096558,S,"('10.0.0.16', 5001)",1755089718.0415022
62,8.465571880340576,S,"('10.0.0.15', 5001)",1755089718.2091792
63,9.024812936782837,S,"('10.0.0.17', 5001)",1755089718.3539762
64,10.818263292312622,S,"('10.0.0.17', 5001)",1755089718.4156277
65,11.057949781417847,S,"('10.0.0.15', 5001)",1755089718.8329978
66,10.794772148132324,S,"('10.0.0.16', 5001)",1755089719.3105469
67,10.743701934814453,S,"('10.0.0.17', 5001)",1755089719.8277547
68,10.506572723388672,S,"('10.0.0.17', 5001)",1755089720.0875702
69,10.577730655670166,S,"('10.0.0.17', 5001)",1755089720.1373463
70,10.26543927192688,S,"('10.0.0.17', 5001)",1755089721.269245
71,10.670610189437866,S,"('10.0.0.18', 5001)",1755089721.8663309
72,10.782209873199463,S,"('10.0.0.15', 5001)",1755089722.3246782
73,16.242906093597412,S,"('10.0.0.15', 5001)",1755089722.6071742
74,16.099676609039307,S,"('10.0.0.17', 5001)",1755089723.1021483
75,17.728376626968384,S,"('10.0.0.17', 5001)",1755089723.1452417
76,16.416911125183105,S,"('10.0.0.16', 5001)",1755089724.429565
77,17.16072726249695,S,"('10.0.0.15', 5001)",1755089724.4992125
78,9.689809322357178,S,"('10.0.0.18', 5001)",1755089724.6080632
79,19.65812373161316,S,"('10.0.0.15', 5001)",1755089724.72424
80,11.668114185333252,S,"('10.0.0.17', 5001)",1755089726.7794888
81,8.382463455200195,S,"('10.0.0.18', 5001)",1755089726.8939714
82,10.529818534851074,S,"('10.0.0.18', 5001)",1755089727.5310621
83,16.686300039291382,S,"('10.0.0.18', 5001)",1755089729.476833
84,10.375545024871826,S,"('10.0.0.17', 5001)",1755089731.2296002
85,7.992509365081787,S,"('10.0.0.16', 5001)",1755089731.4521384
86,10.204149723052979,S,"('10.0.0.17', 5001)",1755089731.4667547
