eva_count_list,eva_value_list,control_tag_list,servers_list,time_list
1,1.696150779724121,S,"('10.0.0.16', 5001)",1755156555.0497782
2,1.736856460571289,S,"('10.0.0.16', 5001)",1755156556.8799233
3,4.710935831069946,S,"('10.0.0.16', 5001)",1755156557.7656035
4,5.060411691665649,S,"('10.0.0.16', 5001)",1755156558.0671637
5,6.692718982696533,S,"('10.0.0.16', 5001)",1755156558.7379649
6,10.24575138092041,S,"('10.0.0.16', 5001)",1755156560.1712444
7,10.181709051132202,S,"('10.0.0.16', 5001)",1755156560.207348
8,15.797669410705566,S,"('10.0.0.16', 5001)",1755156561.5691457
9,19.338088035583496,S,"('10.0.0.16', 5001)",1755156561.8476396
10,20.39728355407715,S,"('10.0.0.16', 5001)",1755156562.8693957
11,21.90407133102417,S,"('10.0.0.16', 5001)",1755156563.5566368
12,24.35572576522827,S,"('10.0.0.16', 5001)",1755156564.7149618
13,25.890230417251587,S,"('10.0.0.16', 5001)",1755156564.8775117
14,24.733068704605103,S,"('10.0.0.16', 5001)",1755156565.6972861
15,27.009422302246094,S,"('10.0.0.16', 5001)",1755156565.8957524
16,24.798054218292236,S,"('10.0.0.16', 5001)",1755156566.0931928
17,24.377621173858643,S,"('10.0.0.16', 5001)",1755156566.1960661
18,26.731719732284546,S,"('10.0.0.16', 5001)",1755156566.7006
19,28.13049840927124,S,"('10.0.0.16', 5001)",1755156566.8168058
20,24.735121488571167,S,"('10.0.0.16', 5001)",1755156567.0976436
21,28.909560441970825,S,"('10.0.0.16', 5001)",1755156567.256319
22,29.668102025985718,S,"('10.0.0.16', 5001)",1755156568.4543855
23,29.443671464920044,S,"('10.0.0.16', 5001)",1755156568.699672
24,29.330827713012695,S,"('10.0.0.16', 5001)",1755156569.7726202
25,30.842766284942627,S,"('10.0.0.16', 5001)",1755156570.1868062
26,33.03087019920349,S,"('10.0.0.16', 5001)",1755156570.4491408
27,33.022879123687744,S,"('10.0.0.16', 5001)",1755156570.5159492
28,27.03315567970276,S,"('10.0.0.16', 5001)",1755156570.7514613
29,22.813079118728638,S,"('10.0.0.16', 5001)",1755156571.6734233
30,31.93607759475708,S,"('10.0.0.16', 5001)",1755156571.6940095
31,25.600889682769775,S,"('10.0.0.16', 5001)",1755156571.898895
